# en	cn	en_ids	support	prec	level
Prescript: [Device] III	指令[终端]III	8	8	1.000	ok
Prescript: [Device] IV	指令[终端]IV	8	8	1.000	ok
Faith Beyond Question	理所应当的信念	4	4	1.000	ok
E.G.O Attunement Overload	E.G.O感应度 过载	4	4	1.000	ok
Gebura's Blade	Gebura之刃	4	4	1.000	ok
First Seal Removed	1阶段 封印解除	4	4	1.000	noise
Second Seal Removed	2阶段 封印解除	4	4	1.000	noise
Desire for Acknowledgement	认可欲	4	4	1.000	ok
Indulgence in Prescripts	指令成瘾	4	4	1.000	ok
Avulsion Wound	撕裂的伤口	4	4	1.000	ok
Infighting	内部分裂	5	2	0.400	suspect
Red Eyes - Alert	赤瞳-警戒	8	8	1.000	ok
Red Eyes - Devouring	赤瞳-捕食	8	8	1.000	ok
Penitence - Periphery	忏悔-警戒	8	8	1.000	ok
Penitence - Confession	忏悔-告解	8	8	1.000	ok
Protecting Sword	守护之剑	4	4	1.000	ok
Piercing Sword	穿刺之剑	11	4	0.364	suspect
Stun	晕眩	32	1	0.031	suspect
Gluttony DMG Up	暴食伤害强化	4	4	1.000	ok
Photopia	眩目	2	2	1.000	ok
Gluttony Power Up	暴食威力提升	4	4	1.000	ok
Earnest Accomplishment	恳切的成就	4	4	1.000	ok
Rupture Protection	破裂守护	4	4	1.000	ok
Pride Power Up	傲慢威力提升	4	4	1.000	ok
Marksman's Bullet	射手的弹药	4	4	1.000	ok
Fairy Lure	诱饵精灵	4	4	1.000	ok
Battle Ready	临战准备	4	4	1.000	ok
Sibling Vengeance Mark	兄弟姐妹们的报复对象	4	4	1.000	ok
Centipede Venom	百足剧毒	4	4	1.000	ok
Hardened Shell-Barrier	硬化屏障	4	4	1.000	ok
Ready to Loose	狙击姿势	4	4	1.000	ok
Deep Wound	深度创伤	5	4	0.800	weak
High-voltage Exoskeleton	高压外壳	4	4	1.000	ok
Charged Sting	电荷针	4	4	1.000	ok
Réflexion	反思	4	4	1.000	ok
Inflict additional Sinking	沉沦追加	3	2	0.667	weak
Final Power Up II	最终威力增幅 II	8	4	0.500	suspect
Base Power Up I	基础威力增幅 I	14	6	0.429	suspect
Base Power Up II	基础威力增幅 II	8	4	0.500	suspect
Keen VI	锐利VI	6	6	1.000	ok
Resilient VI	强韧VI	6	6	1.000	ok
Body Up VI	肉体强化VI	6	6	1.000	ok
Growth VI	生长VI	6	6	1.000	ok
Final Power Up III	最终威力增强III	4	2	0.500	suspect
Base Power Up III	基础威力增强III	4	2	0.500	suspect
Final Power Up IV	最终威力增强IV	4	2	0.500	suspect
Clash Power Up VI	拼点威力增强VI	6	6	1.000	ok
Final Power Up VI	最终威力增强VI	6	6	1.000	ok
Base Power Up VI	基础威力增强VI	6	6	1.000	ok
Incandescent Indulgence	光辉的饱腹感	4	4	1.000	ok
Plugged In	连接的插头	6	4	0.667	weak
Refracted Mind	折射的理智	6	2	0.333	suspect
Refracted Charge	折射的充能	4	4	1.000	ok
Dogged Defense	顽强防御	4	4	1.000	ok
Perilous Contest	危险竞赛	4	4	1.000	ok
Bloody Banquet	染血宴会	4	4	1.000	ok
Power Roulette	威力轮盘赌	4	4	1.000	ok
Glass Cannon	玻璃大炮	4	4	1.000	ok
Incandescent Scale Dust	灼热的鳞粉	4	4	1.000	ok
Acuate Scale Dust	锐利的鳞粉	4	4	1.000	ok
Rusted Scale Dust	锈蚀的鳞粉	4	4	1.000	ok
Bottomless Hunger	难以餍足	6	2	0.333	suspect
Thumping of the Heart	能听到心跳声的地方	6	2	0.333	suspect
Waste Disposal	垃圾处理场	4	3	0.750	weak
Defense Line 23-7 - 1300 Hours	第23-7 防线 13:00	8	8	1.000	ok
Sealed Door	紧闭的大门	5	1	0.200	suspect
Church Corridor	地下教堂 走廊	4	4	1.000	ok
Underground Church	地下教堂	2	2	1.000	ok
Rearranged K Corp. Laboratory	重组的K公司研究所	4	4	1.000	ok
Old Dopo Robe	陈旧的长袍	2	2	1.000	ok
Silver Watch Case	银色的表壳	4	4	1.000	ok
Faded Watch Case	褪色的表壳	4	4	1.000	ok
Warning Notice	警告函	4	4	1.000	ok
Chalice of Trickle-down	涓滴之杯	5	5	1.000	ok
Twigs	细枝	4	1	0.250	suspect
Made-to-Order	定制	1	1	1.000	ok
Hardblood Glaive	硬血长柄刀	2	2	1.000	ok
Canned Ice Cream	罐装冰淇淋	4	2	0.500	suspect
Ashes to Ashes	尘归尘	4	4	1.000	ok
Wound Clerid	拟伤虫	4	4	1.000	ok
Grimy Iron Stake	染血铁钉	4	4	1.000	ok
Thunderbranch	雷击木	4	4	1.000	ok
Lowest Star	谷底之星	4	4	1.000	ok
Standard-duty Battery	标准负载电池	5	5	1.000	ok
Thorny Path	荆棘之路	3	3	1.000	ok
Stone Tomb	石冢	3	3	1.000	ok
Endorphin Kit	内啡肽试剂组	4	4	1.000	ok
Melted Paraffin	熔化的石蜡	4	4	1.000	ok
Pain of Stifled Rage	郁火	4	4	1.000	ok
Tangled Bundle	纠缠捆束	4	4	1.000	ok
Bio-venom Vial	生物剧毒药瓶	4	4	1.000	ok
Venomous Skin	剧毒外皮	4	4	1.000	ok
Sour Liquor Aroma	酸味的酒香	4	4	1.000	ok
Eldtree Snare	古木陷阱	4	4	1.000	ok
Devil's Share	魔鬼所享	4	4	1.000	ok
Emerald Elytra	绿色鞘翅	4	4	1.000	ok
UPS System	不间断电源装置	4	4	1.000	ok
Patrolling Flashlight	巡逻用手电筒	4	4	1.000	ok
Scalpel	手术用刀	5	3	0.600	weak
Burial Curse	作祟	3	3	1.000	ok
Dark Vestige	黯淡的残影	4	4	1.000	ok
Raincloud	乌云	1	1	1.000	ok
Desperate's Knot	绝望结	5	5	1.000	ok
Jin Gang Bolus	金刚丸	7	1	0.143	suspect
Shaoxing Wine	绍兴酒	4	4	1.000	ok
Revived K Corp. Security	复活的K公司检查站安保人员	4	4	1.000	ok
Heart of the Townsfolk	镇民之心	4	4	1.000	ok
Urgent T Corp. Gangster	焦急的T公司黑帮成员	1	1	1.000	ok
Veteran Edgar Family Butler	资深的埃德加家族管家	4	4	1.000	ok
Coagulated Dream	凝结的梦	4	4	1.000	ok
Gift Sack	礼物袋	6	4	0.667	weak
Tree of Desires	欲望之树	2	2	1.000	ok
Basin Sea Reaper	钵海收割者	4	4	1.000	ok
Bongy Security	小凤安保人员	2	2	1.000	ok
Downcast Veteran	变本加厉的残兵	4	4	1.000	ok
Guido the Persistent	执着的圭多	4	4	1.000	ok
Refracted Clover	折射的四叶草	3	3	1.000	ok
Takeoff Module - E.G.O Spinning [WAW] x1	跳跃成长模组 - E.G.O解析 [WAW]	6	6	1.000	ok
Mirror of the Beginning	起始之镜	4	4	1.000	ok
The Unconfronting	未曾面对	3	3	1.000	ok
The Heartbreaking	心意相悖	4	3	0.750	weak
Miracle in District 20 BokGak	20区的奇迹 复刻	7	7	1.000	ok
E.G.O Gifts Owned	所持E.G.O饰品	6	3	0.500	suspect
Not enough Starlight.	星芒不足。	3	3	1.000	ok
To List	转到列表	45	1	0.022	suspect
E.G.O Gift Tier Forecast	预期的E.G.O饰品等级	6	6	1.000	ok
Remaining Starlight Bonus	剩余的星芒奖励	4	4	1.000	ok
Remaining Starlight	剩余星芒	6	2	0.333	suspect
Set Adversities	设置制约	3	3	1.000	ok
Adversity Bonus	制约加成	5	3	0.600	weak
Brush it Off	梳理发型	4	4	1.000	ok
Savage Tigermark Support	猛虎标弹支援	4	4	1.000	ok
Emptied Thought	放空思绪	2	2	1.000	ok
Buy Time	赚取时间	7	2	0.286	suspect
Armadura de Sangre	血甲	1	1	1.000	ok
Oracle Device [Caduceus]	神谕终端[双蛇杖]	8	8	1.000	ok
Worker Bee	工蜂	4	4	1.000	ok
To Where I Must Return	归处	2	2	1.000	ok
Panic Recovery	恐慌恢复	4	4	1.000	ok
Festival of Wonders	梦幻的庆典	4	4	1.000	ok
Hunter's Mark	狩猎印记	4	4	1.000	ok
Returning Past	回现的过去	4	4	1.000	ok
Misplaced Past	消逝的过去	4	4	1.000	ok
Call of the Bloodkin	同胞的呼唤	6	1	0.167	suspect
Taken by the Horns	无力化	1	1	1.000	ok
Contaminating Leaf	污染的叶子	4	4	1.000	ok
Keep It Fresh	保鲜	4	4	1.000	ok
Overloaded HP Bullet	过载HP弹	4	4	1.000	ok
Apply Refracted Sinking	施加折射的沉沦	4	4	1.000	ok
Blossoming Sins	盛放的罪孽	4	4	1.000	ok
Rose on a Vine	绽于藤蔓的玫瑰	4	4	1.000	ok
Thundering Wrath [震怒]	震怒	2	2	1.000	ok
oice...!	叫我…	6	4	0.667	weak
Hou...	整…	17	1	0.059	suspect
Jar-haunting Curse	宿于瓮中的诅咒	4	4	1.000	ok
Overflowing Sorrow	满溢而出的哀伤	4	4	1.000	ok
Line 1 Boarding	进入1号线前	4	4	1.000	ok
Please Deploy all Sinners.	存在未编入队伍的人格。	4	4	1.000	ok
Select Buffs	选择BUFF	5	3	0.600	weak
Cruise Party	游轮宴会	4	4	1.000	ok
Riddles	谜语	9	1	0.111	suspect
Matt	马特	674	6	0.009	suspect
Wish Canister	愿望罐	4	4	1.000	ok
Bonfire	篝火	5	3	0.600	weak
Best Employee	最优秀的员工	6	3	0.500	suspect
Urgent Call	紧急呼叫	4	4	1.000	ok
Glorious Past	辉煌的过往	7	3	0.429	suspect
Heishou Pack Adept	黑兽 魁首	4	4	1.000	ok
Before a Sealed Door	在紧闭的门扉前	3	3	1.000	ok
The First Gate	第一关	3	1	0.333	noise
Red Tassel Choice	红色流苏 选项	4	3	0.750	weak
Starbuck's Ego	斯达巴克的自我	4	4	1.000	ok
Away With You	别妨碍我	5	2	0.400	suspect
A Sliver of Anticipation	一丝期待	2	2	1.000	ok
HO! HO! HO!	嚯！嚯！嚯！	7	7	1.000	ok
Bladetrail [Afterimage]	剑痕[残像]	7	7	1.000	ok
I Got Praised!	受到表扬啦！	4	4	1.000	ok
Protecting Pest [Roaches]	防御害虫[蜚蠊]	2	2	1.000	ok
Tremor - Superposition	震颤-叠加	7	7	1.000	ok
Microprecision Time Acceleration	超精密时间加速	3	3	1.000	ok
Helpless Tears	无能为力之泪	5	4	0.800	weak
Desperado	亡命之徒	5	3	0.600	weak
Great Mountain	坚如泰山	5	3	0.600	weak
Umbrella Splinters	雨伞碎片	4	4	1.000	ok
Dhyāna	禅那	7	7	1.000	ok
Damage Taken Down	受到伤害降低	4	3	0.750	weak
Delicateness	易碎	3	3	1.000	ok
Peccatulum Invidiae Class 2	嫉妒罪种 2型	3	3	1.000	ok
Resilient Determination	坚定的意志	3	2	0.667	weak
Insufficient Paid Lunacy	付费狂气不足	2	2	1.000	ok
Stalwart Spirit	坚韧不拔	2	2	1.000	ok
Whale Guts	鲸的胃	3	3	1.000	ok
Rendezvous Area Before the Heart	心脏前的集合点	7	7	1.000	ok
Canteen	茶水间	4	2	0.500	suspect
Chapel	礼拜堂	2	1	0.500	suspect
Tango Marinade	探戈鸡酱料	4	3	0.750	weak
Harestride	卯足	3	3	1.000	ok
Non-disclosure Agreement	保密协议	3	3	1.000	ok
Tailor's Scissors	裁缝用剪刀	4	3	0.750	weak
Epicenter	震源	5	1	0.200	suspect
Meat Tenderizer	松肉锤	3	3	1.000	ok
N Corp. Seal	N公司印章	4	3	0.750	weak
Shell Sea Runner	壳海狂奔者	4	4	1.000	ok
Bongybug	小凤虫	4	4	1.000	ok
Pink Shoes Enchantee	粉红鞋魅惑之人	3	3	1.000	ok
Rustic-sounding Tingtanger	土里土气的豆豆帮成员	1	1	1.000	ok
Lobotomy E.G.O::Sloshing	脑叶公司E.G.O::荡漾	6	5	0.833	weak
Refracted Fairy Wine	折射的精灵酒	3	3	1.000	ok
The Unloving	无法去爱	3	3	1.000	ok
The Evil Defining	定义为恶	3	3	1.000	ok
The Surrendered Witnessing	不思观望	3	3	1.000	ok
One Step Further	再进一步	2	1	0.500	suspect
Challenge Mode	挑战模式	3	3	1.000	ok
Seize the Opportunity	及锋而试	3	1	0.333	suspect
Higher Tier Gifts appear	出现饰品等级上升	4	3	0.750	weak
+1 E.G.O resource for all Affinities	所有E.G.O资源+1	4	4	1.000	ok
Enhance E.G.O Gift	强化E.G.O饰品	3	3	1.000	ok
Acquired E.G.O Gifts	已获取E.G.O饰品数量	6	1	0.167	suspect
View Desc.	详细内容	1	1	1.000	ok
3 Gifts	3件	2	1	0.500	suspect
Weekly Cap	每周限制量	4	1	0.250	suspect
Current Progress	当前进度	1	1	1.000	noise
Seize ya Chance	及锋而试	3	3	1.000	ok
Enduring Spirit	坚韧不拔	2	2	1.000	ok
Walking the Line of Death	垂死挣扎	1	1	1.000	ok
Spite-driven	意气用事	3	3	1.000	ok
Bullets are Pricey	子弹很贵	5	4	0.800	weak
Hour of the Hunt	狩猎时刻	1	1	1.000	ok
Rough Sketch	草图	5	2	0.400	suspect
We've Got Your Back	后方支援	3	2	0.667	weak
Undying Persistence	顽强的生命力	3	3	1.000	ok
Desperate Struggle	拼死奋战	8	3	0.375	suspect
Open Alley	通路	2	2	1.000	ok
Burning Embers	燃烧的火种	3	2	0.667	weak
Underwater Breathing	水下呼吸	3	3	1.000	ok
Heart of Vengeance	复仇心	1	1	1.000	ok
Parade of Happiness	幸福的游行	2	1	0.500	suspect
For the Family...	为了家人…	3	2	0.667	weak
Scattering Breath	紊乱的呼吸	1	1	1.000	ok
Undertake Orders	执行命令	2	2	1.000	ok
NOT FOR DISPLAY	如果它出现了也是bug	6	2	0.333	suspect
Broken Umbrella	损坏的伞	4	3	0.750	weak
Toward the Ideal	向着理想	3	3	1.000	ok
Manufactured Respite	稍作休息	1	1	1.000	ok
HP Ampule Injection	注射HP安瓿	3	3	1.000	ok
Paired Assault	勠力	1	1	1.000	ok
Diversion	注意力分散	6	1	0.167	suspect
Cannot Deploy	无法出战	3	2	0.667	weak
Insubordination	违抗命令	7	1	0.143	suspect
The Whaler	捕鲸人	1	1	1.000	ok
Operation Spider Pyre	蜘蛛巢焚灭讨伐战	6	6	1.000	ok
Temporal Entanglement	时间纠缠	5	4	0.800	weak
The Trio	三人组	8	1	0.125	suspect
Towering Cars	汽车塔	1	1	1.000	ok
Constellations	星座	2	2	1.000	ok
An Age Without Technology	技术不复存在的时代	3	3	1.000	ok
New Classification Codes	新的编号	3	3	1.000	ok
Light of the City	都市之光	4	4	1.000	ok
S.A.N.G.R.I.A.	万短至艺	4	1	0.250	suspect
Looking for a Drone	寻找无人机	3	3	1.000	ok
<color=#ebcaa2>[{0}] got Staggered!</color>	<color=#ebcaa2>[{0}]陷入了混乱</color>	6	6	1.000	ok
- Remove the first Stagger Threshold	- 移除自身的第一混乱阈值	2	2	1.000	ok
Refracted Four-hundred Roses	折射的四百朵玫瑰	3	3	1.000	ok
Coil Corroded	蛇手侵蚀者	3	3	1.000	ok
Kromer the Attempted Protoplast	欲成原初的克罗默	3	3	1.000	ok
S-08-04-01	S-08-04-01	3	3	1.000	ok
Brazen Bull - Tearful	黄铜公牛 - 流泪	6	6	1.000	ok
An Ampule to Use	使用再生安瓿。	3	2	0.667	weak
Factory Laborer	工厂的工人	3	2	0.667	weak
Recurring Faith and Promise	循环的信念与承诺	3	3	1.000	ok
Shade of Reflection [Rouge]	映射[红色]	6	6	1.000	ok
Shade of Reflection [Bleu]	映射[蓝色]	6	6	1.000	ok
Shade of Reflection [The Middle]	映射[中指]	6	6	1.000	ok
Shade of Reflection [Ambuscade]	映射[突袭]	6	6	1.000	ok
Shade of Reflection [Bearhunt]	映射[狩熊]	6	6	1.000	ok
Fluorescence Shard	荧光灯碎片	2	2	1.000	ok
Undefiable Command	不可抗拒的命令	3	3	1.000	ok
Fettered Woe	未能释怀的怅惘	3	3	1.000	ok
Little Carmilla	小卡蜜拉	4	2	0.500	suspect
Returning Bloodlust II	复还的血之冲动II	4	4	1.000	ok
Irresponsible Dream	不负责任的梦	3	3	1.000	ok
Heaping Obedience	积累的顺从	3	3	1.000	ok
Malattunement	未感应	3	3	1.000	ok
Perpetuating Gluttony	不息的暴食	2	2	1.000	ok
Eye of Precognition - Overheat	预知眼 过热	6	6	1.000	ok
Shin (心) - The Red Gaze	心-猩红视线	5	5	1.000	ok
Of the Second Smoke War	第二次烟霾战争的	5	5	1.000	ok
Tiansha Star's Blade - Arayashiki [天殺星刀阿賴耶識]	天杀星刀-阿赖耶识	2	2	1.000	ok
Procuration [Hermes]	代行[赫尔墨斯]	6	6	1.000	ok
When hacking through the ribs with a hatchet...	用手斧将肋骨砍下时…	6	6	1.000	ok
When penetrating the lungs with a stiletto...	用锥将肺贯穿时…	6	6	1.000	ok
When caving in the back of the skull with a hammer...	应该用锤子将后脑敲碎时…	6	6	1.000	ok
When rending the body with a greatsword...	应该用大剑将躯干劈开时…	2	2	1.000	ok
When rending the body with a great sword...	应该用大剑将躯干劈开时…	4	4	1.000	ok
When boring a 20-inch hole with a lance...	应该用长枪刺穿一个20英寸的洞时…	6	6	1.000	ok
Crit DMG Up	暴击伤害强化	3	3	1.000	ok
Strider【Wu】	脚力【午】	6	6	1.000	ok
Galestruck	余波	2	2	1.000	ok
Recoiling	反冲力	2	2	1.000	ok
Dujeong Brigandine [Sal]	布面甲[肉]	6	6	1.000	ok
Tremor - Distribution	震颤-分配	6	6	1.000	ok
Le Fauvisme - Masque de Loup	野兽派-狼面	8	6	0.750	weak
Only Ashes Remain	只余灰烬	2	2	1.000	ok
Imminent Decay	濒临崩坏	3	3	1.000	ok
Cold, Black Tears	漆黑冰冷之泪	6	6	1.000	ok
Hyped-up	亢奋	2	2	1.000	ok
Minus Coin Boost	减算硬币强化	3	3	1.000	ok
Slash Resist Down	斩击抗性弱化	3	3	1.000	ok
Final Augment	最终改造	3	3	1.000	ok
Perilous Heart	岌岌可危的心灵	3	3	1.000	ok
Faltering Heart	混乱不安的心灵	3	3	1.000	ok
Corroding Heart	渐被侵蚀的心灵	3	3	1.000	ok
Radiant Vanity	耀眼的虚荣	3	3	1.000	ok
Borne Fruition	成熟的果实	3	3	1.000	ok
Radiant Desire	耀眼的欲望	3	3	1.000	ok
Overheal	过量恢复	3	3	1.000	ok
Emergency Nutrient Supply	应急营养源	3	3	1.000	ok
Sinking Fragility	沉沦易损	3	3	1.000	ok
B.M.	管·标	2	2	1.000	ok
Strategic R&R Mode	战略性休息福利模式	2	2	1.000	ok
Blooming Thorn II	绽放荆棘II	4	4	1.000	ok
Tianjiu Star's Blade	天究星刀	3	3	1.000	ok
Gluttonous Thorn (貪食棘)	贪食棘	6	6	1.000	ok
Uncompromising Imposition	贯彻	2	2	1.000	ok
Higher Thunderer	大弦惊	3	3	1.000	ok
Hardblood Cast	硬血铸造	3	3	1.000	ok
Excision Coin	截除硬币	3	3	1.000	ok
Inflict additional Tremor	震颤追加	4	2	0.500	suspect
Slash Boost	斩击强化	3	3	1.000	ok
Pierce Boost	突刺强化	3	3	1.000	ok
Blunt Boost	打击强化	3	3	1.000	ok
Coin Power Up I	硬币威力增幅 I	4	4	1.000	ok
Overload I	过载 I	4	4	1.000	ok
Final Power Up III	最终威力增幅 III	4	2	0.500	suspect
Final Power Up IV	最终威力增幅 IV	4	2	0.500	suspect
Base Power Up III	基础威力增幅 III	4	2	0.500	suspect
Max HP Boost I	体力上限增强I	4	4	1.000	ok
Amplify Body II	肉体增强II	4	4	1.000	ok
Expand Body II	肉体扩展II	4	4	1.000	ok
Final Power Boost III	最终威力增强III	2	2	1.000	ok
Clash Attack Boost I	拼点攻击增强I	4	4	1.000	ok
Final Power Boost IV	最终威力增强IV	2	2	1.000	ok
Base Power Boost III	基础威力增强III	2	2	1.000	ok
Offense Level Up I	攻击等级强化I	6	4	0.667	weak
Growth II	生长II	4	4	1.000	ok
Keen II	锐利II	4	4	1.000	ok
Body Up II	肉体强化II	4	4	1.000	ok
Clash Power Up II	拼点威力增强II	4	4	1.000	ok
Brutality II	破坏力II	4	4	1.000	ok
Keen VII	锐利VII	4	4	1.000	ok
Resilient VII	强韧VII	4	4	1.000	ok
Body Up VII	肉体强化VII	4	4	1.000	ok
Growth VII	生长VII	4	4	1.000	ok
Brutality V	破坏力V	4	4	1.000	ok
Keen XII	锐利XII	4	4	1.000	ok
Resilient XII	强韧XII	4	4	1.000	ok
Body Up XII	肉体强化XII	4	4	1.000	ok
Growth XII	生长XII	4	4	1.000	ok
Clash Power Up VII	拼点威力增强VII	4	4	1.000	ok
Final Power Up VII	最终威力增强VII	4	4	1.000	ok
Base Power Up VII	基础威力增强VII	4	4	1.000	ok
Keen XV	锐利XV	4	4	1.000	ok
Resilient XV	强韧XV	4	4	1.000	ok
Body Up XV	肉体强化XV	4	4	1.000	ok
Growth XV	生长XV	4	4	1.000	ok
Clash Power Up X	拼点威力增强X	4	4	1.000	ok
Final Power Up X	最终威力增强X	4	4	1.000	ok
Base Power Up X	基础威力增强X	4	4	1.000	ok
Mark of Fire I	炎之烙印I	4	4	1.000	ok
Inflation I	通货膨胀I	4	4	1.000	ok
Ego Interference I	自我干涉I	4	4	1.000	ok
Mental Psychosis I	精神错乱I	4	4	1.000	ok
Nerve Acceleration I	神经加速I	4	4	1.000	ok
SP Fatigue I	理智枯竭I	4	4	1.000	ok
Splish Splash	拍拍	4	2	0.500	suspect
Drenched Sin	罪孽缠身	2	2	1.000	ok
All-beholding Gaze	一览无余的视线	3	3	1.000	noise
Gathering Lightning Cloud	雷云汇集	3	3	1.000	ok
Growth Refraction I	生长折射 I	4	4	1.000	ok
Lasting Determination	延续意志	3	3	1.000	ok
Suppressed Might	被抑制的力量	3	3	1.000	ok
Including the Special Banner	附带特别横幅	3	3	1.000	ok
Organization Compulsion	整理强迫	3	3	1.000	ok
Misshapen Painting	凌乱的绘画	3	3	1.000	ok
Resanguination	呈血	3	3	1.000	ok
Constricting Desires	紧缚欲望	3	3	1.000	ok
Rotting Skin	腐化外皮	3	3	1.000	ok
Behead Heathcliffs	斩首希斯克利夫	3	3	1.000	ok
Ahab's Office	亚哈的办公室	3	3	1.000	ok
Sinew Bridge	肌腱之桥	3	3	1.000	ok
Control Team Containment	控制部管理收容区	3	3	1.000	ok
Containment Hall 2	第二收容走廊	3	3	1.000	ok
Smoke War Central Front	烟霾战争 中部战线	1	1	1.000	ok
Defense Line 23-7 - 1100 Hours	第23-7 防线 11:00	6	6	1.000	ok
Factory Entrance	工厂入口	2	2	1.000	ok
Molding Chamber	注塑室	3	3	1.000	ok
Backup Generators	备用发电站	3	3	1.000	ok
Old Warehouse	旧仓库	3	3	1.000	ok
Etched Clock Hands	蚀刻的指针	4	4	1.000	ok
Rusted Clock Hands	锈蚀的指针	4	4	1.000	ok
Snake Slough	蛇蜕	3	3	1.000	ok
False Halo	虚假的光相	3	3	1.000	ok
Unhatched Embers	未孵化的火种	3	3	1.000	ok
Operation Authorization Card	作战批准卡	3	3	1.000	ok
Wholeness	完全性	6	1	0.167	suspect
Town-protecting Harpoon	守镇鱼叉	3	3	1.000	ok
Broken Violin	损坏的小提琴	3	3	1.000	ok
Butler Style Binding Arts	管家式束缚法	3	3	1.000	ok
Mask of the Parade	游行的面具	3	3	1.000	ok
Discarded Dimensional Gauntlet	被遗落的次元护手	3	3	1.000	ok
Blue Starshard	蓝星碎片	3	3	1.000	ok
Hellterfly’s Dream	地狱蝶之梦	5	5	1.000	ok
Perversion	倒错症	4	3	0.750	weak
Rusty Commemorative Coin	锈蚀的纪念币	3	3	1.000	ok
Sticky Muck	黏性淤浆	3	3	1.000	ok
Blue Zippo Lighter	蓝色芝宝牌打火机	3	3	1.000	ok
Pinpoint Logic Circuit	单点打击逻辑电路	3	3	1.000	ok
Red Order	赤色指令	3	3	1.000	ok
Smokes and Wires	烟霾与铁丝网	3	3	1.000	ok
Oscillating Bracelet	震荡手环	3	3	1.000	ok
Rusted Cutting Knife	锈蚀的美工刀	3	3	1.000	ok
Portable Battery Socket	便携式电源插座	3	3	1.000	ok
Dust to Dust	土归土	3	3	1.000	ok
Midwinter Nightmare	仲冬夜之噩梦	3	3	1.000	ok
Curriculum Vitae	简历	3	3	1.000	ok
Wrist Guards	护腕	3	3	1.000	ok
Headless Portrait	无头肖像	3	3	1.000	ok
Charge-type Gloves	充能式手套	3	3	1.000	ok
Painkiller	止痛药	5	4	0.800	weak
Piece of Relationship	缘分残片	3	3	1.000	ok
Burning Intellect	炽热的智慧	3	3	1.000	ok
Rusted Muzzle	锈蚀的笼头	3	3	1.000	ok
Bell of Truth	真理之钟	3	3	1.000	ok
Broken Compass	破碎罗盘	3	3	1.000	ok
Ornamental Horseshoe	马蹄铁饰物	3	3	1.000	ok
Polarization	偏振光	3	3	1.000	ok
Arrested Hymn	被扣留的颂歌	3	3	1.000	ok
Smoking Gunpowder	有烟火药	3	3	1.000	ok
Deceptive Accord	虚饰的和平	3	3	1.000	ok
Moment of Sentencing	宣判之刻	3	3	1.000	ok
Carpenter's Nail	木工用长钉	3	3	1.000	ok
Torn Bandolier	撕裂的弹带	3	3	1.000	ok
Keenbranch	磨尖的树枝	3	3	1.000	ok
Compression Bandage	加压绷带	3	3	1.000	ok
Temporal Bridle	时间的枷锁	3	3	1.000	ok
Clasped Sculpture	紧握的雕像	3	3	1.000	ok
Faint Vestige	微茫的残影	3	3	1.000	ok
Short Cane Sword	拐杖短剑	3	3	1.000	ok
Cloudpattern Gourd Bottle	云纹鹤颈瓶	3	3	1.000	ok
Plume of Proof	见证的羽饰	3	3	1.000	ok
Torn Hems	磨破的衣袖	3	3	1.000	ok
Pocket Flashcards	口袋助记卡	3	3	1.000	ok
Omni-tool	万能工具	3	3	1.000	ok
Thermal Weapon	热丝武器	4	3	0.750	weak
Baleful Hwando	寄宿鬼气的环刀	3	3	1.000	ok
Tarnished Gauntlet	褪色的护手	3	3	1.000	ok
Noose	绞索	17	1	0.059	suspect
Searing Brass	灼热的铜管	3	3	1.000	ok
Interlinked Time	交织的时间	3	3	1.000	ok
Emergency Investigator Badge	紧急授予型搜查官徽章	3	3	1.000	ok
Entanglement Override Sequencer	强制纠缠定序器	3	3	1.000	ok
Harmonics	泛音	3	3	1.000	ok
Walking Bass	行进贝斯	3	3	1.000	ok
Pallid White Mermaid	苍白的白色人鱼	3	3	1.000	ok
Pallid Blue Mermaid	苍白的蓝色人鱼	3	3	1.000	ok
Pallid Entwined Mermaid	苍白的纠缠人鱼	3	3	1.000	ok
Pallidified Thing-Shield	苍白之物-盾	3	3	1.000	ok
Pallidified Thing-Club	苍白之物-棍	3	3	1.000	ok
Pallidified Thing-Pirate	苍白之物-海盗	3	3	1.000	ok
Pallidified Thing-Hook	苍白之物-钩	3	3	1.000	ok
Scared T Corp. Gangster	胆怯的T公司黑帮成员	1	1	1.000	ok
Disgraced Bloodbag	堕落的血袋	3	3	1.000	ok
Despairing Bloodbag	绝望的血袋	3	3	1.000	ok
Impaling Spear	贯穿之枪	3	3	1.000	ok
The Thumb Nursefather - Valencina	拇指 父辈 - 瓦伦希娜	6	6	1.000	ok
Nethersea Founder	深溟奠基者	3	3	1.000	ok
Nethersea Spewer	深溟喷溅者	3	3	1.000	ok
Left Stem	左侧枝干	3	3	1.000	ok
Right Stem	右侧枝干	3	3	1.000	ok
Recollected Wallowing Soldier	记忆中绝望的残兵	3	3	1.000	ok
Recollected Overtaken Soldier	记忆中被侵蚀的残兵	3	3	1.000	ok
Burning Clay Doll	燃烧的终末土偶	3	3	1.000	ok
Pink Shoes Possessee	粉红鞋所占之人	3	3	1.000	ok
Servile N Corp. Inquisitor	奉承的N公司异端审判官	3	3	1.000	ok
Compliant N Corp. Inquisitor	顺从的N公司异端审判官	3	3	1.000	ok
Obsessive N Corp. Inquisitor	执着的N公司异端审判官	3	3	1.000	ok
Joyous N Corp. Inquisitor	极度喜悦的N公司异端审判官	3	3	1.000	ok
