# Limbus Company 英→中术语表（来源：官方术语文件 + 零协会汉化，四语 id 对齐）
# en	cn	出现次数(en+cn)	source
Snake Slough	蛇蜕	6	EGOgift_MirrorDungeon-EventTheme_2.json
False Halo	虚假的光相	6	EGOgift_MirrorDungeon-EventTheme_2.json
Unhatched Embers	未孵化的火种	6	EGOgift_MirrorDungeon-EventTheme_2.json
Operation Authorization Card	作战批准卡	6	EGOgift_MirrorDungeon-EventTheme_2.json
Wholeness	完全性	6	EGOgift_MirrorDungeon-StoryTheme.json
Town-protecting Harpoon	守镇鱼叉	6	EGOgift_MirrorDungeon-StoryTheme_2.json
Broken Violin	损坏的小提琴	6	EGOgift_MirrorDungeon-StoryTheme_2.json
Butler Style Binding Arts	管家式束缚法	6	EGOgift_MirrorDungeon-StoryTheme_2.json
Mask of the Parade	游行的面具	6	EGOgift_MirrorDungeon-StoryTheme_2.json
Discarded Dimensional Gauntlet	被遗落的次元护手	6	EGOgift_MirrorDungeon-mowe-re.json
Blue Starshard	蓝星碎片	6	EGOgift_MirrorDungeon-mowe-re.json
Hellterfly’s Dream	地狱蝶之梦	6	EGOgift_MirrorDungeon.json
Perversion	倒错症	6	EGOgift_MirrorDungeon.json
Rusty Commemorative Coin	锈蚀的纪念币	6	EGOgift_MirrorDungeon.json
Sticky Muck	黏性淤浆	6	EGOgift_MirrorDungeon.json
Blue Zippo Lighter	蓝色芝宝牌打火机	6	EGOgift_MirrorDungeon.json
Pinpoint Logic Circuit	单点打击逻辑电路	6	EGOgift_MirrorDungeon.json
Red Order	赤色指令	6	EGOgift_MirrorDungeon.json
Smokes and Wires	烟霾与铁丝网	6	EGOgift_MirrorDungeon.json
Oscillating Bracelet	震荡手环	6	EGOgift_MirrorDungeon.json
Rusted Cutting Knife	锈蚀的美工刀	6	EGOgift_MirrorDungeon.json
Portable Battery Socket	便携式电源插座	6	EGOgift_MirrorDungeon.json
Dust to Dust	土归土	6	EGOgift_MirrorDungeon.json
Midwinter Nightmare	仲冬夜之噩梦	6	EGOgift_MirrorDungeon.json
Curriculum Vitae	简历	6	EGOgift_MirrorDungeon.json
Wrist Guards	护腕	6	EGOgift_MirrorDungeon.json
Headless Portrait	无头肖像	6	EGOgift_MirrorDungeon.json
Charge-type Gloves	充能式手套	6	EGOgift_MirrorDungeon.json
Painkiller	止痛药	6	EGOgift_MirrorDungeon.json
Piece of Relationship	缘分残片	6	EGOgift_MirrorDungeon.json
Burning Intellect	炽热的智慧	6	EGOgift_MirrorDungeon.json
Rusted Muzzle	锈蚀的笼头	6	EGOgift_MirrorDungeon.json
Bell of Truth	真理之钟	6	EGOgift_MirrorDungeon.json
Broken Compass	破碎罗盘	6	EGOgift_MirrorDungeon.json
Ornamental Horseshoe	马蹄铁饰物	6	EGOgift_MirrorDungeon.json
Polarization	偏振光	6	EGOgift_MirrorDungeon.json
Arrested Hymn	被扣留的颂歌	6	EGOgift_MirrorDungeon.json
Smoking Gunpowder	有烟火药	6	EGOgift_MirrorDungeon.json
Deceptive Accord	虚饰的和平	6	EGOgift_MirrorDungeon.json
Moment of Sentencing	宣判之刻	6	EGOgift_MirrorDungeon.json
Carpenter's Nail	木工用长钉	6	EGOgift_MirrorDungeon.json
Torn Bandolier	撕裂的弹带	6	EGOgift_MirrorDungeon.json
Keenbranch	磨尖的树枝	6	EGOgift_MirrorDungeon.json
Compression Bandage	加压绷带	6	EGOgift_MirrorDungeon.json
Temporal Bridle	时间的枷锁	6	EGOgift_MirrorDungeon.json
Clasped Sculpture	紧握的雕像	6	EGOgift_MirrorDungeon.json
Faint Vestige	微茫的残影	6	EGOgift_MirrorDungeon.json
Short Cane Sword	拐杖短剑	6	EGOgift_MirrorDungeon.json
Cloudpattern Gourd Bottle	云纹鹤颈瓶	6	EGOgift_MirrorDungeon.json
Plume of Proof	见证的羽饰	6	EGOgift_MirrorDungeon.json
Torn Hems	磨破的衣袖	6	EGOgift_MirrorDungeon.json
Pocket Flashcards	口袋助记卡	6	EGOgift_MirrorDungeon.json
Omni-tool	万能工具	6	EGOgift_MirrorDungeon_7.json
Thermal Weapon	热丝武器	6	EGOgift_MirrorDungeon_7.json
Baleful Hwando	寄宿鬼气的环刀	6	EGOgift_MirrorDungeon_7.json
Tarnished Gauntlet	褪色的护手	6	EGOgift_MirrorDungeon_7.json
Noose	绞索	6	EGOgift_StoryDungeon-a1c5p3.json
Searing Brass	灼热的铜管	6	EGOgift_TwiningThreads.json
Interlinked Time	交织的时间	6	EGOgift_tktRe.json
Emergency Investigator Badge	紧急授予型搜查官徽章	6	EGOgift_tktRe.json
Entanglement Override Sequencer	强制纠缠定序器	6	EGOgift_tktRe.json
Harmonics	泛音	6	EGOgift_walpu8.json
Walking Bass	行进贝斯	6	EGOgift_walpu8.json
Pallid White Mermaid	苍白的白色人鱼	6	Enemies-a1c5p2.json
Pallid Blue Mermaid	苍白的蓝色人鱼	6	Enemies-a1c5p2.json
Pallid Entwined Mermaid	苍白的纠缠人鱼	6	Enemies-a1c5p2.json
Pallidified Thing-Shield	苍白之物-盾	6	Enemies-a1c5p2.json
Pallidified Thing-Club	苍白之物-棍	6	Enemies-a1c5p2.json
Pallidified Thing-Pirate	苍白之物-海盗	6	Enemies-a1c5p2.json
Pallidified Thing-Hook	苍白之物-钩	6	Enemies-a1c5p2.json
Scared T Corp. Gangster	胆怯的T公司黑帮成员	6	Enemies-a1c6p1.json
Disgraced Bloodbag	堕落的血袋	6	Enemies-a1c7p2.json
Despairing Bloodbag	绝望的血袋	6	Enemies-a1c7p2.json
Impaling Spear	贯穿之枪	6	Enemies-a1c7p3.json
The Thumb Nursefather - Valencina	拇指 父辈 - 瓦伦希娜	6	Enemies-a1c9p3.json
Nethersea Founder	深溟奠基者	6	Enemies-pilgrimage.json
Nethersea Spewer	深溟喷溅者	6	Enemies-pilgrimage.json
Left Stem	左侧枝干	6	Enemies.json
Right Stem	右侧枝干	6	Enemies.json
Recollected Wallowing Soldier	记忆中绝望的残兵	6	Enemies.json
Recollected Overtaken Soldier	记忆中被侵蚀的残兵	6	Enemies.json
Burning Clay Doll	燃烧的终末土偶	6	Enemies.json
Pink Shoes Possessee	粉红鞋所占之人	6	Enemies.json
Servile N Corp. Inquisitor	奉承的N公司异端审判官	6	Enemies.json
Compliant N Corp. Inquisitor	顺从的N公司异端审判官	6	Enemies.json
Obsessive N Corp. Inquisitor	执着的N公司异端审判官	6	Enemies.json
Joyous N Corp. Inquisitor	极度喜悦的N公司异端审判官	6	Enemies.json
Chicken Bucket	炸鸡桶	6	Enemies.json
K Corp. Filming Drone	K公司 摄像无人机	6	Enemies.json
Soon-to-bloom Flower	即将绽放的花	6	Enemies.json
K Corp. Class 3 Staff	K公司3级员工	6	Enemies_Refraction.json
Refracted T Corp. Class 3 Collector	折射的T公司3级征收人员	6	Enemies_Refraction2.json
Nominable Identity Ticket	3周年纪念人格自选券	6	Items-a1c9p1.json
[Sweeper Fuel Tank]	特大型液态燃料罐	6	Items.json
Radiating Malice	充满敌意的空间	6	MirrorDungeonNode1-1.json
Inordinately Warped Reflection	高度畸变的映射	6	MirrorDungeonNode1-1.json
The Outcast	无归属者	6	MirrorDungeonTheme-1.json
Into a Certain Library's Book	进入某座图书馆的某本藏书	6	MirrorDungeonTheme-1.json
Blessed Carnival	充满祝福的嘉年华	6	MirrorDungeonTheme-1.json
Can Equip	可装备	6	MirrorDungeonUI.json
Fighting Spirit	斗志昂扬	6	MirrorDungeonUI_2.json
Sinners heal HP	罪人体力恢复	6	MirrorDungeonUI_2.json
Starting Cost +50	初始经费+50	6	MirrorDungeonUI_2.json
Before Entry	进入前	6	MirrorDungeonUI_3.json
Cannot Fuse	无法合成	6	MirrorDungeonUI_3.json
Projection Rewards	投影度奖励	6	MirrorDungeonUI_5_InfinityFloor.json
Selected Adversities	选择制约	6	MirrorDungeonUI_6.json
Swordplay of the Homeland [Sal] - Shift Battleform	本国剑术[肉]-姿态变化	6	Passives-BossRaid.json
Tigermark Round Reload	虎标弹装填	6	Passives-BossRaid.json
Great Mountain	安若泰山	6	Passives.json
Stubbornness	固执己见	6	Passives.json
Joy of Execution	处刑的欢喜	6	Passives.json
Cornering	无处可逃	6	Passives.json
Dueling Request	决斗委托	6	Passives.json
Connect The Dots	连点成线	6	Passives.json
A S.B.	烟·休	6	Passives.json
One Family	一家人	6	Passives.json
Mutilated Tattoos	残缺纹身	6	Passives.json
Call of the Erlking	魔王的呼唤	6	Passives.json
A moment, please...	请稍等…	6	Passives.json
Snipe	远程狙杀	6	Passives.json
Bayonets	铳剑术	6	Passives.json
Congestion Cleaning Armour	拥堵清理用装甲	6	Passives.json
Eyes Bright Like Lamps	如灯之目	6	Passives.json
Mentorship	指导与鞭策	6	Passives.json
Exposed Pearl	裸露的珍珠	6	Passives_Abnormality-a1c5p3.json
Cracked Shell	破碎的贝壳	6	Passives_Abnormality-a1c5p3.json
Gathering Slime	聚集的黏液	6	Passives_Abnormality-a1c5p3.json
Contaminating Slime	污染黏液	6	Passives_Abnormality-a1c5p3.json
Injected Hatred and Animosity	被灌输的憎恶与仇恨	6	Passives_Abnormality-a1c5p3.json
Wicked Energy	凶邪之气	6	Passives_Abnormality-a1c8p2.json
Charge Forth	跃进	6	Passives_Abnormality-a1c8p3.json
Leading Lure	领先的诱饵	6	Passives_Abnormality-a1c9p1.json
Broken Stump	损毁的根系	6	Passives_Abnormality-a1c9p1.json
Evolving Lure	进化的诱饵	6	Passives_Abnormality-a1c9p1.json
Fairy Dust	精灵粉末	6	Passives_Abnormality-a1c9p1.json
Regenerate Dimensional Refraction Blade	修复次元折射刃	6	Passives_Abnormality-a1c9p1.json
Flaming Ember	燃烧的火种	6	Passives_Abnormality-a1c9p2.json
Establish Hypothesis	假说成立	6	Passives_Abnormality-a1c9p3.json
Throwing the Ohra Bond	套上捕绳	6	Passives_Abnormality-exme.json
Broken Exhaust Port	被破坏的排气口	6	Passives_Abnormality-mr7-extreme.json
Leaking Steam	蒸汽泄漏	6	Passives_Abnormality-mr7-extreme.json
Shared Sorrow	分担的哀伤	6	Passives_Abnormality-walpu6.json
Upgrade Factory at Work	强化工厂启动	6	Passives_Abnormality.json
Amplified Aggression	膨胀的攻击性	6	Passives_Abnormality.json
Molt	脱皮	6	Passives_Abnormality.json
Living Nerves	鲜活的神经	6	Passives_Abnormality.json
Broken Means	损坏的手段	6	Passives_Abnormality.json
Old and Abandoned	被舍弃的旧伞	6	Passives_Abnormality.json
Self Destruction	自我破坏	6	Passives_Abnormality.json
Lost Means	丢失的手段	6	Passives_Abnormality.json
Damaged Shade	受损的绿荫	6	Passives_Abnormality.json
Ravening Hunger	饥饿狂暴	6	Passives_Abnormality.json
Reminisced Augmentation	深入记忆的强化肉体	6	Passives_Abnormality_Refraction.json
Thou Shalt Hammer	汝当锤	6	Passives_Abnormality_Refraction1BokGak.json
Enticing Fairy Wine	诱人的精灵酒	6	Passives_Abnormality_Refraction2.json
Apply Refracted Rupture	施加折射的破裂	6	Passives_Abnormality_Refraction2.json
Time Reversion Retroaction	时间逆行反冲	6	Passives_Abnormality_Refraction2.json
Melee Combat	近身战	6	Passives_Abnormality_Refraction5.json
After Effect	后遗症	6	Passives_Abnormality_Refraction5.json
The Wicked Caitiffs	恶党	6	Passives_Enemy-a1c7p1.json
Training Dummy	训练用木人桩	6	Passives_Enemy-a1c8p1.json
Healing Ampule Injection	注射恢复安瓿	6	Passives_Enemy-mr7-extreme.json
Emergency Ampule Administration	紧急注射安瓿	6	Passives_Enemy-mr7-extreme.json
Mind Wave	精神波动	6	Passives_Enemy.json
Recoverable	可恢复	6	RailwayDungeonUI_2.json
Buffs List	BUFF列表	6	RailwayDungeonUI_2.json
The Ghost	幽魂	6	StageNode-a1c6p1.json
Obsidian Grass	黑草	6	StageNode-a1c6p2.json
Homeward Bound	归乡	6	StageNode-a1c8p1.json
Night Ambush	夜袭	6	StageNode-a1c8p1.json
Second Round of the Family Hierarch Evaluation	第二轮家主评审	6	StageNode-a1c8p2.json
Shurajō	修罗场	6	StageNode-a1c9p1.json
Suddenly, One Day	某一日，突然	6	StageNode-a1c9p3.json
A Warm Welcome	热烈欢迎	6	StageNode1-2.json
Gobsmack	瞠目结舌	6	StageNode1-2.json
Humming Along	哼唱	6	StageNode1-3.json
Holy Night	平安夜 2	6	StageNode1-3.json
Drones and Abnormalities	无人机与异想体	6	StageNode1-4.json
Data Collection	数据收集	6	StageNode91-14.json
Dulled Harpoon	钝鱼叉	6	StageNode91-14.json
Finals	最终测验	6	StageNode91-19.json
Hierarch Rescue Operation	家主解救作战	6	StageNode91-19.json
Renketsuen	连血缘	6	StageNode91-25.json
A Blade Fiend's Fathoms	剑鬼的心象	6	StageNode91-7.json
The Final Problem	最后一案	6	StageNode91-9.json
Royalty	王族	6	UnitKeyword-a1c9p3.json
Abraxas Chariot	阿布拉克萨斯战车	6	UnitKeyword-a1c9p3.json
The Oracle's Proxy	神谕代行者	6	UnitKeyword-pilgrimage.json
Right or Left	左转或右转	5	AbEvents-a1c5p3.json
T Corp. Collector	T公司征收员	5	AbEvents-tktRe.json
1.76 MHz	1.76兆赫	5	AbEvents-walpu8.json
Eternal Rest	永远的解放	5	AbEvents.json
The First Gate	第一道关口	5	AbEvents.json
PickingRowAndColumn	选择行与列	5	AbEvents.json
Mayors, the Yearning Flotsam	梅厄斯，羡望漂流	5	AbnormalityGuides-pilgrimage.json
Feral Mane Corroded	兽鬃侵蚀者	5	AbnormalityGuides.json
부적_떼기	부적_떼기	5	ActionEvents-a1c8p2.json
Poking at the Egg	触碰卵	5	ActionEvents.json
Explosive Gloom	爆发的忧郁	5	BattleKeywords-a1c6p2.json
Explosive Envy	爆发的嫉妒	5	BattleKeywords-a1c6p2.json
Butler's Mark	管家的标记	5	BattleKeywords-a1c6p3.json
Heart Toward the New Era	迈向新时代的心	5	BattleKeywords-a1c8p3.json
Happiness, Joy, Sorrow, Wrath	喜、乐、哀、怒	5	BattleKeywords-a1c8p3.json
Sublime Immortality	至高无上的不死	5	BattleKeywords-a1c8p3.json
Infinitely Bequeathing Will of Hongyuan	悠久传承的鸿园之意	5	BattleKeywords-a1c8p3.json
Stench of Times Past	过往的恶臭	5	BattleKeywords-a1c9p1.json
Untroubled Analysis	冷静分析	5	BattleKeywords-a1c9p1.json
The Prescript's Target - The Index	食指的指令对象	5	BattleKeywords-a1c9p2.json
Insecurity: Mask	自我防御-面具	5	BattleKeywords-a1c9p3.json
Check This Out, Kiddo!	仔细看好，闺女！	5	BattleKeywords-a1c9p3.json
The Middle Styled Augmentation Tattoos	中指式强化纹身	5	BattleKeywords-a1c9p3.json
Artwork: Tibia	作品名：提比娅	5	BattleKeywords-a1c9p3.json
"K-kill... kill me..."	“杀、杀…杀了我…”	5	BattleKeywords-a1c9p3.json
Tremor - Chain	震颤-锁链	5	BattleKeywords-tkt.json
Chanting - Arcana Slave	咏唱-阿卡纳光破斩	5	BattleKeywords-walpu6.json
Makeshift Surgery	紧急手术	5	BattleKeywords.json
Blunt Resist Down	打击抗性弱化	5	BattleKeywords.json
Lust DMG Up	色欲伤害强化	5	BattleKeywords.json
Blunt Protection	打击守护	5	BattleKeywords.json
Sloth Protection	怠惰守护	5	BattleKeywords.json
Dark Flame	黑焰	5	BattleKeywords.json
Gloom Power Up	忧郁威力提升	5	BattleKeywords.json
Linebreaker	踏破敌阵	5	BattleKeywords.json
Target Aim	瞄准目标	5	BattleKeywords.json
Escape Apparatus	逃脱装置	5	BattleKeywords.json
Slot Weight +	容量增加	5	BattleKeywords_Mirror3.json
Boost Speed	速度增加	5	BattleKeywords_Mirror3.json
Sanity Attack	精神攻击	5	BattleKeywords_Mirror3.json
Headstrong I	顽强I	5	BattleKeywords_Mirror5.json
Keen XIV	锐利XIV	5	BattleKeywords_Mirror6.json
Keen XIV	强韧XIV	5	BattleKeywords_Mirror6.json
Tremor Barrier	震颤阻绝	5	BattleKeywords_Mirror6.json
Vitality Boost	生命增幅	5	BattleKeywords_Mirror6.json
Exquisite Aesthetics	卓越的美感	5	BattleKeywords_Mirror7.json
Festival of Blood	血之庆典	5	BattleKeywords_Refraction5.json
Health Refraction	体力折射	5	BattleKeywords_Refraction5.json
Buy Pass Levels	购买通行证等级	5	BattlePass.json
Damage Taken Down	受到的伤害降低	5	Bufs_Mirror4.json
Remaining Activations	剩余次数	5	DanteAbilityUIText.json
Employee Lounge	员工休息室	5	DungeonArea1-1.json
Snowy Crossroads	雪原岔道	5	DungeonArea1-2.json
Machinery Room	机械室	5	DungeonArea1-3.json
Containment Area	隔离区	5	DungeonArea1-3.json
Trash Crab Brain Wine	废料蟹脑髓泡酒	5	EGOgift_MirrorDungeon-EventTheme.json
Cetacean Heart	鲸心	5	EGOgift_MirrorDungeon-StoryTheme_2.json
Token of Victory	胜利之证	5	EGOgift_MirrorDungeon-StoryTheme_2.json
E-Type Dimensional Dagger	E型次元短剑	5	EGOgift_MirrorDungeon-mowe.json
Crystallized Blood	血液结晶	5	EGOgift_MirrorDungeon-mowe.json
Blood, Sweat, and Tears	膏血	5	EGOgift_MirrorDungeon.json
Grey Coat	灰色大衣	5	EGOgift_MirrorDungeon.json
Illusory Hunt	异想狩猎	5	EGOgift_MirrorDungeon.json
A Certain Philosophy	某种哲学	5	EGOgift_MirrorDungeon_6.json
Flower in the Mirror	镜中花	5	EGOgift_MirrorDungeon_6.json
Moon in the Water	水中月	5	EGOgift_MirrorDungeon_6.json
Entangled Fate	纠缠的缘分	5	EGOgift_MirrorDungeon_7.json
Average Artwork	凡作	5	EGOgift_MirrorDungeon_7.json
Endless Hunger	无尽的饥饿	5	EGOgift_StoryDungeon-a1c7p3.json
Ashen Constellation's Blessing	灰色星座的加护	5	EGOgift_walpu6.json
Stern Soldato of the Thumb	严格的拇指士兵	5	Enemies-a1c8p3.json
The Ring Apprentice - Albina	环指 子辈 - 阿尔比娜	5	Enemies-a1c9p1.json
Deep Sea Slider	底海滑动者	5	Enemies-pilgrimage.json
Dawn of Green - Doubt - δ	绿色的黎明 - 疑问 - δ	5	Enemies-walpu2.json
Sword of a Forgotten Knight	遗忘骑士之剑	5	Enemies-walpu6.json
Bongyguard	小凤警卫队	5	Enemies-x1p1c1.json
Recollected Awry Soldier	记忆中扭曲的残兵	5	Enemies.json
Refracted Portrait	折射的肖像	5	Enemies_Refraction4.json
A Certain World	某个世界	5	MirrorDungeonTheme-1.json
Thunder and Lightning	电闪雷鸣	5	MirrorDungeonTheme-1.json
The Infinite Procession	无尽的游行	5	MirrorDungeonTheme-1.json
Yield My Flesh to Claim Their Bones BokGak	肉斩骨断 复刻	5	MirrorDungeonTheme-1.json
Physical Training	体力锻炼	5	MirrorDungeonUI_2.json
Namesake	名副其实	5	MirrorDungeonUI_2.json
Readiness	事前准备	5	MirrorDungeonUI_2.json
Cheaper Refresh Cost	刷新所需经费减少	5	MirrorDungeonUI_2.json
Sell E.G.O Gift	售卖E.G.O饰品	5	MirrorDungeonUI_3.json
Cannot Enhance	无法强化	5	MirrorDungeonUI_3.json
Before Entry	探索前	5	MirrorDungeonUI_4.json
Biting Wind	刺骨寒风	5	MirrorDungeonUI_4.json
Tier 3 + Tier 3 => Tier 3	3级 + 3级 => 3级	5	MirrorDungeonUI_4.json
Clear Canto VI	通过第6章	5	MirrorDungeonUI_5_InfinityFloor.json
Converted to Cost	兑换为经费	5	MirrorDungeonUI_6.json
Refraction Railway Theme Pack	折射轨道主题卡包	5	MirrorDungeonUI_6.json
Weekly Projection Cap	每周可获得的投影度	5	MirrorDungeonUI_6.json
Current Theme Pack-Exclusive	当前主题卡包限定	5	MirrorDungeonUI_7.json
Brutal Stab	剜出	5	Passives-ycgd.json
Brainwave Focus	脑波集束	5	Passives.json
Broken Spirit	万念俱灰	5	Passives.json
Hustle	推波助澜	5	Passives.json
Gambit	胜负手	5	Passives.json
Dimensional Demon Edge	次元魔刃	5	Passives.json
Collective Breathing	共同呼吸	5	Passives.json
Burning Passion	炽热激情	5	Passives.json
Speedy Delivery	高速派送	5	Passives.json
Duel Livestream	决斗直播	5	Passives.json
Le Fauvisme - Couleurs Sauvages	野兽派-野性色彩	5	Passives.json
Puncturing Harpoon	鱼叉贯穿	5	Passives_Abnormality-a1c5p3.json
The Parade Repeats for Eternity	游行会永远重复下去	5	Passives_Abnormality-a1c7p2.json
In Dreams	如在梦中	5	Passives_Abnormality-a1c7p3.json
I will ask again	再问你一次	5	Passives_Abnormality-a1c8p2.json
The Final Battle	最后一战	5	Passives_Abnormality-a1c9p3.json
Burden of Responsibility	责任之重	5	Passives_Abnormality-cultivation.json
Idolatry	偶像崇拜	5	Passives_Abnormality-mr7-extreme.json
'O Clock	准点	5	Passives_Abnormality-tkt-re.json
Remaining Time	残存的时间	5	Passives_Abnormality-tkt-re.json
Breaking Pieces	破裂的碎片	5	Passives_Abnormality.json
Empty Belly	空腹	5	Passives_Abnormality.json
Blue Resin	蓝色黏液	5	Passives_Abnormality_Refraction.json
Quickening of the Unborn	胎动	5	Passives_Abnormality_Refraction6.json
Severed and Torn until Even the Form is Undone [支離滅裂]	支离灭裂	5	Passives_Assist-a1c9p3.json
Dead End	瓮中之鳖	5	Passives_Enemy-a1c6p1.json
Spiked Bat	带刺的球棒	5	Passives_Enemy-a1c6p2.json
Styptics	止血剂	5	Passives_Enemy-a1c7p1.json
The Man-eating Bear	连人都吃的熊	5	Passives_Enemy-a1c7p1.json
Clear Target	明确的目标	5	Passives_Enemy-a1c8p1.json
The Last Breath	最后的气息	5	Passives_Enemy-exme.json
Tango Marinade	探戈酱料	5	Passives_Enemy-mr7-extreme.json
Disembark	终止行进	5	RailwayDungeonUI.json
- E.G.O : Threadspin Tier 4	- E.G.O：异想解析4阶段	5	RailwayDungeonUI_1001.json
Selected Buff	选择增益	5	RailwayDungeonUI_5.json
Expression of Love	传达爱的话语	5	StageNode-a1c6p3.json
The Bell Tolls	敲钟	5	StageNode-a1c8p1.json
A Ridiculous Idea	不切实际的想法	5	StageNode-a1c8p3.json
Dance Time	舞蹈时间	5	StageNode1-1.json
A Performance	一场表演	5	StageNode1-2.json
Bright Villains	聪明的恶人	5	StageNode1-4.json
Binding 3	纽带 3	5	StageNode1-4.json
Painting of Hell	地狱般的图景	5	StageNode91-10.json
Regular Health Check-up	健康体检	5	StageNode91-14.json
Sinking on Purpose	自愿的沉溺	5	StageNode91-14.json
The Final Check-up	最后的体检	5	StageNode91-14.json
Spinning Clock	转动的时钟	5	StageNode91-20.json
The Fabled Knight	童话中的骑士	5	StageNode91-20.json
Good Memories	美好的记忆	5	StageNode91-25.json
Lineage of Blades	执剑之契	5	StageNode91-7.json
To Yong-jin Building	前往龙进大楼	5	StageNode91-7.json
Left or Right	左转或右转	4	AbEvents-a1c5p3.json
Suspicious Red Cloth	奇怪的红布	4	AbEvents-cultivation.json
Punishing Bird	惩戒鸟	4	AbEvents-walpu8.json
Queen Bee Gift Options	蜂后 饰品 选项	4	AbEvents-walpu8.json
Exhilarating Edutainment Featuring Excess Violence!	寓教于揍的有趣游戏！	4	AbEvents.json
Who Judges the Judge	审判审判官之人	4	AbEvents.json
Rite of Suppuration	溃烂仪式	4	AbEvents.json
Rite of Confrontation	直面仪式	4	AbEvents.json
Rite of Penance	忏悔仪式	4	AbEvents.json
Rite of Conclusion	最终仪式	4	AbEvents.json
<color=#ebcaa2>Nothing happened.</color>	<color=#ebcaa2>什么都没有发生。</color>	4	AbEventsResultLog.json
Dongrang has been confronted	东朗被阻拦了	4	AbEventsResultLog.json
Physical Intervention Shield Activated	物理屏蔽力场已激活	4	AbEventsResultLog_walpu4.json
Take a general, sweeping look around the factory.	整体性地调查工厂。	4	AbEvents_Mirror4.json
Take a closer look at the factory owner and the employee.	仔细地调查厂长和员工。	4	AbEvents_Mirror4.json
Carnival of La Manchaland	拉·曼却领嘉年华游行	4	AbEvents_Mirror6.json
You know your stuff	你很懂行嘛	4	AbEvents_Ycgd.json
Bamboo-hatted Kim's Past 4	金笠的过去 4	4	AbEvents_exme.json
Ardor Blossom Moth Containment Breach	红焰蛾出逃	4	AbEvents_lcbcheckup-re.json
Eat it.	尝尝看。	4	AbEvents_lcbcheckup.json
Accept and investigate.	同意调查。	4	AbEvents_lcbcheckup.json
Post-Heishou Choice Development	黑兽选项后	4	AbEvents_night-clean-up-re.json
Oddly Familiar Boombox	似曾相识的音响	4	AbEvents_night-clean-up-re.json
Gallery of the Ring's School of Fauvism	野兽派环指画廊	4	AbEvents_twth.json
Hindley, The Reaved Lamenter	因被夺取而哭嚎的亨德利	4	AbnormalityGuides-a1c6p2.json
Peccatulum Pigritiae?	怠惰罪种?	4	AbnormalityGuides-a1c6p2.json
Peccatulum Morositatis?	忧郁罪种?	4	AbnormalityGuides-ycgd.json
Peccatulum Irae?	暴怒罪种?	4	AbnormalityGuides-ycgd.json
Baba Yaga-A	芭芭雅嘎-A	4	AbnormalityGuides.json
Baba Yaga-B	芭芭雅嘎-B	4	AbnormalityGuides.json
Feral Mane Corroded	野兽鬃毛的侵蚀者	4	AbnormalityGuides.json
Spiced-up Papa Bongy	香辣凤老爹	4	AbnormalityGuides.json
Human Offering	以人为祭	4	ActionEvents.json
The Chicken Strife	炸鸡对决	4	ActionEvents.json
Rusted Hilt Choice	锈蚀的刀柄 选项	4	ActionEvents_Mirror4.json
T Corp. Tax Collection	T公司税金征收	4	ActionEvents_Mirror4.json
The Timekilling Scene	时间杀人现场	4	ActionEvents_Mirror4.json
Bizarre Machine	奇妙的机器	4	ActionEvents_Mirror6.json
Worn Hilt Choice	陈旧的刀柄 选项	4	ActionEvents_Ycgd.json
Test of the Big Brother	大哥的试炼	4	BattleKeywords-BossRaid.json
Shade of Reflection [Tigerhunt]	映射[狩虎]	4	BattleKeywords-BossRaid.json
Shade of Reflection [Chachihu]	映射[插翅虎]	4	BattleKeywords-BossRaid.json
Shade of Reflection [Tiantui Star]	映射[天退星]	4	BattleKeywords-BossRaid.json
Uneven Breathing	粗重喘息	4	BattleKeywords-a1c5p3.json
Marked Prey	猎物标识	4	BattleKeywords-a1c6p2.json
Subject of Wrath	泄愤对象	4	BattleKeywords-a1c6p3.json
Excruciating Rage	充满痛苦的暴怒	4	BattleKeywords-a1c6p3.json
Courage to Approach	靠近的勇气	4	BattleKeywords-a1c6p3.json
Seized Wrath	紧握的暴怒	4	BattleKeywords-a1c6p3.json
Foolhardy Duel	鲁莽的决斗	4	BattleKeywords-a1c7p1.json
An Actual Bear	真正的熊	4	BattleKeywords-a1c7p1.json
Deep Laceration	深度裂伤	4	BattleKeywords-a1c7p1.json
Bloodwoven Thorn	血编荆棘	4	BattleKeywords-a1c7p2.json
Bloodmolded Thorn	血塑荆棘	4	BattleKeywords-a1c7p2.json
Imperfect Parade	不完善的游行	4	BattleKeywords-a1c7p2.json
Unstoppable Bliss	无法停止的欢喜	4	BattleKeywords-a1c7p2.json
Box of Curses	诅咒包裹	4	BattleKeywords-a1c7p3.json
Shimmering【Bloodfiend】	摇曳【血魔】	4	BattleKeywords-a1c7p3.json
Dreamy Hesitation	如在梦中的犹豫	4	BattleKeywords-a1c7p3.json
Polydipsic Rose	饥渴的玫瑰	4	BattleKeywords-a1c7p3.json
Rose Wedge	玫瑰之楔	4	BattleKeywords-a1c7p3.json
The Endless Wheel	不停旋转的摩天轮	4	BattleKeywords-a1c7p3.json
Returning Bloodlust III	复还的血之冲动III	4	BattleKeywords-a1c7p3.json
Congealing Blood	正在凝固的血	4	BattleKeywords-a1c7p3.json
Crippling Injury	严重的负伤	4	BattleKeywords-a1c7p3.json
My True Heart...	我的本心…	4	BattleKeywords-a1c8p2.json
Protective Stance	守护姿态	4	BattleKeywords-a1c8p2.json
