# en	cn	en_hits	cn_hits	source
Devil's Share	魔鬼所享	4	4	EGOgift_MirrorDungeon.json
Emerald Elytra	绿色鞘翅	4	4	EGOgift_MirrorDungeon.json
UPS System	不间断电源装置	4	4	EGOgift_MirrorDungeon.json
Patrolling Flashlight	巡逻用手电筒	4	4	EGOgift_MirrorDungeon.json
Scalpel	手术用刀	5	3	EGOgift_MirrorDungeon.json
Burial Curse	作祟	3	5	EGOgift_MirrorDungeon.json
Dark Vestige	黯淡的残影	4	4	EGOgift_MirrorDungeon.json
Raincloud	乌云	1	7	EGOgift_MirrorDungeon_7.json
Desperate's Knot	绝望结	2	6	EGOgift_StoryDungeon-a1c5p3.json
Jin Gang Bolus	金刚丸	7	1	EGOgift_a1c8p2.json
Shaoxing Wine	绍兴酒	4	4	EGOgift_cultivation.json
Revived K Corp. Security	复活的K公司检查站安保人员	4	4	Enemies-a1c5p1.json
Heart of the Townsfolk	镇民之心	4	4	Enemies-a1c5p1.json
Urgent T Corp. Gangster	焦急的T公司黑帮成员	4	4	Enemies-a1c6p1.json
Veteran Edgar Family Butler	资深的埃德加家族管家	4	4	Enemies-a1c6p1.json
Coagulated Dream	凝结的梦	4	4	Enemies-a1c7p3.json
Gift Sack	礼物袋	4	4	Enemies-a1c951.json
Tree of Desires	欲望之树	2	6	Enemies-mirror4.json
Basin Sea Reaper	钵海收割者	4	4	Enemies-pilgrimage.json
Bongy Security	小凤安保人员	2	6	Enemies-x1p1c1.json
Downcast Veteran	变本加厉的残兵	4	4	Enemies.json
Guido the Persistent	执着的圭多	4	4	Enemies.json
Refracted Clover	折射的四叶草	5	3	Enemies_Refraction2.json
Takeoff Module - E.G.O Spinning [WAW] x1	跳跃成长模组 - E.G.O解析 [WAW]	0	8	Items.json
Mirror of the Beginning	起始之镜	4	4	MirrorDungeonName.json
The Unconfronting	未曾面对	3	5	MirrorDungeonTheme-1.json
The Heartbreaking	心意相悖	4	4	MirrorDungeonTheme-1.json
Miracle in District 20 BokGak	20区的奇迹 复刻	0	8	MirrorDungeonTheme-1.json
E.G.O Gifts Owned	所持E.G.O饰品	5	3	MirrorDungeonUI_2.json
Not enough Starlight.	星芒不足。	3	5	MirrorDungeonUI_2.json
To List	转到列表	7	1	MirrorDungeonUI_2.json
E.G.O Gift Tier Forecast	预期的E.G.O饰品等级	2	6	MirrorDungeonUI_4.json
Remaining Starlight Bonus	剩余的星芒奖励	4	4	MirrorDungeonUI_5.json
Remaining Starlight	剩余星芒	6	2	MirrorDungeonUI_6.json
Set Adversities	设置制约	3	5	MirrorDungeonUI_6.json
Adversity Bonus	制约加成	5	3	MirrorDungeonUI_6.json
Brush it Off	梳理发型	4	4	Passives-BossRaid.json
Savage Tigermark Support	猛虎标弹支援	4	4	Passives-BossRaid.json
Emptied Thought	放空思绪	2	6	Passives.json
Buy Time	赚取时间	4	4	Passives.json
Armadura de Sangre	血甲	1	7	Passives.json
Oracle Device [Caduceus]	神谕终端[双蛇杖]	0	8	Passives.json
Worker Bee	工蜂	4	4	Passives.json
To Where I Must Return	归处	0	8	Passives.json
Panic Recovery	恐慌恢复	4	4	Passives_Abnormality-a1c7p1.json
Festival of Wonders	梦幻的庆典	4	4	Passives_Abnormality-a1c7p2.json
Hunter's Mark	狩猎印记	4	4	Passives_Abnormality-a1c9p1.json
Returning Past	回现的过去	4	4	Passives_Abnormality-mr7-extreme.json
Misplaced Past	消逝的过去	4	4	Passives_Abnormality-mr7-extreme.json
Call of the Bloodkin	同胞的呼唤	6	2	Passives_Abnormality-pilgrimage.json
Taken by the Horns	无力化	1	7	Passives_Abnormality.json
Contaminating Leaf	污染的叶子	4	4	Passives_Abnormality.json
Keep It Fresh	保鲜	4	4	Passives_Abnormality.json
Overloaded HP Bullet	过载HP弹	4	4	Passives_Abnormality_Refraction.json
Apply Refracted Sinking	施加折射的沉沦	4	4	Passives_Abnormality_Refraction2.json
Blossoming Sins	盛放的罪孽	4	4	Passives_Abnormality_Refraction2.json
Rose on a Vine	绽于藤蔓的玫瑰	4	4	Passives_Abnormality_Refraction2.json
Thundering Wrath [震怒]	震怒	0	8	Passives_Abnormality_Refraction6.json
oice...!	叫我…	0	8	Passives_Enemy-a1c6p3.json
Hou...	整…	1	7	Passives_Enemy-a1c6p3.json
Jar-haunting Curse	宿于瓮中的诅咒	4	4	Passives_Enemy-a1c8p1.json
Overflowing Sorrow	满溢而出的哀伤	4	4	Passives_Enemy-mr7-extreme.json
Line 1 Boarding	进入1号线前	4	4	RailwayDungeonNode1BokGak.json
Please Deploy all Sinners.	存在未编入队伍的人格。	4	4	RailwayDungeonUI_1001.json
Select Buffs	选择BUFF	5	3	RailwayDungeonUI_2.json
Cruise Party	游轮宴会	4	4	StageNode-a1c5p2.json
Riddles	谜语	6	2	StageNode-a1c6p1.json
Matt	马特	2	6	StageNode-a1c6p2.json
Wish Canister	愿望罐	4	4	StageNode1-2.json
Bonfire	篝火	4	4	StageNode1-3.json
Best Employee	最优秀的员工	5	3	StageNode1-4.json
Urgent Call	紧急呼叫	4	4	StageNode1-4.json
Glorious Past	辉煌的过往	5	3	StageNode1-4.json
Heishou Pack Adept	黑兽 魁首	4	4	UnitKeyword.json
Before a Sealed Door	在紧闭的门扉前	3	4	AbEvents.json
The First Gate	第一关	3	4	ActionEvents.json
Red Tassel Choice	红色流苏 选项	4	3	ActionEvents_Mirror4.json
Starbuck's Ego	斯达巴克的自我	3	4	BattleKeywords-a1c5p3.json
Away With You	别妨碍我	4	3	BattleKeywords-a1c6p3.json
A Sliver of Anticipation	一丝期待	2	5	BattleKeywords-a1c8p2.json
HO! HO! HO!	嚯！嚯！嚯！	0	7	BattleKeywords-a1c951.json
Bladetrail [Afterimage]	剑痕[残像]	0	7	BattleKeywords-a1c9p2.json
I Got Praised!	受到表扬啦！	0	7	BattleKeywords-a1c9p3.json
Protecting Pest [Roaches]	防御害虫[蜚蠊]	0	7	BattleKeywords-a1c9p3.json
Tremor - Superposition	震颤-叠加	0	7	BattleKeywords-tkt.json
Microprecision Time Acceleration	超精密时间加速	3	4	BattleKeywords-tkt.json
Helpless Tears	无能为力之泪	3	4	BattleKeywords-walpu6.json
Desperado	亡命之徒	3	4	BattleKeywords-walpu8.json
Great Mountain	坚如泰山	5	2	BattleKeywords.json
Umbrella Splinters	雨伞碎片	3	4	BattleKeywords.json
Dhyāna	禅那	0	7	BattleKeywords.json
Damage Taken Down	受到伤害降低	4	3	BattleKeywords_Mirror3.json
Delicateness	易碎	3	4	BattleKeywords_Mirror7.json
Peccatulum Invidiae Class 2	嫉妒罪种 2型	4	3	BattleKeywords_Refraction4.json
Resilient Determination	坚定的意志	3	4	BattleKeywords_Refraction4.json
Insufficient Paid Lunacy	付费狂气不足	2	5	BattlePass.json
Stalwart Spirit	坚韧不拔	2	5	Bufs.json
Whale Guts	鲸的胃	3	4	DungeonArea-a1c5p3.json
Rendezvous Area Before the Heart	心脏前的集合点	0	7	DungeonArea-a1c5p3.json
Canteen	茶水间	5	2	DungeonArea1-1.json
Chapel	礼拜堂	2	5	DungeonArea1-3.json
Tango Marinade	探戈鸡酱料	4	3	EGOgift_MirrorDungeon-EventTheme.json
Harestride	卯足	4	3	EGOgift_MirrorDungeon-EventTheme_2.json
Non-disclosure Agreement	保密协议	3	4	EGOgift_MirrorDungeon.json
Tailor's Scissors	裁缝用剪刀	4	3	EGOgift_MirrorDungeon.json
Epicenter	震源	5	2	EGOgift_MirrorDungeon_2.json
Meat Tenderizer	松肉锤	3	4	EGOgift_MirrorDungeon_7.json
N Corp. Seal	N公司印章	3	4	EGOgift_StoryDungeon.json
Shell Sea Runner	壳海狂奔者	3	4	Enemies-pilgrimage.json
Bongybug	小凤虫	3	4	Enemies-x1p1c1.json
Pink Shoes Enchantee	粉红鞋魅惑之人	3	4	Enemies.json
Rustic-sounding Tingtanger	土里土气的豆豆帮成员	6	1	Enemies.json
Lobotomy E.G.O::Sloshing	脑叶公司E.G.O::荡漾	0	7	Enemies.json
Refracted Fairy Wine	折射的精灵酒	4	3	Enemies_Refraction2.json
The Unloving	无法去爱	3	4	MirrorDungeonTheme-1.json
The Evil Defining	定义为恶	3	4	MirrorDungeonTheme-1.json
The Surrendered Witnessing	不思观望	3	4	MirrorDungeonTheme-1.json
One Step Further	再进一步	2	5	MirrorDungeonUI_2.json
Challenge Mode	挑战模式	4	3	MirrorDungeonUI_2.json
Seize the Opportunity	及锋而试	3	4	MirrorDungeonUI_2.json
Higher Tier Gifts appear	出现饰品等级上升	4	3	MirrorDungeonUI_2.json
+1 E.G.O resource for all Affinities	所有E.G.O资源+1	0	7	MirrorDungeonUI_2.json
Enhance E.G.O Gift	强化E.G.O饰品	1	6	MirrorDungeonUI_3.json
Acquired E.G.O Gifts	已获取E.G.O饰品数量	6	1	MirrorDungeonUI_3.json
View Desc.	详细内容	1	6	MirrorDungeonUI_3.json
3 Gifts	3件	2	5	MirrorDungeonUI_4.json
Weekly Cap	每周限制量	6	1	MirrorDungeonUI_6.json
Current Progress	当前进度	1	6	MirrorDungeonUI_6.json
Seize ya Chance	及锋而试	3	4	Passives-a1c9116.json
Enduring Spirit	坚韧不拔	2	5	Passives.json
Walking the Line of Death	垂死挣扎	0	7	Passives.json
Spite-driven	意气用事	3	4	Passives.json
Bullets are Pricey	子弹很贵	3	4	Passives.json
Hour of the Hunt	狩猎时刻	1	6	Passives.json
Rough Sketch	草图	5	2	Passives.json
We've Got Your Back	后方支援	3	4	Passives.json
Undying Persistence	顽强的生命力	3	4	Passives.json
Desperate Struggle	拼死奋战	4	3	Passives.json
Open Alley	通路	2	5	Passives.json
Burning Embers	燃烧的火种	3	4	Passives_Abnormality-a1c5p3.json
Underwater Breathing	水下呼吸	3	4	Passives_Abnormality-a1c5p3.json
Heart of Vengeance	复仇心	1	6	Passives_Abnormality-a1c6p2.json
Parade of Happiness	幸福的游行	2	5	Passives_Abnormality-a1c7p2.json
For the Family...	为了家人…	3	4	Passives_Abnormality-a1c7p3.json
Scattering Breath	紊乱的呼吸	1	6	Passives_Abnormality-a1c951.json
Undertake Orders	执行命令	2	5	Passives_Abnormality-exme.json
NOT FOR DISPLAY	如果它出现了也是bug	4	3	Passives_Abnormality.json
Broken Umbrella	损坏的伞	4	3	Passives_Abnormality.json
Toward the Ideal	向着理想	3	4	Passives_Abnormality.json
Manufactured Respite	稍作休息	1	6	Passives_Abnormality.json
HP Ampule Injection	注射HP安瓿	3	4	Passives_Abnormality_Refraction.json
Paired Assault	勠力	1	6	Passives_Assist-a1c8p2.json
Diversion	注意力分散	6	1	Passives_Enemy-pilgrimage.json
Cannot Deploy	无法出战	4	3	RailwayDungeonUI_5.json
Insubordination	违抗命令	6	1	StageNode-a1c5p1.json
The Whaler	捕鲸人	1	6	StageNode-a1c5p2.json
Operation Spider Pyre	蜘蛛巢焚灭讨伐战	1	6	StageNode-a1c9p3.json
Temporal Entanglement	时间纠缠	3	4	StageNode-a1c9p3.json
The Trio	三人组	5	2	StageNode1-1.json
Towering Cars	汽车塔	1	6	StageNode1-2.json
Constellations	星座	2	5	StageNode1-4.json
An Age Without Technology	技术不复存在的时代	3	4	StageNode1-4.json
New Classification Codes	新的编号	3	4	StageNode91-14.json
Light of the City	都市之光	3	4	StageNode91-20.json
S.A.N.G.R.I.A.	万短至艺	4	3	StageNode91-25.json
Looking for a Drone	寻找无人机	3	3	AbEvents.json
<color=#ebcaa2>[{0}] got Staggered!</color>	<color=#ebcaa2>[{0}]陷入了混乱</color>	0	6	AbEventsResultLog.json
- Remove the first Stagger Threshold	- 移除自身的第一混乱阈值	0	6	AbEventsResultLog_Refraction6.json
Refracted Four-hundred Roses	折射的四百朵玫瑰	3	3	AbEvents_Mirror6.json
Coil Corroded	蛇手侵蚀者	3	3	AbnormalityGuides.json
Kromer the Attempted Protoplast	欲成原初的克罗默	3	3	AbnormalityGuides.json
S-08-04-01	S-08-04-01	3	3	AbnormalityGuides.json
Brazen Bull - Tearful	黄铜公牛 - 流泪	0	6	AbnormalityGuides.json
An Ampule to Use	使用再生安瓿。	3	3	ActionEvents.json
Factory Laborer	工厂的工人	3	3	ActionEvents_Mirror4.json
Recurring Faith and Promise	循环的信念与承诺	3	3	ActionEvents_Mirror7.json
Shade of Reflection [Rouge]	映射[红色]	0	6	BattleKeywords-BossRaid.json
Shade of Reflection [Bleu]	映射[蓝色]	0	6	BattleKeywords-BossRaid.json
Shade of Reflection [The Middle]	映射[中指]	0	6	BattleKeywords-BossRaid.json
Shade of Reflection [Ambuscade]	映射[突袭]	0	6	BattleKeywords-BossRaid.json
Shade of Reflection [Bearhunt]	映射[狩熊]	0	6	BattleKeywords-BossRaid.json
Fluorescence Shard	荧光灯碎片	2	4	BattleKeywords-a1c5p3.json
Undefiable Command	不可抗拒的命令	3	3	BattleKeywords-a1c5p3.json
Fettered Woe	未能释怀的怅惘	3	3	BattleKeywords-a1c6p3.json
Little Carmilla	小卡蜜拉	4	2	BattleKeywords-a1c7p3.json
Returning Bloodlust II	复还的血之冲动II	2	4	BattleKeywords-a1c7p3.json
Irresponsible Dream	不负责任的梦	3	3	BattleKeywords-a1c7p3.json
Heaping Obedience	积累的顺从	3	3	BattleKeywords-a1c8p3.json
Malattunement	未感应	3	3	BattleKeywords-a1c8p3.json
Perpetuating Gluttony	不息的暴食	2	4	BattleKeywords-a1c9114.json
Eye of Precognition - Overheat	预知眼 过热	0	6	BattleKeywords-a1c9p3.json
Shin (心) - The Red Gaze	心-猩红视线	0	6	BattleKeywords-a1c9p3.json
Of the Second Smoke War	第二次烟霾战争的	0	6	BattleKeywords-a1c9p3.json
Tiansha Star's Blade - Arayashiki [天殺星刀阿賴耶識]	天杀星刀-阿赖耶识	0	6	BattleKeywords-a1c9p3.json
Procuration [Hermes]	代行[赫尔墨斯]	0	6	BattleKeywords-a1c9p3.json
When hacking through the ribs with a hatchet...	用手斧将肋骨砍下时…	0	6	BattleKeywords-a1c9p3.json
When penetrating the lungs with a stiletto...	用锥将肺贯穿时…	0	6	BattleKeywords-a1c9p3.json
When caving in the back of the skull with a hammer...	应该用锤子将后脑敲碎时…	0	6	BattleKeywords-a1c9p3.json
When rending the body with a greatsword...	应该用大剑将躯干劈开时…	0	6	BattleKeywords-a1c9p3.json
When rending the body with a great sword...	应该用大剑将躯干劈开时…	0	6	BattleKeywords-a1c9p3.json
When boring a 20-inch hole with a lance...	应该用长枪刺穿一个20英寸的洞时…	0	6	BattleKeywords-a1c9p3.json
Crit DMG Up	暴击伤害强化	3	3	BattleKeywords-a1c9p3.json
Strider【Wu】	脚力【午】	0	6	BattleKeywords-cultivation.json
Galestruck	余波	2	4	BattleKeywords-cultivation.json
Recoiling	反冲力	2	4	BattleKeywords-cultivation.json
Dujeong Brigandine [Sal]	布面甲[肉]	0	6	BattleKeywords-exme.json
Tremor - Distribution	震颤-分配	0	6	BattleKeywords-tkt.json
Le Fauvisme - Masque de Loup	野兽派-狼面	0	6	BattleKeywords-twth.json
Only Ashes Remain	只余灰烬	2	4	BattleKeywords-walpu4.json
Imminent Decay	濒临崩坏	3	3	BattleKeywords-walpu4.json
Cold, Black Tears	漆黑冰冷之泪	0	6	BattleKeywords-walpu6.json
Hyped-up	亢奋	2	4	BattleKeywords-walpu8.json
Minus Coin Boost	减算硬币强化	3	3	BattleKeywords.json
Slash Resist Down	斩击抗性弱化	3	3	BattleKeywords.json
Final Augment	最终改造	3	3	BattleKeywords.json
Perilous Heart	岌岌可危的心灵	3	3	BattleKeywords.json
Faltering Heart	混乱不安的心灵	3	3	BattleKeywords.json
Corroding Heart	渐被侵蚀的心灵	3	3	BattleKeywords.json
Radiant Vanity	耀眼的虚荣	3	3	BattleKeywords.json
Borne Fruition	成熟的果实	3	3	BattleKeywords.json
Radiant Desire	耀眼的欲望	3	3	BattleKeywords.json
Overheal	过量恢复	3	3	BattleKeywords.json
Emergency Nutrient Supply	应急营养源	3	3	BattleKeywords.json
Sinking Fragility	沉沦易损	3	3	BattleKeywords.json
B.M.	管·标	2	4	BattleKeywords.json
Strategic R&R Mode	战略性休息福利模式	0	6	BattleKeywords.json
Blooming Thorn II	绽放荆棘II	2	4	BattleKeywords.json
Tianjiu Star's Blade	天究星刀	3	3	BattleKeywords.json
Gluttonous Thorn (貪食棘)	贪食棘	0	6	BattleKeywords.json
Uncompromising Imposition	贯彻	2	4	BattleKeywords.json
Higher Thunderer	大弦惊	3	3	BattleKeywords.json
Hardblood Cast	硬血铸造	3	3	BattleKeywords.json
Excision Coin	截除硬币	3	3	BattleKeywords.json
Inflict additional Tremor	震颤追加	4	2	BattleKeywords_Mirror3.json
Slash Boost	斩击强化	3	3	BattleKeywords_Mirror3.json
Pierce Boost	突刺强化	3	3	BattleKeywords_Mirror3.json
Blunt Boost	打击强化	3	3	BattleKeywords_Mirror3.json
Coin Power Up I	硬币威力增幅 I	2	4	BattleKeywords_Mirror3.json
Overload I	过载 I	2	4	BattleKeywords_Mirror3.json
Final Power Up III	最终威力增幅 III	4	2	BattleKeywords_Mirror3.json
Final Power Up IV	最终威力增幅 IV	4	2	BattleKeywords_Mirror3.json
Base Power Up III	基础威力增幅 III	4	2	BattleKeywords_Mirror3.json
Max HP Boost I	体力上限增强I	2	4	BattleKeywords_Mirror4.json
Amplify Body II	肉体增强II	2	4	BattleKeywords_Mirror4.json
Expand Body II	肉体扩展II	2	4	BattleKeywords_Mirror4.json
Final Power Boost III	最终威力增强III	2	4	BattleKeywords_Mirror4.json
Clash Attack Boost I	拼点攻击增强I	2	4	BattleKeywords_Mirror4.json
Final Power Boost IV	最终威力增强IV	2	4	BattleKeywords_Mirror4.json
Base Power Boost III	基础威力增强III	2	4	BattleKeywords_Mirror4.json
Offense Level Up I	攻击等级强化I	2	4	BattleKeywords_Mirror5.json
Growth II	生长II	2	4	BattleKeywords_Mirror5.json
Keen II	锐利II	2	4	BattleKeywords_Mirror5.json
Body Up II	肉体强化II	2	4	BattleKeywords_Mirror5.json
Clash Power Up II	拼点威力增强II	2	4	BattleKeywords_Mirror5.json
Brutality II	破坏力II	2	4	BattleKeywords_Mirror5.json
Keen VII	锐利VII	2	4	BattleKeywords_Mirror5.json
Resilient VII	强韧VII	2	4	BattleKeywords_Mirror5.json
Body Up VII	肉体强化VII	2	4	BattleKeywords_Mirror5.json
Growth VII	生长VII	2	4	BattleKeywords_Mirror5.json
Brutality V	破坏力V	2	4	BattleKeywords_Mirror5.json
Keen XII	锐利XII	2	4	BattleKeywords_Mirror6.json
Resilient XII	强韧XII	2	4	BattleKeywords_Mirror6.json
Body Up XII	肉体强化XII	2	4	BattleKeywords_Mirror6.json
Growth XII	生长XII	2	4	BattleKeywords_Mirror6.json
Clash Power Up VII	拼点威力增强VII	2	4	BattleKeywords_Mirror6.json
Final Power Up VII	最终威力增强VII	2	4	BattleKeywords_Mirror6.json
Base Power Up VII	基础威力增强VII	2	4	BattleKeywords_Mirror6.json
Keen XV	锐利XV	2	4	BattleKeywords_Mirror6.json
Resilient XV	强韧XV	2	4	BattleKeywords_Mirror6.json
Body Up XV	肉体强化XV	2	4	BattleKeywords_Mirror6.json
Growth XV	生长XV	2	4	BattleKeywords_Mirror6.json
Clash Power Up X	拼点威力增强X	2	4	BattleKeywords_Mirror6.json
Final Power Up X	最终威力增强X	2	4	BattleKeywords_Mirror6.json
Base Power Up X	基础威力增强X	2	4	BattleKeywords_Mirror6.json
Mark of Fire I	炎之烙印I	2	4	BattleKeywords_Mirror6.json
Inflation I	通货膨胀I	2	4	BattleKeywords_Mirror6.json
Ego Interference I	自我干涉I	2	4	BattleKeywords_Mirror6.json
Mental Psychosis I	精神错乱I	2	4	BattleKeywords_Mirror6.json
Nerve Acceleration I	神经加速I	2	4	BattleKeywords_Mirror6.json
SP Fatigue I	理智枯竭I	2	4	BattleKeywords_Mirror6.json
Splish Splash	拍拍	2	4	BattleKeywords_Mirror7.json
Drenched Sin	罪孽缠身	2	4	BattleKeywords_Refraction2.json
All-beholding Gaze	一览无余的视线	3	3	BattleKeywords_Refraction3.json
Gathering Lightning Cloud	雷云汇集	3	3	BattleKeywords_Refraction4.json
Growth Refraction I	生长折射 I	2	4	BattleKeywords_Refraction5.json
Lasting Determination	延续意志	3	3	BattleKeywords_Refraction5.json
Suppressed Might	被抑制的力量	3	3	BattleKeywords_Refraction6.json
Including the Special Banner	附带特别横幅	3	3	
Organization Compulsion	整理强迫	3	3	Bufs-a1c6p1.json
Misshapen Painting	凌乱的绘画	3	3	Bufs-a1c6p2.json
Resanguination	呈血	3	3	Bufs-a1c7p3.json
Constricting Desires	紧缚欲望	3	3	Bufs.json
Rotting Skin	腐化外皮	3	3	Bufs.json
Behead Heathcliffs	斩首希斯克利夫	3	3	Bufs.json
Ahab's Office	亚哈的办公室	3	3	DungeonArea-a1c5p3.json
Sinew Bridge	肌腱之桥	3	3	DungeonArea-a1c5p3.json
Control Team Containment	控制部管理收容区	3	3	DungeonArea1-1.json
Containment Hall 2	第二收容走廊	3	3	DungeonArea1-1.json
Smoke War Central Front	烟霾战争 中部战线	1	5	DungeonArea1-1.json
Defense Line 23-7 - 1100 Hours	第23-7 防线 11:00	0	6	DungeonArea1-1.json
Factory Entrance	工厂入口	2	4	DungeonArea1-2.json
Molding Chamber	注塑室	3	3	DungeonArea1-2.json
Backup Generators	备用发电站	3	3	DungeonArea1-2.json
Old Warehouse	旧仓库	3	3	DungeonArea1-3.json
Etched Clock Hands	蚀刻的指针	2	4	EGOgift_MirrorDungeon-EventTheme.json
Rusted Clock Hands	锈蚀的指针	2	4	EGOgift_MirrorDungeon-EventTheme.json
Snake Slough	蛇蜕	3	3	EGOgift_MirrorDungeon-EventTheme_2.json
False Halo	虚假的光相	3	3	EGOgift_MirrorDungeon-EventTheme_2.json
Unhatched Embers	未孵化的火种	3	3	EGOgift_MirrorDungeon-EventTheme_2.json
Operation Authorization Card	作战批准卡	3	3	EGOgift_MirrorDungeon-EventTheme_2.json
Wholeness	完全性	5	1	EGOgift_MirrorDungeon-StoryTheme.json
Town-protecting Harpoon	守镇鱼叉	3	3	EGOgift_MirrorDungeon-StoryTheme_2.json
Broken Violin	损坏的小提琴	3	3	EGOgift_MirrorDungeon-StoryTheme_2.json
Butler Style Binding Arts	管家式束缚法	3	3	EGOgift_MirrorDungeon-StoryTheme_2.json
Mask of the Parade	游行的面具	3	3	EGOgift_MirrorDungeon-StoryTheme_2.json
Discarded Dimensional Gauntlet	被遗落的次元护手	3	3	EGOgift_MirrorDungeon-mowe-re.json
Blue Starshard	蓝星碎片	3	3	EGOgift_MirrorDungeon-mowe-re.json
Hellterfly’s Dream	地狱蝶之梦	0	6	EGOgift_MirrorDungeon.json
Perversion	倒错症	3	3	EGOgift_MirrorDungeon.json
Rusty Commemorative Coin	锈蚀的纪念币	3	3	EGOgift_MirrorDungeon.json
Sticky Muck	黏性淤浆	3	3	EGOgift_MirrorDungeon.json
Blue Zippo Lighter	蓝色芝宝牌打火机	3	3	EGOgift_MirrorDungeon.json
Pinpoint Logic Circuit	单点打击逻辑电路	3	3	EGOgift_MirrorDungeon.json
Red Order	赤色指令	3	3	EGOgift_MirrorDungeon.json
Smokes and Wires	烟霾与铁丝网	3	3	EGOgift_MirrorDungeon.json
Oscillating Bracelet	震荡手环	3	3	EGOgift_MirrorDungeon.json
Rusted Cutting Knife	锈蚀的美工刀	3	3	EGOgift_MirrorDungeon.json
Portable Battery Socket	便携式电源插座	3	3	EGOgift_MirrorDungeon.json
Dust to Dust	土归土	3	3	EGOgift_MirrorDungeon.json
Midwinter Nightmare	仲冬夜之噩梦	3	3	EGOgift_MirrorDungeon.json
Curriculum Vitae	简历	3	3	EGOgift_MirrorDungeon.json
Wrist Guards	护腕	3	3	EGOgift_MirrorDungeon.json
Headless Portrait	无头肖像	3	3	EGOgift_MirrorDungeon.json
Charge-type Gloves	充能式手套	3	3	EGOgift_MirrorDungeon.json
Painkiller	止痛药	1	5	EGOgift_MirrorDungeon.json
Piece of Relationship	缘分残片	3	3	EGOgift_MirrorDungeon.json
Burning Intellect	炽热的智慧	3	3	EGOgift_MirrorDungeon.json
Rusted Muzzle	锈蚀的笼头	3	3	EGOgift_MirrorDungeon.json
Bell of Truth	真理之钟	3	3	EGOgift_MirrorDungeon.json
Broken Compass	破碎罗盘	3	3	EGOgift_MirrorDungeon.json
Ornamental Horseshoe	马蹄铁饰物	3	3	EGOgift_MirrorDungeon.json
Polarization	偏振光	3	3	EGOgift_MirrorDungeon.json
Arrested Hymn	被扣留的颂歌	3	3	EGOgift_MirrorDungeon.json
Smoking Gunpowder	有烟火药	3	3	EGOgift_MirrorDungeon.json
Deceptive Accord	虚饰的和平	3	3	EGOgift_MirrorDungeon.json
Moment of Sentencing	宣判之刻	3	3	EGOgift_MirrorDungeon.json
Carpenter's Nail	木工用长钉	3	3	EGOgift_MirrorDungeon.json
Torn Bandolier	撕裂的弹带	3	3	EGOgift_MirrorDungeon.json
Keenbranch	磨尖的树枝	3	3	EGOgift_MirrorDungeon.json
Compression Bandage	加压绷带	3	3	EGOgift_MirrorDungeon.json
Temporal Bridle	时间的枷锁	3	3	EGOgift_MirrorDungeon.json
Clasped Sculpture	紧握的雕像	3	3	EGOgift_MirrorDungeon.json
Faint Vestige	微茫的残影	3	3	EGOgift_MirrorDungeon.json
Short Cane Sword	拐杖短剑	3	3	EGOgift_MirrorDungeon.json
Cloudpattern Gourd Bottle	云纹鹤颈瓶	3	3	EGOgift_MirrorDungeon.json
Plume of Proof	见证的羽饰	3	3	EGOgift_MirrorDungeon.json
Torn Hems	磨破的衣袖	3	3	EGOgift_MirrorDungeon.json
Pocket Flashcards	口袋助记卡	3	3	EGOgift_MirrorDungeon.json
Omni-tool	万能工具	3	3	EGOgift_MirrorDungeon_7.json
Thermal Weapon	热丝武器	3	3	EGOgift_MirrorDungeon_7.json
Baleful Hwando	寄宿鬼气的环刀	3	3	EGOgift_MirrorDungeon_7.json
Tarnished Gauntlet	褪色的护手	3	3	EGOgift_MirrorDungeon_7.json
Noose	绞索	5	1	EGOgift_StoryDungeon-a1c5p3.json
Searing Brass	灼热的铜管	3	3	EGOgift_TwiningThreads.json
Interlinked Time	交织的时间	3	3	EGOgift_tktRe.json
Emergency Investigator Badge	紧急授予型搜查官徽章	3	3	EGOgift_tktRe.json
Entanglement Override Sequencer	强制纠缠定序器	3	3	EGOgift_tktRe.json
Harmonics	泛音	3	3	EGOgift_walpu8.json
Walking Bass	行进贝斯	3	3	EGOgift_walpu8.json
Pallid White Mermaid	苍白的白色人鱼	3	3	Enemies-a1c5p2.json
Pallid Blue Mermaid	苍白的蓝色人鱼	3	3	Enemies-a1c5p2.json
Pallid Entwined Mermaid	苍白的纠缠人鱼	3	3	Enemies-a1c5p2.json
Pallidified Thing-Shield	苍白之物-盾	3	3	Enemies-a1c5p2.json
Pallidified Thing-Club	苍白之物-棍	3	3	Enemies-a1c5p2.json
Pallidified Thing-Pirate	苍白之物-海盗	3	3	Enemies-a1c5p2.json
Pallidified Thing-Hook	苍白之物-钩	3	3	Enemies-a1c5p2.json
Scared T Corp. Gangster	胆怯的T公司黑帮成员	3	3	Enemies-a1c6p1.json
Disgraced Bloodbag	堕落的血袋	3	3	Enemies-a1c7p2.json
Despairing Bloodbag	绝望的血袋	3	3	Enemies-a1c7p2.json
Impaling Spear	贯穿之枪	3	3	Enemies-a1c7p3.json
The Thumb Nursefather - Valencina	拇指 父辈 - 瓦伦希娜	0	6	Enemies-a1c9p3.json
Nethersea Founder	深溟奠基者	3	3	Enemies-pilgrimage.json
Nethersea Spewer	深溟喷溅者	3	3	Enemies-pilgrimage.json
Left Stem	左侧枝干	3	3	Enemies.json
Right Stem	右侧枝干	3	3	Enemies.json
