# pattern	count	en_example	cn_example
<TAG> Deal -<N>% damage and damage dealt by this Skill cannot Stagger the target	16	[DefeatDuel] Deal -80% damage and damage dealt by this Skill cannot Stagger the target	[DefeatDuel] 使本技能造成的伤害-80%，且本技能造成的伤害不会使目标陷入混乱
<TAG> Gain <N> <TAG> next turn (once per Skill)	16	[OnSucceedAttack] Gain 1 [AttackDmgUp] next turn (once per Skill)	[OnSucceedAttack] 下回合使自身获得1层[AttackDmgUp](每个技能最多1次)
<TAG> If target has <TAG>, heal <N> SP	16	[EnemyKill] If target has [FreezingDOQ], heal 20 SP	[EnemyKill] 若目标带有[FreezingDOQ]，则使自身恢复20点理智值
<TAG> Inflict <N> Blooming	16	[OnSucceedAttack] Inflict 1 Blooming	[OnSucceedAttack] 对目标施加1层开花 
<TAG> If target has <TAG>, inflict <N> <TAG>	16	[OnSucceedAttack] If target has [Laceration], inflict 5 [Combustion]	[OnSucceedAttack] 若目标带有[Laceration]，则使其增加5级[Combustion]强度
Deal +<N>% damage for every type of negative effect on target (max <N>%)	16	Deal +25% damage for every type of negative effect on target (max 125%)	目标每带有1种负面状态，使本硬币造成的伤害+25%(最多+125%)
<TAG> Gain +<N> Tremor Count	16	[OnSucceedAttack] Gain +3 Tremor Count	[OnSucceedAttack] 对自身施加3层震颤 
Aboard Mephistopheles's Deck	16	Aboard Mephistopheles's Deck	梅菲斯托费勒斯 甲板
Central Command Sephirah	16	Central Command Sephirah	中央本部 Sephirah
Liu Section <N> Director	16	Liu Section 4 Director	六协会 4科 科长
My Form Empties	15	My Form Empties	无我入定
<TAG> loses <VAR> HP	15	<color=#ebcaa2>[{0}]</color> <color=#e30000>loses {1} HP.</color>	<color=#ebcaa2>[{0}]</color><color=#e30000>失去了{1}点体力</color>
The King in Binds	15	The King in Binds	受缚之王
N Corp. Cubic Room	15	N Corp. Cubic Room	N公司的四方形房间
I'll Go fer Scissors. How 'Bout You	15	I'll Go fer Scissors. How 'Bout You?	我出剪刀，你呢？
The Pinky Nursefather	15	The Pinky Nursefather	小指 父辈
K Corp. Class <N> Excision Staff	15	K Corp. Class 3 Excision Staff	K公司3级摘除人员
Canto VII Battle <N>	15	Canto VII Battle 01	Canto VII Battle 01
<TAG> Gain <N> Attack Power Up next turn	15	[WinDuel] Gain 2 Attack Power Up next turn	[WinDuel] 下回合使自身获得2层强壮 
<TAG> Inflict +<N> Burn Count	15	[OnSucceedAttack] Inflict +3 Burn Count	[OnSucceedAttack] 对目标施加3层烧伤 
<TAG> Gain <N> Protection	15	[WhenUse] Gain 1 Protection	[WhenUse] 使自身获得1层守护 
<TAG> Lower user’s Stagger Threshold by <N>% of damage dealt	15	[OnSucceedAttack] Lower user’s Stagger Threshold by 50% of damage dealt	[OnSucceedAttack] 使自身的混乱阈值后移本硬币伤害量的50%
<TAG> Inflict <N> Defense Level Down next turn	15	[OnSucceedAttack] Inflict 2 Defense Level Down next turn	[OnSucceedAttack] 下回合对目标施加2层防御等级降低 
<TAG> Activate <TAG> on target once. Target loses <N> <TAG> Count	15	[OnSucceedAttack] Activate [Laceration] on target once. Target loses 1 [Laceration] Count	[OnSucceedAttack] 触发目标的[Laceration]1次，并使其[Laceration]层数减少1层
<TAG> Trigger <TAG> <N> times; then, reduce target's <TAG> Count by <N>	15	[UnBrokenCoinOnSucceedAttack] Trigger [VibrationExplosion] 2 times; then, reduce target's [Vibration] Count by 2	[UnBrokenCoinOnSucceedAttack] 使目标[VibrationExplosion]2次，并使其[Vibration]层数减少2层
<TAG> Inflict <TAG> equal to <TAG> on target	15	[OnSucceedAttack] Inflict [Laceration] equal to [Burst] on target	[OnSucceedAttack] 使目标增加相当于其[Burst]强度的[Laceration]强度
This Coin deals damage only against the main target	15	This Coin deals damage only against the main target	本硬币仅对主要目标造成伤害
K Corp. Checkpoint	15	K Corp. Checkpoint	K公司 检查站
Fathoms of Ego - Maze	15	Fathoms of Ego - Maze	自我心道 - 迷宫
Bodhisattva Chicken’s Manager	15	Bodhisattva Chicken’s Manager	菩萨鸡 老板
The Lord of Flies	15	The Lord of Flies.	苍蝇之王。
J Corp. Pawnshop	15	J Corp. Pawnshop	J公司 当铺
Refraction Railway Line <N>	15	Refraction Railway Line 5	折射轨道5号线
The <TAG>'s open duration is shown here	15	The [Gift Exchange]'s open duration is shown here.	此处显示了[交换礼物]的开放时间。
Sleeping Bag of a Bygone Day	14	Sleeping Bag of a Bygone Day	往昔的睡袋
사용 안하는 텍스트	14	사용 안하는 텍스트	사용 안하는 텍스트
Withering League of Nine Littérateurs	14	Withering League of Nine Littérateurs	逐渐枯萎的九人会
Rowdy League of Nine Littérateurs	14	Rowdy League of Nine Littérateurs	变得嘈杂的九人会
Turn Start: gain <N> <TAG> and <N> <TAG>	14	Turn Start: gain 1 [Agility] and 1 [SkillPowerUp].	回合开始时，获得1层[Agility]与1层基础威力提升 
Great Trichiliocosm <TAG>	14	Great Trichiliocosm [三千大世界]	三千大世界
E.G.O Upgrade Pack	14	E.G.O Upgrade Pack	E.G.O成长组合包
Canto IV Battle <N>	14	Canto IV Battle 01	Canto IV Battle 01
If target has <N>+ <TAG>, deal +<N>% damage	14	If target has 7+ [Laceration], deal +20% damage	若目标的[Laceration]强度不低于7级，则使本技能造成的伤害+20%
<TAG> Lose <N> SP	14	[WhenUse] Lose 7 SP	[WhenUse] 使自身失去7点理智值
Deal +<N>% damage for every <TAG> on target (max <N>%)	14	Deal +10% damage for every [DrunkBlood] on target (max 50%)	目标每带有1层[DrunkBlood]，使本硬币造成的伤害+10%(最多+50%)
<TAG> Heal <N> SP for <N> allies with the least SP	14	[EndSkill] Heal 12 SP for 4 allies with the least SP	[EndSkill] 使理智值最低的4名友方单位恢复12点理智值
<TAG> Inflict <TAG> equal to <TAG>	14	[OnSucceedAttack] Inflict [Combustion] equal to [FreischutzShotCount]	[OnSucceedAttack] 根据自身带有的[FreischutzShotCount]层数，使目标增加相应的[Combustion]强度
<TAG> Clash Power +<N> for every type of negative effect on target (max <N>)	14	[WhenUse] Clash Power +2 for every type of negative effect on target (max 6)	[WhenUse] 目标每带有1种负面状态，使本技能的拼点威力+2(最多+6)
U Corp.'s Marlin Portship	14	U Corp.'s Marlin Portship	U公司 马林鱼港船
Some Backstreets of District <N>	14	Some Backstreets of District 4	4区 后巷某处
Decrepit G Corp. Head Manager	14	Decrepit G Corp. Head Manager	衰老的旧G公司部长
Man with Red Eyes	14	Man with Red Eyes	红眼之人
Ebony Queen's Apple	13	Ebony Queen's Apple	黑檀女王的苹果
Will You Play	13	Will You Play?	玩吗？
Gain an E.G.O Gift	13	Gain an E.G.O Gift	获得E.G.O饰品
We must defeat the ruthless cyborgs singing with jolly voices to make it through here	13	We must defeat the ruthless cyborgs singing with jolly voices to make it through here.	我们必须得把这些唱着欢乐歌谣，可实则冷酷无情的改造人打倒，这样才能通过这里。
Canto IX Battle <N>	13	Canto IX Battle 01	Canto IX Battle 01
Blade of the House of Spiders	13	Blade of the House of Spiders	蜘蛛巢之刃
The Pinky Apprentice	13	The Pinky Apprentice	小指 子辈
<TAG> Inflict <N> Fragile	13	[OnSucceedAttackHead] Inflict 2 Fragile	[OnSucceedAttackHead] 对目标施加2层易损 
<TAG> Inflict +<N> <TAG> Count next turn	13	[OnSucceedAttack] Inflict +2 [Sinking] Count next turn	[OnSucceedAttack] 下回合对目标施加2层沉沦 
<TAG> Inflict <N> <TAG> and <N> <TAG> next turn	13	[OnSucceedAttack] Inflict 2 [Binding] and 2 [Reduction] next turn	[OnSucceedAttack] 下回合对目标施加2层[Binding]与2层[Reduction]
<TAG> Gain <N> <TAG> (once per turn)	13	[OnSucceedAttackHead] Gain 3 [AttackUp] (once per turn)	[OnSucceedAttackHead] 使自身获得3层[AttackUp](每回合最多1次)
<TAG> Inflict <N> Attack Power Down next turn	13	[OnSucceedAttack] Inflict 1 Attack Power Down next turn	[OnSucceedAttack] 下回合对目标施加1层虚弱 
<TAG> At <N>+ Speed, Reuse Coin once (once per Skill)	13	[OnSucceedAttack] At 10+ Speed, Reuse Coin once (once per Skill)<style="highlight"></style>	[OnSucceedAttack] 若自身的速度值不低于10，则重复使用本硬币1次(每个技能最多1次)<style="highlight"></style>
Nest K Lobotomy Corp. Branch	13	Nest K Lobotomy Corp. Branch	K巢 脑叶公司支部
... I see	13	... I see.	……是吗。
Fathoms of Ego - La Mancha Eye	13	Fathoms of Ego - La Mancha Eye	自我心道 - 拉·曼却之眼
LCE Research Team Lab. Sector	13	LCE Research Team
Lab. Sector	LCE研究组 实验楼
Information Team Agent	13	Information Team Agent	情报部 员工
The Middle's Little Brother	13	The Middle's Little Brother	中指 幼弟
Vessel Masas Decks	13	Vessel Masas Decks	大众号，甲板
What will you do	12	What will you do?	该如何抉择？
Become Strong? Genuinely	12	Become Strong? Genuinely?	我变强了？真的？
Assist Unit Name	12	Assist Unit Name	援助单位名称
- Starved for blood for a long, long time. - Lose <N> Base Offense Level - Lose <N> Base Defense Level	12	- Starved for blood for a long, long time.
- Lose 15 Base Offense Level
- Lose 15 Base Defense Level	- 很久未曾饮用血液了。
- 基础攻击等级-15
- 基础防御等级-15
- Low Morale When Clashing against targets with Omen Talisman, Clash Power +<N> Turn Start: gain <N> Damage Up and <N> Fragile	12	- Low Morale
When Clashing against targets with Omen Talisman, Clash Power +2
Turn Start: gain 2 Damage Up and 1 Fragile	- 士气低落
与带有不祥符咒 的目标进行拼点时，使自身的拼点威力+2
回合开始时，使自身获得2层伤害强化 并对自身施加1层易损 
Prescript: <TAG> I	12	Prescript: [Paper Slip] I	指令[纸条]I
Prescript: <TAG> II	12	Prescript: [Paper Slip] II	指令[纸条]II
Prescript: <TAG> III	12	Prescript: [Paper Slip] III	指令[纸条]III
Prescript: <TAG> IV	12	Prescript: [Paper Slip] IV	指令[纸条]IV
- Offense Level +<N>, Defense Level +<N> - Combat End: Heal <N> SP	12	- Offense Level +1, Defense Level +1
- Combat End: Heal 15 SP	- 攻击等级+1，防御等级+1
- 战斗结束时，使自身恢复15点理智值
Damage Taken -<N>%	12	Damage Taken -10%	受到的伤害-10%
Inflict <N> <TAG>	12	Inflict 3 [Muckworm]	对目标施加3层[Muckworm]
Ya Śūnyatā Tad Rūpam	12	Ya Śūnyatā Tad Rūpam	空即是色
Canto V Battle <N>	12	Canto V Battle 01	Canto V Battle 01
Tier <N> + Tier <N> => Tier <N>	12	Tier 1 + Tier 1 => Tier 1	1级 + 1级 => 1级
Will of the Prescript	12	Will of the Prescript	指令之意
The Ring Fauvist Student	12	The Ring Fauvist Student	环指 野兽派学徒
Wayfarer Doorbreach Team <N> Leader	12	Wayfarer Doorbreach Team 4 Leader	旅者 第四开辟小队 队长
Draw of the Sword	12	Draw of the Sword	拔剑
<TAG> Heal <N>% of damage dealt	12	[OnSucceedAttackHead] Heal 100% of damage dealt	[OnSucceedAttackHead] 使自身恢复本硬币伤害量100%的体力
<TAG> If target has <TAG>, deal +<N>% damage	12	[OnSucceedAttack] If target has [ThornNoose], deal +50% damage	[OnSucceedAttack] 若目标带有[ThornNoose]，则使本技能造成的伤害+50%
<TAG> Coin Power +<N> for every <N> (<TAG> + <TAG>) on target (max <N>)	12	[WhenUse] Coin Power +1 for every 5 ([Laceration] + [Burst]) on target (max 3)	[WhenUse] 目标的[Laceration]与[Burst]强度之和每有5级，使本技能的硬币威力+1(最多+3)
If this Coin is Cracked, lose <N> Final Power	12	If this Coin is Cracked, lose 10 Final Power	若本硬币被摧毁，则使本技能的最终威力-10
<TAG> Clash Power +<N> for every <N> <TAG> on target (max <N>) <TAG> If target has <N> or higher SP, Base Power +<N> <TAG> If target has <N> or higher SP, Coin Power +<N>	12	[WhenUse] Clash Power +1 for every 4 [Sinking] on target (max 2)
[WhenUse] If target has 10 or higher SP, Base Power +1
[WhenUse] If target has 20 or 	[WhenUse] 目标每带有4级[Sinking]强度，使本技能的拼点威力+1(最多+2)
[WhenUse] 若目标的理智值不低于10点，则使本技能的基础威力+1
[WhenUse] 若目标的理智值不低于20点，则使本技能的硬币威力+1
<TAG> If target has <N>+ <TAG>, inflict <N> <TAG> next turn	12	[OnSucceedAttack] If target has 5+ [Nail], inflict 10 [Binding] next turn	[OnSucceedAttack] 若目标的[Nail]层数不低于5层，则下回合对其施加10层[Binding]
<TAG> Base Power +<N> for every Rose that has a different Affinity from this unit (max <N>)	12	[WhenUse] Base Power +1 for every Rose that has a different Affinity from this unit (max 6)	[WhenUse] 每有1朵与自身罪孽属性不同的玫瑰，使本技能的基础威力+1(最多+6)
Butterfly of Entangled Lives <TAG>	12	Butterfly of Entangled Lives [羅生蝶]	罗生蝶
Funeral of the Dead Butterflies	12	Funeral of the Dead Butterflies	亡蝶葬仪
Yearning - Mircalla	12	Yearning - Mircalla	渴望-蜜卡拉
<TAG> If target has <N>+ (<TAG> + <TAG>), Coin Power +<N>	12	[WhenUse] If target has 5+ ([Burst] + [Vibration]), Coin Power +1	[WhenUse] 若目标的[Burst]强度与[Vibration]强度之和不低于5级，则使本技能的硬币威力+1
Alleyways of T Corp	12	Alleyways of T Corp.	T公司小巷 某处
Wuthering Heights Hall	12	Wuthering Heights Hall	呼啸山庄 大厅
Generous Clan Member	12	Generous Clan Member	宽宏大量的势力成员
LCCB Transporter Truck	12	LCCB Transporter Truck	LCCB移动型卡车 内部
-<N>% Max HP for all allies	11	-10% Max HP for all allies	全体友方单位的体力上限-10%
Extraction Purchase from Dispenser	11	Extraction
Purchase from Dispenser	提取
从自动贩卖机处购买
Canto VI Battle <N>	11	Canto VI Battle 01	Canto VI Battle 01
LCD OSIR Team	11	LCD OSIR Team	LCD
现场推理小队
<TAG> Next Coin has +<N> Power	11	[OnSucceedAttackHead] Next Coin has +2 Power	[OnSucceedAttackHead] 使本技能下一枚硬币的威力+2
If this unit spent <TAG> due to this Coin's effect, deal +<N>% damage	11	<color=#ff6000><mark=#ff000040><b><u>If this unit spent [BulletPropellant] due to this Coin's effect, deal +50% damage</u></b></mark></color>	<color=#ff6000><mark=#ff000040><b><u>若本硬币效果消耗了[BulletPropellant]，则使本硬币造成的伤害+50%</u></b></mark></color>
If target has <N>+ <TAG>, Clash Power +<N>	11	If target has 6+ [Vibration], Clash Power +1	若目标的[Vibration]强度不低于6级，则使本技能的拼点威力+1
<TAG> Inflict <N> Potency and +<N> Count of a random status, chosen from <TAG>, <TAG>, <TAG>, <TAG>, and <TAG>	11	[OnSucceedAttack] Inflict 2 Potency and +2 Count of a random status, chosen from [Combustion], [Laceration], [Vibration], [Burst], and [Sinking]	[OnSucceedAttack] 使目标增加2级某1种随机效果的强度并对其施加2层该效果，该效果可能为[Combustion]、[Laceration]、[Vibration]、[Burst]或[Sinking]
Deal +<N>% damage for every (<TAG> + <TAG> Count) on the target (max <N>%)	11	Deal +1% damage for every ([Laceration] + [Laceration] Count) on the target (max 20%)	目标的[Laceration]强度与[Laceration]层数之和每有1点，使本硬币造成的伤害+1%(最多+20%)
<TAG> Inflict <N> N Corp’s Nails	11	[OnSucceedAttack] Inflict 1 N Corp’s Nails	[OnSucceedAttack] 对目标施加1层N公司的尖钉 
Targets the rearmost unit (In regular encounters)	11	Targets the rearmost unit (In regular encounters)	指定站位最靠后的单位(仅限常规遭遇战)
<TAG> Activate <TAG> on target. Target loses <N> <TAG> Count	11	[CriticalOnSucceedAttack] Activate [Laceration] on target. Target loses 1 [Laceration] Count<style="highlight"></style>	[CriticalOnSucceedAttack] 触发目标的[Laceration]，并使其[Laceration]层数减少1层<style="highlight"></style>
Deal +(<TAG> spent x <N>)% damage	11	Deal +([Bullet] spent x 10)% damage<style="highlight"></style>	使本硬币造成的伤害+(消耗的弹药 数×10)%<style="highlight"></style>
<TAG> Inflict <N> <TAG> (once per turn)	11	[OnSucceedAttack] Inflict 1 [Reduction] (once per turn)<style="highlight"></style>	[OnSucceedAttack] 对目标施加1层[Reduction](每回合最多1次)<style="highlight"></style>
Mephistopheles the Busboat	11	Mephistopheles the Busboat	梅菲斯托费勒斯 巴士船
Abandoned Lobotomy Corp. Drilling Ship	11	Abandoned Lobotomy Corp. Drilling Ship	脑叶公司支部钻井船 某处
Class <N> Collector	11	Class 4 Collector	4级征收人员
LCA HR Management Team <N>	11	LCA HR Management Team 2	LCA 人才管理二队
Wuthering Heights Basement	11	Wuthering Heights Basement	呼啸山庄 地下室
Tiekan Temple Interior	11	Tiekan Temple Interior	铁槛寺 内部
Corridor of the Pinky	11	Corridor of the Pinky	小指的走廊
The House of Spiders Rooftop	11	The House of Spiders Rooftop	蜘蛛巢 屋顶
<TAG> gains %<VAR> <TAG>/%	10	<color=#ebcaa2>[{0}]</color> gains %{2} [{1}]/%	<color=#ebcaa2>[{0}]</color>获得%{2} [{1}]/%
<TAG> loses <VAR> SP	10	<color=#ebcaa2>[{0}]</color> <color=#fe4b48>loses {1} SP.</color>	<color=#ebcaa2>[{0}]</color><color=#fe4b48>失去了{1}点理智值</color>
<TAG> gains <VAR> <TAG> 	10	<color=#ebcaa2>[{0}] gains</color> {2} <color=#e30000>[{1}]</color>.	<color=#ebcaa2>对[{0}]施加</color>{2}<color=#e30000>[{1}]</color>
Sign of Roses	10	Sign of Roses	玫瑰告示牌
Who will convey this gaze unto the Spiral of Contempt	10	Who will convey this gaze unto the Spiral of Contempt?	谁能将这视线投向轻蔑螺旋？
<TAG> conveyed to the Spiral of Contempt the gaze they once felt with their entire body	10	[{0}] conveyed to the Spiral of Contempt the gaze they once felt with their entire body.	罪人[{0}]向轻蔑螺旋投去了自己全身心所感受过的视线。
<TAG> attempted to convey to the Spiral of Contempt the gaze they once felt, but it contempted that as well	10	[{0}] attempted to convey to the Spiral of Contempt the gaze they once felt, but it contempted that as well.	罪人[{0}]虽投去了自身感受到的视线，但轻蔑螺旋对此同样感到轻蔑。
Select to gain a Charge E.G.O Gift	10	Select to gain a Charge E.G.O Gift	选择后，获得1件充能E.G.O 饰品
Select to gain a Sinking E.G.O Gift	10	Select to gain a Sinking E.G.O Gift	选择后，获得1件沉沦E.G.O饰品
After a drawn-out rattling, an E.G.O Gift drops from the device	10	After a drawn-out rattling, an E.G.O Gift drops from the device.	在很长的一段咣当声过后，一件E.G.O饰品从装置中掉了出来。
Night in the Backstreets	10	Night in the Backstreets	后巷深宵
The Middle - Grudge	10	The Middle - Grudge	中指-仇怨
Imitation of a Father	10	Imitation of a Father	仿造的父辈
Defense Level +<N>	10	Defense Level +4	防御等级+4
Base Power +<N>, Max HP +<N>%	10	Base Power +1, Max HP +5%	技能基础威力+1，体力上限+5%
Damage Taken -<N>%, Damage Dealt +<N>%	10	Damage Taken -25%, Damage Dealt +25%	受到的伤害 -25%，造成的伤害 +25%
Clash Power +<N>, Offense Level +<N>, Max HP +<N>%, Damage Dealt +<N>%	10	Clash Power +1, Offense Level +1, Max HP +10%, Damage Dealt +5%	拼点威力+1，攻击等级+1，体力上限+10%，造成的伤害+5%
Final Power +<N>, Offense Level +<N>, Max HP +<N>%, Damage Dealt +<N>%	10	Final Power +1, Offense Level +1, Max HP +7.5%, Damage Dealt +5%	最终威力+1，攻击等级+1，体力上限+7.5%，造成的伤害+5%
Base Power +<N>, Offense Level +<N>, Max HP +<N>%, Damage Dealt +<N>%	10	Base Power +1, Offense Level +1, Max HP +5%, Damage Dealt +5%	基础威力+1，攻击等级+1，体力上限+5%，造成的伤害+5%
Plus Coin Power +<N>, Minus Coin Power -<N>, Damage Dealt +<N>%	10	Plus Coin Power +1, Minus Coin Power -1, Damage Dealt +5%	加算硬币威力+1，减算硬币威力-1，造成的伤害+5%
All Enemy Levels +<N>	10	All Enemy Levels +3	全体敌方单位提升3级
에즈라 유리아 도끼 <N>	10	에즈라 유리아 도끼 1	以斯拉 尤里亚 斧 1
Containment Hall <N>	10	Containment Hall 1	第一收容走廊
Clear <N>-<N> to Unlock	10	Clear 7-36 to Unlock	通过7-36后解锁
Tier <N> + Tier <N> + Tier <N>	10	Tier 1 + Tier 1 + Tier 1	1级 + 1级 + 1级
Viewed in Battle <N>	10	Viewed in Battle 1	战斗中选中人格 1
Obtained by clearing Refraction Railway Line <N>	10	Obtained by clearing Refraction Railway Line 5	通关折射轨道5号线时获得
<TAG> Inflict <N> Plus Coin Drop next turn	10	[OnSucceedAttackHead] Inflict 2 Plus Coin Drop next turn	[OnSucceedAttackHead] 下回合对目标施加2层加算硬币弱化 
<TAG> Gain <N> Talisman	10	[OnSucceedAttack] Gain 1 Talisman	[OnSucceedAttack] 使自身获得1层符咒 
<TAG> If target has <N>+ <TAG>, deal <N>% of damage dealt as Blunt damage	10	[OnSucceedAttack] If target has 10+ [Laceration], deal 30% of damage dealt as Blunt damage	[OnSucceedAttack] 若目标的[Laceration]强度不低于10级，则对其额外造成本硬币伤害量30%的打击伤害
<TAG> +<N>% Damage on Critical Hit	10	[CriticalOnSucceedAttack] +50% Damage on Critical Hit	[CriticalOnSucceedAttack] 使本硬币暴击时造成的伤害+50%
<TAG> Deal <N> Slash bonus damage	10	[OnSucceedAttack] Deal 15 Slash bonus damage	[OnSucceedAttack] 对目标额外造成15点斩击伤害
<TAG> Base Power +<N> for every <N> <TAG> Count on self (max <N>)	10	[WhenUse] Base Power +1 for every 3 [Laceration] Count on self (max 2)	[WhenUse] 自身每带有3层[Laceration]，使本技能的基础威力+1(最多+2)
<TAG> Inflict +<N> Bleed Count next turn	10	[OnSucceedAttackHead] Inflict +3 Bleed Count next turn	[OnSucceedAttackHead] 下回合对目标施加3层流血 
If target has a negative effect, deal +<N>% damage	10	If target has a negative effect, deal +50% damage	若目标带有负面状态，则使本硬币造成的伤害+50%
Heavenly Executor’s Scribe	10	Heavenly Executor’s Scribe	天之执行官的辅佐
<TAG> Inflict <TAG> against the main target next turn	10	[OnSucceedAttack] Inflict [VillainMark] against the main target next turn	[OnSucceedAttack] 下回合对主要目标施加[VillainMark]
<TAG> If target has <N>+ <TAG>, gain <N> <TAG>	10	[OnSucceedAttack] If target has 5+ [Laceration], gain 1 [HardenedBlood]	[OnSucceedAttack] 若目标的[Laceration]强度不低于5级，则使自身获得1层硬化血液 
Spend up to <N> <TAG>	10	Spend up to 3 [Bullet]<style="highlight"></style>	消耗最多3发[Bullet]<style="highlight"></style>
<TAG> Gain <N> <TAG> - If this unit has less than <N> <TAG>, gain <N> additional <TAG>	10	[OnSucceedAttack] Gain 1 [DevyatDimensionalSack]
- If this unit has less than 15 [DevyatDimensionalSack], gain 1 additional [DevyatDimensionalSack]<st	[OnSucceedAttack] 使自身获得1层[DevyatDimensionalSack]
- 若自身的[DevyatDimensionalSack]层数低于15层，则使自身额外获得1层[DevyatDimensionalSack]<style="highlight"></style>
Eunbong’s Bar & Fryers Kitchen	10	Eunbong’s Bar & Fryers Kitchen	银凤炸鸡酒吧 厨房
Hongyuan's Laboratory, Past	10	Hongyuan's Laboratory, Past	过去，鸿园的实验室
Evaluation Arena B1	10	Evaluation Arena B1	评审场 地下1层
Class <N> Clerical Staff	10	Class 2 Clerical Staff	2级 事务员
WARP Train Economy Class Cabin	10	WARP Train Economy Class Cabin	WARP列车 经济舱 车厢
Daguanyuan - Yihongyuan Interior	10	Daguanyuan - Yihongyuan Interior	大观园 怡红院内
Corridor of the Ring Nursefather	10	Corridor of the Ring Nursefather	蜘蛛巢，环指父辈的走廊
Excision Management Staff	10	Excision Management Staff	摘除监管人员
The Master of Twelve Beasts	10	The Master of Twelve Beasts	十二兽之主
Fixer in the Poster	10	Fixer in the Poster	海报上的收尾人
LCE Research Team Elevator	10	LCE Research Team
Elevator	LCE研究组 电梯
Accessing the Event	10	Accessing the Event	活动开放
Stand in his way	9	Stand in his way.	阻止他。
Who should do it	9	Who should do it?	应该让谁去做？
Steam Transport Machine	9	Steam Transport Machine	蒸汽运输机
I think I have an idea now. When I approached the fainted tin men, I heard mechanical noises. It sounded like things were being fixed within. If I had to guess… They seem to be equipped with devices that automatically repair their bodies. But, the device didn't seem capable of carrying out more than five repairs. Only trouble is that they grow stronger each time they're fixed up… We should find a way to deal with them and stop this repair mechanism from getting to work. Until then, we'll have to bear with their five lives… Oh, by the way: How do you think the 'human' parts inside are being repaired? → Do not question the physics of Abnormalities	9	I think I have an idea now.
When I approached the fainted tin men, I heard mechanical noises. It sounded like things were being fixed within.
If I had	我想我知道该如何战斗了。
当我靠近那些晕过去的罐头人时，里面响起了机器运作修复东西的声音。
也许……它们体内装有自动修复身体的装置。
但是，那装置似乎有限制，无法修复五次以上。
问题是它们每次复活之后都会变得比之前更强……
我们最好找到让它们停止自动修复的方法。在那之前，我们就不得不坚持五回了……

They're tough. These things are way tougher than they look. I thought they'd be as easy to deal with as children's toys, but I way misjudged... I thought I'd seen my share of extraordinary things throughout my career of unpleasant jobs, but it looks like I still have much to see and learn. There has to be a human inside… but they acted like broken killing machines. Their upper body rotates all the way round, and their arms moved weirdly, too. And most of all… It's like they're incapable of feeling pain. I heard some alleys in the Backstreets provide a surgery that fries pain receptors. Could this be similar? → As I repeatedly assert, Abnormalities are entities of their own category. You shouldn't construe them with the City's standards, Ishmael. → And yet Abnormalities physically exist in this realm. If the properties of a thing aren't determined by the laws of the space it exists in, can it truly be said to exist? → The hell are you yapping on about? → I don't believe it's necessary for you to understand, Heathcliff. → Huh? Is my name written here somewhere? How'd you know it was me? → …Funny. <TAG>	9	They're tough. These things are way tougher than they look.
I thought they'd be as easy to deal with as children's toys, but I way misjudged... I thou	它们很坚硬。这些东西比看上去的要耐打的多。
我以为它们就像小孩子的玩具一样好解决，但我想错了……在我这烂透了的职业生涯中，我以为我已经见够离谱的东西了，看来我还是有很多东西要学。
一定有人类在那东西的里面……但它的行为就像是一个已经坏了的杀人机器一样。它们的上半身不停的旋转着，手臂也在以一种诡异的方
A bunch of creeps walked out of that container box. Wearing tin cans on their heads, torsos made up of some sort of plastic... It's hard to explain. It was like someone arbitrarily put together pieces of random toys. On top of unmatching colors, some straight up lacked frames to cover up the mechanisms. They weren't all machines, either. Between the parts, I saw bits of flesh and dried blood... Just what is going on inside that box? → Umm... Maybe it's a type of automated prosthetic procedure device? A company my father considered buying was… N-Never mind. Forget I said anything. → Abnormalities are not real devices. I recommend against trying to make ties with existing things	9	A bunch of creeps walked out of that container box.
Wearing tin cans on their heads, torsos made up of some sort of plastic...
It's hard to explain. I	一群穿着怪异的人从那收容箱中走了出来。
它们头上戴着锡制的罐头，而躯体则是由某种塑料制成的……
这很难说，就好是某人随意堆积起来的玩具一样。
在那些不和谐的色调之上，是直接暴露在外的机械结构。
它们也并不是仅由机器组成，
在组成部位之间，我看到了一些早已干枯的血肉……
那收容箱里到底发生了什么？
→
Yield My Flesh	9	Yield My Flesh	肉斩
Starved and Withered	9	Starved and Withered	饥饿与衰老
Affection and Resentment	9	Affection and Resentment	爱憎
The Book of Vengeance	9	The Book of Vengeance	复仇账簿
검지 아비 해방 스택 (9일 경우, 다음 턴에 Furioso) <N> -> <N> 될 때	9	검지 아비 해방 스택 (9일 경우, 다음 턴에 Furioso) 0 -> 1 될 때	食指父辈 解放（层数为9时，下回合Furioso）0 -> 1时
Upon entering Floor <N>, gain <VAR> random Tier <N> E.G.O Gift(s)	9	Upon entering Floor 3, gain {0} random <color=#5bffde>Tier 3 E.G.O Gift(s)</color>	进入第3层时，随机获得{0}件<color=#5bffde>3级饰品</color>
Clash Power +<N>	9	Clash Power +1	拼点威力+1
Gain Offense Level Up	9	Gain Offense Level Up	获得攻击等级提升 
Randomly inflict <N> <TAG> Potency	9	Randomly inflict 5 [Combustion] Potency	随机增加5级[Combustion]强度
Faust’s E.G.O Gear	9	Faust’s E.G.O Gear	浮士德的专用E.G.O装备
Don Quixote’s E.G.O Gear	9	Don Quixote’s E.G.O Gear	堂吉诃德的专用E.G.O装备
