# en	cn	source	id
(엄지 싱클 탄환 보급 받는 대상 이펙트)	(엄지 싱클 탄환 보급 받는 대상 이펙트)	BattleKeywords.json	SingBulletSupport
Gluttonous Thorn (貪食棘)	贪食棘	BattleKeywords.json	RoseThorn
Near-light Superbattery	超亚光蓄能	BattleKeywords.json	ChoSuperCharge
Self Resonance Circuitry	自谐振电路	BattleKeywords.json	ShareCharge
Reflux	逆流	BattleKeywords.json	WaveSinking
Life from Death [死中求活]	死中求活	BattleKeywords.json	HeishouDeathCount
Exalted Command	遵命	BattleKeywords.json	HeishouCombo
Unrelenting Storm	迫近	BattleKeywords.json	HeishouComboCount
Your Will Guides My Blade.	斩随意动。	BattleKeywords.json	HeishouAttack
Lordsguard	护卫	BattleKeywords.json	HeishouSupportProtect
Leash-holder of All Heishou	全体黑兽之主	BattleKeywords.json	HeishouSynergy
Heishou Bolus Contamination [黑獣丸染]	黑兽丸染	BattleKeywords.json	HeishouComboCountHonglu
One Who Walks The Way of the Hegemon	践行霸道之人	BattleKeywords.json	DarkHongluQiuAndHonglu
Uncompromising Imposition	贯彻	BattleKeywords.json	DarkHongluTeaching
You're Ridiculous, Big Brother.	多么可憎啊，兄长。	BattleKeywords.json	DarkHongluParryGahwan
No Matter How Many Must Bleed...	纵使令千万人血流成河…	BattleKeywords.json	DarkHonglu_EGOResourceup
Bloodflame [血炎]	血炎	BattleKeywords.json	ChickenStance
Linebreaker	踏破敌阵	BattleKeywords.json	BreakthroughHorse
Commanding Cry	号令	BattleKeywords.json	BattlefieldHorse
Tremor - Hemorrhage	震颤-大出血	BattleKeywords.json	VibrationBleeding
Escape Battlefield	脱离战场	BattleKeywords.json	CommonExit
Hardened Shell-Barrier	硬化屏障	BattleKeywords.json	CuredFilm
Thunderer	弦惊	BattleKeywords.json	Cianjing
Higher Thunderer	大弦惊	BattleKeywords.json	SeniorCianjing
Man in Scabbard	鞘中人	BattleKeywords.json	MlynarWaiting
Arrow - Shi	箭矢-死	BattleKeywords.json	ArrowShiFau
Lodged Arrow	刺入之矢	BattleKeywords.json	ArrowInTheEyeFau
Target Aim	瞄准目标	BattleKeywords.json	AimForTheGoal
Ready to Loose	狙击姿势	BattleKeywords.json	SnipingArrowMode
Liferender	绝命	BattleKeywords.json	AStrokeOfDeath
Overcharge	过度充能	BattleKeywords.json	WOverCharge
Hardblood Armor	硬血甲胄	BattleKeywords.json	BloodArmorMeursault
Focused Performance	专注表演	BattleKeywords.json	FocusOnActing
La Mancha Parade	拉·曼却游行	BattleKeywords.json	ParadeConcentration
Emergency Barrier Battery	应急力场电池	BattleKeywords.json	EmergencyChargeForceField
Hardblood Cast	硬血铸造	BattleKeywords.json	BloodArmorCasting
Hand - Pine Crane Suit	组札-松上鹤	BattleKeywords.json	HanafudaOne
Hand - Susuki Grass Suit	组札-芒上月	BattleKeywords.json	HanafudaTwo
Hand - Blue Sakura Suit	组札-青染樱	BattleKeywords.json	HanafudaThree
Bright【光】	光札	BattleKeywords.json	HanafudaCombo
Open Wound	创伤	BattleKeywords.json	HurtNightStiletto
Deep Wound	深度创伤	BattleKeywords.json	CriHurtNightStiletto
Fatal Wound	致命创伤	BattleKeywords.json	HorrHurtNightStiletto
Burgeoning of Horns [發角]	生角	BattleKeywords.json	GrownHorns
Shattermark	破碎痕	BattleKeywords.json	CrushMarks
Battleblood Instinct	血斗本能	BattleKeywords.json	ChickenFightlust
Protector's Stance	护卫姿态	BattleKeywords.json	ProtectStanceRyoshu
The Udjat [Vanguard]	瓦吉特之眼[先锋]	BattleKeywords.json	TheUdjatOutis
Blue Sand	青沙	BattleKeywords.json	BlueSand
Sheut Fracture	影之龟裂	BattleKeywords.json	SheutFracture
LCA Fracture Round	LCA龟裂弹	BattleKeywords.json	LCA_Bullet
Needle	针	BattleKeywords.json	NiddleEGO
Resident Reg. Microchip	居民登记微芯片	BattleKeywords.json	IDMicroChip
Excision Coin	截除硬币	BattleKeywords.json	ExtractCoin
Thermal Blades	热丝	BattleKeywords.json	HeatingWireIshmael
Guardians of the Forest	森林的守望者	BattleKeywords.json	ObedienceGregBigBird
Shin (心) - Fate	心-命运	BattleKeywords.json	Shin_IndexFingerYisang
Wound-casing Mask	遮盖伤口的假面	BattleKeywords.json	BurningWoundYisangMask
Desire for Acknowledgement Sated	被满足的认可欲	BattleKeywords.json	SatisfyingEsteemNeeds
Rhythm	旋律	BattleKeywords.json	ThatIsRhythm
Spore	孢子	BattleKeywords.json	MeursaultBeeSpore
Loyalty Pheromone	忠诚信息素	BattleKeywords.json	MeursaultWorkerBee
Spore Round [Base]	孢子弹[基础]	BattleKeywords.json	MeursaultSporeBulletLong
Spore Round [Buckshot]	孢子弹[霰弹]	BattleKeywords.json	MeursaultSporeBulletShort
Reload [Germination]	再次装填[孢子补充]	BattleKeywords.json	MeursaultSporeBulletReloading
Hornet [Rifle]	黄蜂[步枪]	BattleKeywords.json	MeursaultBeeGunLong
Hornet [Shotgun]	黄蜂[霰弹枪]	BattleKeywords.json	MeursaultBeeGunShort
Bullet - Solitude	弹药-孤独	BattleKeywords.json	BulletGodok
Faint Aroma	余香	BattleKeywords.json	AlriuneEGOThey
Petals	花瓣	BattleKeywords.json	AlriuneEGOWe
Solitude	孤独	BattleKeywords.json	GodokPanicType
High-voltage Exoskeleton	高压外壳	BattleKeywords.json	HighVoltageExoshell
Charged Sting	电荷针	BattleKeywords.json	ChargedSting
Embers	余火	BattleKeywords.json	FaustFlameMothEmber
Somatic Frisson-inspiring Melody	以人体奏响的旋律	BattleKeywords.json	MelodyBodyArt
Somatic Frisson-inspiring Melody [Empowered]	以人体奏响的旋律[强化]	BattleKeywords.json	MelodyBodyArtChebello
The Self Unbound - Flow State	拘束解除-创作沉浸	BattleKeywords.json	SilverOpportunity
Le Fauvisme - Masque de Chien	野兽派-犬面	BattleKeywords.json	FaubismMaskMeursault
Imperfections Addressed	缺陷补全	BattleKeywords.json	TestWaitingMeursault
L'Hommage	敬意	BattleKeywords.json	ThankyouDocentRodion
Réflexion	反思	BattleKeywords.json	TestWaitDocentRodion
Book of Vengeance [Heathcliff]	复仇账簿[希斯克利夫]	BattleKeywords.json	VengeanceBookHeathcliff
Scarlet Moth	朱红之蛾	BattleKeywords.json	ScarletMothRodion
Entanglement	纠缠	BattleKeywords.json	SojiRyoshuEchoPast
Phantom Trace	残影	BattleKeywords.json	SojiRyoshuEchoFuture
String Severance [絕緣]	断缘	BattleKeywords.json	SojiRyoshuEntangle
Shin (心) - Dihui Star [地慧星]	心-地慧星	BattleKeywords.json	SojiRyoshuShin
Book of Vengeance [The House of Spiders]	复仇账簿[蜘蛛巢]	BattleKeywords.json	RetaliationBookSpiderOutis
The Middle - Vengeance Tattoo [<s>Great Sister</s>]	中指-仇怨纹身[<s>长姊</s>]	BattleKeywords.json	ReinforcedTattooSpiderOutis
Avenging My Family	家人的复仇	BattleKeywords.json	MidFamilyOutis
Rising Fever	愈加炽热的兴致	BattleKeywords.json	CountSkillMidOutis
Blazing	燃烧	BattleKeywords.json	MatchesPersonality
Trussed [Hong Lu]	捕缚[鸿璐]	BattleKeywords.json	TiedRopeHonglu
Bearing of a Salsu	杀手本位	BattleKeywords.json	BladelineagePride
Drink to the Fallen	追悼酒	BattleKeywords.json	AlcoholKimPersonal
Resentful Scabbard	寄宿怨恨的剑鞘	BattleKeywords.json	RootSoupKimPersonal
Sword of the Homeland - The True Essence	本国剑-传授真意	BattleKeywords.json	RootSoupKimSatgat
Sword of the Homeland - Striking	本国剑-传授击法	BattleKeywords.json	BongukGiftEnhance
Maturing Textbook	逐渐完备的教材	BattleKeywords.json	EvolvingManual
Shin (心) - Disgrace	心-不光彩	BattleKeywords.json	ObsessionAndGreedRodion
Light of Daybreak	黎明之火	BattleKeywords.json	StigmaWorkshopHandStep1
Dawnherald	迎接黎明	BattleKeywords.json	DawnLight
Escape Apparatus	逃脱装置	BattleKeywords.json	RunSinclair
Scorchfield	灼热地带	BattleKeywords.json	FireField
From Dawnbreak to Sunset	自黎明至黄昏	BattleKeywords.json	DawnGregor
High Noon	正午	BattleKeywords.json	DawnFaust
Blazing Sunset	燃烧的黄昏	BattleKeywords.json	DawnGregorDying
Loneliness at High Noon	孤独的正午	BattleKeywords.json	DawnFaustDying
Dawn Office	黎明事务所	BattleKeywords.json	DawnTeam
Fire Butterfly Coffin	炎蝶之棺	BattleKeywords.json	StigmaWorkshopCelloCaseOne
Battle Instinct	战斗直觉	BattleKeywords.json	Firstlight
Overheated Coffin	过热的棺	BattleKeywords.json	CaseOverheating
Dimensional Castaway	次元漂流	BattleKeywords.json	DriftingDimensionYisang
Quadricolor Dimensions	四色次元	BattleKeywords.json	FourDimensionYisang
Nerve Strike - Hong Lu	点穴-鸿璐	BattleKeywords.json	DianxueHongLu
Witnessed - Eastern Cinq	公证-东部Cinq协会	BattleKeywords.json	DuelSousTemoinsEast
Inflict additional Burn	烧伤追加	BattleKeywords_Mirror3.json	MDcFaBa
Inflict additional Bleed	流血追加	BattleKeywords_Mirror3.json	MDcFaBb
Inflict additional Tremor	震颤追加	BattleKeywords_Mirror3.json	MDcFaBc
Inflict additional Rupture	破裂追加	BattleKeywords_Mirror3.json	MDcFaBd
Inflict additional Sinking	沉沦追加	BattleKeywords_Mirror3.json	MDcFaBe
Slash Boost	斩击强化	BattleKeywords_Mirror3.json	MDcFaBf
Pierce Boost	突刺强化	BattleKeywords_Mirror3.json	MDcFaBg
Blunt Boost	打击强化	BattleKeywords_Mirror3.json	MDcFaBh
Affinity Res Up (Exc. Wrath)	罪孽抗性强化(除暴怒外)	BattleKeywords_Mirror3.json	MDcFbBa
Affinity Res Up (Exc. Lust)	罪孽抗性强化(除色欲外)	BattleKeywords_Mirror3.json	MDcFbBb
Affinity Res Up (Exc. Sloth)	罪孽抗性强化(除怠惰外)	BattleKeywords_Mirror3.json	MDcFbBc
Affinity Res Up (Exc. Glut.)	罪孽抗性强化(除暴食外)	BattleKeywords_Mirror3.json	MDcFbBd
Affinity Res Up (Exc. Gloom)	罪孽抗性强化(除忧郁外)	BattleKeywords_Mirror3.json	MDcFbBe
Affinity Res Up (Exc. Pride)	罪孽抗性强化(除傲慢外)	BattleKeywords_Mirror3.json	MDcFbBf
Affinity Res Up (Exc. Envy)	罪孽抗性强化(除嫉妒外)	BattleKeywords_Mirror3.json	MDcFbBg
Max HP +	体力上限提升	BattleKeywords_Mirror3.json	MDcFbBh
Slot Weight +	容量增加	BattleKeywords_Mirror3.json	MDcFcBa
Siphon Damage	伤害汲取	BattleKeywords_Mirror3.json	MDcFcBb
Boost Speed	速度增加	BattleKeywords_Mirror3.json	MDcFcBc
Sanity Attack	精神攻击	BattleKeywords_Mirror3.json	MDcFcBd
Keenness	锐利	BattleKeywords_Mirror3.json	MDcFcBe
Regroup	重整旗鼓	BattleKeywords_Mirror3.json	MDcFcBf
Unopposed Attack Boost	单方面攻击强化	BattleKeywords_Mirror3.json	MDcFcBg
Clash Attack Boost	拼点攻击强化	BattleKeywords_Mirror3.json	MDcFcBh
Defense Level Up	防御等级强化	BattleKeywords_Mirror3.json	MDHcFaBa
Defense Power Up	守备威力强化	BattleKeywords_Mirror3.json	MDHcFaBb
Max HP Up	体力上限强化	BattleKeywords_Mirror3.json	MDHcFaBc
Damage Taken Down	受到伤害降低	BattleKeywords_Mirror3.json	MDHcFaBd
Offense Level Up	攻击等级强化	BattleKeywords_Mirror3.json	MDHcFbBa
Final Power Up	最终威力强化	BattleKeywords_Mirror3.json	MDHcFbBb
Base Power Up	基础威力强化	BattleKeywords_Mirror3.json	MDHcFbBc
Damage Dealt Up	造成伤害强化	BattleKeywords_Mirror3.json	MDHcFbBd
Final Power Up I	最终威力增幅 I	BattleKeywords_Mirror3.json	MDHcFcBa
Final Power Up II	最终威力增幅 II	BattleKeywords_Mirror3.json	MDHcFcBb
Base Power Up I	基础威力增幅 I	BattleKeywords_Mirror3.json	MDHcFcBc
Base Power Up II	基础威力增幅 II	BattleKeywords_Mirror3.json	MDHcFcBd
Coin Power Up I	硬币威力增幅 I	BattleKeywords_Mirror3.json	MDHcFcBe
Overload I	过载 I	BattleKeywords_Mirror3.json	MDHcFcBf
Final Power Up III	最终威力增幅 III	BattleKeywords_Mirror3.json	MDHcFdBa
Final Power Up IV	最终威力增幅 IV	BattleKeywords_Mirror3.json	MDHcFdBb
Coin Power Up II	硬币威力增幅 II	BattleKeywords_Mirror3.json	MDHcFdBc
Base Power Up III	基础威力增幅 III	BattleKeywords_Mirror3.json	MDHcFdBd
Overload II	过载 II	BattleKeywords_Mirror3.json	MDHcFdBe
Resilient	强韧	BattleKeywords_Mirror3.json	MDHcFdBf
Headstrong	顽强	BattleKeywords_Mirror3.json	MDHcFdBg
Defense Skill Up	守备技能强化	BattleKeywords_Mirror4.json	MDEMab
Take Less Damage	受到的伤害减少强化	BattleKeywords_Mirror4.json	MDEMae
Body Corpulence	肉体肥大	BattleKeywords_Mirror4.json	MDEMca
Body Reinforcement	肉体强化	BattleKeywords_Mirror4.json	MDEMcb
Final Attack Boost	最终攻击增强	BattleKeywords_Mirror4.json	MDEMcd
Base Attack Boost	基础攻击增强	BattleKeywords_Mirror4.json	MDEMce
Clash Attack Boost	拼点攻击增强	BattleKeywords_Mirror4.json	MDEMcf
Body Growth	肉体生长	BattleKeywords_Mirror4.json	MDEMda
Body Fortification	肉体补强	BattleKeywords_Mirror4.json	MDEMdb
Base Combat Gear	基本战斗装备	BattleKeywords_Mirror4.json	MDEMdc
Final Combat Gear	最终战斗装备	BattleKeywords_Mirror4.json	MDEMdd
Defense Gear	防御装备	BattleKeywords_Mirror4.json	MDEMde
Coin Attack Boost	硬币攻击增强	BattleKeywords_Mirror4.json	MDEMdf
Peerless Might	强大无比	BattleKeywords_Mirror4.json	MDEMdg
Eyes and Teeth for an Eye	加倍奉还	BattleKeywords_Mirror4.json	MDEMdh
Amplify Body I	肉体增强I	BattleKeywords_Mirror4.json	MDHMaa
Durable	硬化	BattleKeywords_Mirror4.json	MDHMab
Expand Body I	肉体扩展I	BattleKeywords_Mirror4.json	MDHMac
Max HP Boost I	体力上限增强I	BattleKeywords_Mirror4.json	MDHMad
Amplify Body II	肉体增强II	BattleKeywords_Mirror4.json	MDHMba
Expand Body II	肉体扩展II	BattleKeywords_Mirror4.json	MDHMbb
Final Power Boost I	最终威力增强I	BattleKeywords_Mirror4.json	MDHMbc
Base Power Boost I	基础威力增强I	BattleKeywords_Mirror4.json	MDHMbd
Resilient I	强韧I	BattleKeywords_Mirror4.json	MDHMbe
Take an Eye I	复仇I	BattleKeywords_Mirror4.json	MDHMbf
Amplify Body III	肉体增强III	BattleKeywords_Mirror4.json	MDHMca
Expand Body III	肉体扩展III	BattleKeywords_Mirror4.json	MDHMcb
Final Power Boost II	最终威力增强II	BattleKeywords_Mirror4.json	MDHMcc
Base Power Boost II	基础威力增强II	BattleKeywords_Mirror4.json	MDHMcd
Final Power Boost III	最终威力增强III	BattleKeywords_Mirror4.json	MDHMce
Max HP Boost II	体力上限增强II	BattleKeywords_Mirror4.json	MDHMcf
Clash Attack Boost I	拼点攻击增强I	BattleKeywords_Mirror4.json	MDHMcg
Amplify Body IV	肉体增强IV	BattleKeywords_Mirror4.json	MDHMda
Expand Body IV	肉体扩展IV	BattleKeywords_Mirror4.json	MDHMdb
Final Power Boost IV	最终威力增强IV	BattleKeywords_Mirror4.json	MDHMdc
Base Power Boost III	基础威力增强III	BattleKeywords_Mirror4.json	MDHMdd
Resilient II	强韧II	BattleKeywords_Mirror4.json	MDHMde
Coin Power Boost	硬币威力增强	BattleKeywords_Mirror4.json	MDHMdf
Clash Attack Boost II	拼点攻击增强II	BattleKeywords_Mirror4.json	MDHMdg
Offense Level Up I	攻击等级强化I	BattleKeywords_Mirror5.json	MD511
Growth I	生长I	BattleKeywords_Mirror5.json	MD514
Offense Level Up II	攻击等级强化II	BattleKeywords_Mirror5.json	MD521
Body Up I	肉体强化I	BattleKeywords_Mirror5.json	MD522
Keen I	锐利I	BattleKeywords_Mirror5.json	MD523
Resilient III	强韧III	BattleKeywords_Mirror5.json	MD525
Growth II	生长II	BattleKeywords_Mirror5.json	MD526
Headstrong I	顽强I	BattleKeywords_Mirror5.json	MD527
Keen II	锐利II	BattleKeywords_Mirror5.json	MD531
Keen III	锐利III	BattleKeywords_Mirror5.json	MD532
Resilient IV	强韧IV	BattleKeywords_Mirror5.json	MD533
Resilient V	强韧V	BattleKeywords_Mirror5.json	MD534
Growth III	生长III	BattleKeywords_Mirror5.json	MD535
Clash Power Boost	拼点威力增幅	BattleKeywords_Mirror5.json	MD536
Final Power Boost	最终威力增幅	BattleKeywords_Mirror5.json	MD537
Base Power Boost	基础威力增幅	BattleKeywords_Mirror5.json	MD538
Keen IV	锐利IV	BattleKeywords_Mirror5.json	MD541
Body Up II	肉体强化II	BattleKeywords_Mirror5.json	MD542
Body Up III	肉体强化III	BattleKeywords_Mirror5.json	MD543
Growth IV	生长IV	BattleKeywords_Mirror5.json	MD544
Clash Power Spurt	拼点威力增强	BattleKeywords_Mirror5.json	MD545
Final Power Spurt	最终威力增强	BattleKeywords_Mirror5.json	MD546
Base Power Spurt	基础威力增强	BattleKeywords_Mirror5.json	MD547
Brutality	破坏力	BattleKeywords_Mirror5.json	MD548
Headstrong II	顽强 II	BattleKeywords_Mirror5.json	MD549
Mounting Trials	追加的苦难	BattleKeywords_Mirror5.json	MD5Base
Keen V	锐利V	BattleKeywords_Mirror5.json	MD551
Body Up IV	肉体强化IV	BattleKeywords_Mirror5.json	MD552
Body Up V	肉体强化V	BattleKeywords_Mirror5.json	MD553
Growth V	生长V	BattleKeywords_Mirror5.json	MD554
Clash Power Up II	拼点威力增强II	BattleKeywords_Mirror5.json	MD555
Final Power Up II	最终威力增强II	BattleKeywords_Mirror5.json	MD556
Base Power Up II	基础威力增强II	BattleKeywords_Mirror5.json	MD557
Brutality II	破坏力II	BattleKeywords_Mirror5.json	MD558
Keen VI	锐利VI	BattleKeywords_Mirror5.json	MD561
Resilient VI	强韧VI	BattleKeywords_Mirror5.json	MD562
Body Up VI	肉体强化VI	BattleKeywords_Mirror5.json	MD563
Growth VI	生长VI	BattleKeywords_Mirror5.json	MD564
Clash Power Up III	拼点威力增强III	BattleKeywords_Mirror5.json	MD565
Final Power Up III	最终威力增强III	BattleKeywords_Mirror5.json	MD566
Base Power Up III	基础威力增强III	BattleKeywords_Mirror5.json	MD567
Brutality III	破坏力III	BattleKeywords_Mirror5.json	MD568
Keen VII	锐利VII	BattleKeywords_Mirror5.json	MD571
Resilient VII	强韧VII	BattleKeywords_Mirror5.json	MD572
Body Up VII	肉体强化VII	BattleKeywords_Mirror5.json	MD573
Growth VII	生长VII	BattleKeywords_Mirror5.json	MD574
Clash Power Up IV	拼点威力增强IV	BattleKeywords_Mirror5.json	MD575
Final Power Up IV	最终威力增强IV	BattleKeywords_Mirror5.json	MD576
Base Power Up IV	基础威力增强IV	BattleKeywords_Mirror5.json	MD577
Brutality IV	破坏力IV	BattleKeywords_Mirror5.json	MD578
Keen VIII	锐利VIII	BattleKeywords_Mirror5.json	MD581
Resilient VIII	强韧VIII	BattleKeywords_Mirror5.json	MD582
Body Up VIII	肉体强化VIII	BattleKeywords_Mirror5.json	MD583
Growth VIII	生长VIII	BattleKeywords_Mirror5.json	MD584
Clash Power Up V	拼点威力增强V	BattleKeywords_Mirror5.json	MD585
Final Power Up V	最终威力增强V	BattleKeywords_Mirror5.json	MD586
Base Power Up V	基础威力增强V	BattleKeywords_Mirror5.json	MD587
Brutality V	破坏力V	BattleKeywords_Mirror5.json	MD588
Keen IX	锐利IX	BattleKeywords_Mirror5.json	MD591
Resilient IX	强韧IX	BattleKeywords_Mirror5.json	MD592
Body Up IX	肉体强化IX	BattleKeywords_Mirror5.json	MD593
Growth IX	生长IX	BattleKeywords_Mirror5.json	MD594
Clash Power Up VI	拼点威力增强VI	BattleKeywords_Mirror5.json	MD595
Final Power Up VI	最终威力增强VI	BattleKeywords_Mirror5.json	MD596
Base Power Up VI	基础威力增强VI	BattleKeywords_Mirror5.json	MD597
Brutality VI	破坏力VI	BattleKeywords_Mirror5.json	MD598
Mounting Adversities	追加的制约	BattleKeywords_Mirror6.json	MD6LimitBaseN
Keen XII	锐利XII	BattleKeywords_Mirror6.json	MD6101
Resilient XII	强韧XII	BattleKeywords_Mirror6.json	MD6102
Body Up XII	肉体强化XII	BattleKeywords_Mirror6.json	MD6103
Growth XII	生长XII	BattleKeywords_Mirror6.json	MD6104
Clash Power Up VII	拼点威力增强VII	BattleKeywords_Mirror6.json	MD6105
Final Power Up VII	最终威力增强VII	BattleKeywords_Mirror6.json	MD6106
Base Power Up VII	基础威力增强VII	BattleKeywords_Mirror6.json	MD6107
Keen XIII	锐利XIII	BattleKeywords_Mirror6.json	MD6111
Resilient XIII	强韧XIII	BattleKeywords_Mirror6.json	MD6112
Body Up XIII	肉体强化XIII	BattleKeywords_Mirror6.json	MD6113
Growth XIII	生长XIII	BattleKeywords_Mirror6.json	MD6114
Clash Power Up VIII	拼点威力增强VIII	BattleKeywords_Mirror6.json	MD6115
Final Power Up VIII	最终威力增强VIII	BattleKeywords_Mirror6.json	MD6116
Base Power Up VIII	基础威力增强VIII	BattleKeywords_Mirror6.json	MD6117
Keen XIV	锐利XIV	BattleKeywords_Mirror6.json	MD6121
Keen XIV	强韧XIV	BattleKeywords_Mirror6.json	MD6122
Body Up XIV	肉体强化XIV	BattleKeywords_Mirror6.json	MD6123
Growth XIV	生长XIV	BattleKeywords_Mirror6.json	MD6124
Clash Power Up IX	拼点威力增强IX	BattleKeywords_Mirror6.json	MD6125
Final Power Up IX	最终威力增强IX	BattleKeywords_Mirror6.json	MD6126
Base Power Up IX	基础威力增强IX	BattleKeywords_Mirror6.json	MD6127
Keen XV	锐利XV	BattleKeywords_Mirror6.json	MD6131
Resilient XV	强韧XV	BattleKeywords_Mirror6.json	MD6132
Body Up XV	肉体强化XV	BattleKeywords_Mirror6.json	MD6133
Growth XV	生长XV	BattleKeywords_Mirror6.json	MD6134
Clash Power Up X	拼点威力增强X	BattleKeywords_Mirror6.json	MD6135
Final Power Up X	最终威力增强X	BattleKeywords_Mirror6.json	MD6136
Base Power Up X	基础威力增强X	BattleKeywords_Mirror6.json	MD6137
Keen XVI	锐利XVI	BattleKeywords_Mirror6.json	MD6141
Resilient XVI	强韧XVI	BattleKeywords_Mirror6.json	MD6142
Body Up XVI	肉体强化XVI	BattleKeywords_Mirror6.json	MD6143
Growth XVI	生长XVI	BattleKeywords_Mirror6.json	MD6144
Clash Power Up XI	拼点威力增强XI	BattleKeywords_Mirror6.json	MD6145
Final Power Up XI	最终威力增强XI	BattleKeywords_Mirror6.json	MD6146
Base Power Up XI	基础威力增强XI	BattleKeywords_Mirror6.json	MD6147
Level Boost	等级强化	BattleKeywords_Mirror6.json	MD6Limit101
Frailness	衰弱	BattleKeywords_Mirror6.json	MD6Limit102
Mark of Fire I	炎之烙印I	BattleKeywords_Mirror6.json	MD6Limit103
Inflation I	通货膨胀I	BattleKeywords_Mirror6.json	MD6Limit104
Ego Interference I	自我干涉I	BattleKeywords_Mirror6.json	MD6Limit105
Mental Psychosis I	精神错乱I	BattleKeywords_Mirror6.json	MD6Limit113
Nerve Acceleration I	神经加速I	BattleKeywords_Mirror6.json	MD6Limit114
SP Fatigue I	理智枯竭I	BattleKeywords_Mirror6.json	MD6Limit115
Tremor Barrier	震颤阻绝	BattleKeywords_Mirror6.json	MD6Limit123
Inflation II	通货膨胀II	BattleKeywords_Mirror6.json	MD6Limit124
Ego Interference II	自我干涉II	BattleKeywords_Mirror6.json	MD6Limit125
Vitality Boost	生命增幅	BattleKeywords_Mirror6.json	MD6Limit133
Mark of Fire II	炎之烙印II	BattleKeywords_Mirror6.json	MD6Limit135
Mental Psychosis II	精神错乱II	BattleKeywords_Mirror6.json	MD6Limit143
Nerve Acceleration II	神经加速II	BattleKeywords_Mirror6.json	MD6Limit144
SP Fatigue II	理智枯竭II	BattleKeywords_Mirror6.json	MD6Limit145
Hunger-Rage	饥饿-暴怒	BattleKeywords_Mirror6.json	HungryCharon
Indulged	饱腹感	BattleKeywords_Mirror6.json	FullCharon
O compatriots of my dear child	我孩子的同伴们啊	BattleKeywords_Mirror6.json	FragmentOfHopeFamilyMirror
Dream her dream together in my stead	代替我，与那孩子一同追寻梦想吧	BattleKeywords_Mirror6.json	FragmentOfHopeTwoFamilyMirror
Backup Candy	备用糖果	BattleKeywords_Mirror6.json	VerEmergencyCandy
Incandescent Indulgence	光辉的饱腹感	BattleKeywords_Mirror6.json	VerShiningFullness
Curio	探究对象	BattleKeywords_Mirror7.json	ObjectOfExploration
Spark of Inspiration	灵感	BattleKeywords_Mirror7.json	Inspire
Art Medium	绘画材料	BattleKeywords_Mirror7.json	PaintingMaterial
Exquisite Aesthetics	卓越的美感	BattleKeywords_Mirror7.json	GreatAesthetics
Firepower	火力	BattleKeywords_Mirror7.json	GiftCannon
Delicateness	易碎	BattleKeywords_Mirror7.json	GiftGlass
Shin (心) - ???	心-???	BattleKeywords_Mirror7.json	BlandishmentShinEnemyDelete
Bridle	枷锁	BattleKeywords_Mirror7.json	EnhanceRoseSign
Glimpse of Precognition	瞬间的预知	BattleKeywords_Mirror7.json	LookingFutureMirror
Force Redistribution	战力的再分配	BattleKeywords_Mirror7.json	MD7Limit101
Psychological Elation	精神昂扬	BattleKeywords_Mirror7.json	MD7Limit111
Shield Generation	生成护盾	BattleKeywords_Mirror7.json	MD7Limit121
Fracture Proliferation	龟裂增殖	BattleKeywords_Mirror7.json	MD7Limit131
Status Infliction	增加异常状态	BattleKeywords_Mirror7.json	MD7Limit141
Beauty of the Physique	肉体美	BattleKeywords_Mirror7.json	RingFingerPhysical
Charm of the Beastly	野性美	BattleKeywords_Mirror7.json	RingFingerFauvism
Splish Splash	拍拍	BattleKeywords_Mirror7.json	PlayingWithWaterTogetherMirror
Torn-out Butterfly	撕裂而出之蝶	BattleKeywords_Mirror7.json	RedButterfly
Hemorrhaging Dimension	血流成河的次元	BattleKeywords_Refraction2.json	PassedPortal_Red
Tremoring Dimension	震颤不止的次元	BattleKeywords_Refraction2.json	PassedPortal_Yellow
Electrifying Dimension	电流涌动的次元	BattleKeywords_Refraction2.json	PassedPortal_Blue
Charmed	魅惑	BattleKeywords_Refraction2.json	FairyCharm
Regenerate	再生	BattleKeywords_Refraction2.json	DecoyRegenerated
Protection Umbrella	保护伞	BattleKeywords_Refraction2.json	WaveFoxUmbrella
Crown of Thorns	冠冕	BattleKeywords_Refraction2.json	PrepareSinRose
Blooming Sin	绽放的罪孽	BattleKeywords_Refraction2.json	BloomingRose
Drenched Sin	罪孽缠身	BattleKeywords_Refraction2.json	EatingSin
Power-up State	强化状态	BattleKeywords_Refraction2.json	EnhanceRose
Bloomed Rose	绽放的玫瑰	BattleKeywords_Refraction2.json	FullBloomRose_Crimson
Brambles of Eternity	永劫的荆棘	BattleKeywords_Refraction2.json	KalpaVine
Gossypium	棉花	BattleKeywords_Refraction3.json	MRcAfBa
Red-stained Gossypium	红染棉花	BattleKeywords_Refraction3.json	MRcAfBb
Ember	火种	BattleKeywords_Refraction3.json	MRcAiBa
Shimmering Ember	闪烁的火种	BattleKeywords_Refraction3.json	MRcAiBb
Spark	点燃	BattleKeywords_Refraction3.json	MRcAiBc
All-beholding Gaze	一览无余的视线	BattleKeywords_Refraction3.json	MRcAmBd
Interloper	不速之客	BattleKeywords_Refraction4.json	UninvitedGuest
Plugged In	连接的插头	BattleKeywords_Refraction4.json	ConnectedPlug
Anti-Ovine Grounding Plug	对羊接地插头	BattleKeywords_Refraction4.json	AntiSheepGround
