# 同现实证配对：同一记录内中英直接对应（高置信）
# en	cn	count	source
Fruit Part	果实 部位	3	Enemies.json
Left Stem Part	左侧枝干 部位	3	Enemies.json
Right Stem Part	右侧枝干 部位	3	Enemies.json
Roots Part	根部 部位	3	Enemies.json
Doomsday Clay Doll Core	终末土偶 本体	3	Enemies.json
Burning Clay Doll Core	燃烧的终末土偶 本体	3	Enemies.json
Become Strong? Genuinely? Core	我变强了吗？当真？ 本体	3	Enemies.json
Grown Powerful! For Realsies? Core	变得更强了！真的？ 本体	3	Enemies.json
You Want To Get Beat? Hurtily? Core	你想挨打吗？很想？ 本体	3	Enemies.json
Pink Shoes Enchantee Core	粉红鞋魅惑之人 本体	3	Enemies.json
Pink Shoes Possessee Core	粉红鞋所占之人 本体	3	Enemies.json
Clippity-cloppity? Tap Away! Core	嘎吱嘎吱？来吧！ 本体	3	Enemies.json
Kromer the Dreamer of Human Wholeness Core	梦为完人的克罗默 本体	3	Enemies.json
Face Part	面部 部位	3	Enemies.json
Legs Part	腿部 部位	3	Enemies.json
Maw Part	大嘴 部位	3	Enemies.json
Servile N Corp. Inquisitor Enemy Unit	奉承的N公司异端审判官 敌方单位	3	Enemies.json
Compliant N Corp. Inquisitor Enemy Unit	顺从的N公司异端审判官 敌方单位	3	Enemies.json
Scourging N Corp. Inquisitor Enemy Unit	进行拷问的N公司异端审判官 敌方单位	3	Enemies.json
Interrogative N Corp. Inquisitor Enemy Unit	擅长审讯的N公司异端审判官 敌方单位	3	Enemies.json
Obsessive N Corp. Inquisitor Enemy Unit	执着的N公司异端审判官 敌方单位	3	Enemies.json
Joyous N Corp. Inquisitor Enemy Unit	极度喜悦的N公司异端审判官 敌方单位	3	Enemies.json
Dongrang, Who Denies All Core	否定一切的东朗 本体	3	Enemies.json
Refracted Effloresced E.G.O::GasHarpoon Core	折射的绽放E.G.O::燃气捕鲸叉 本体	3	Enemies_Refraction3.json
Clear {0}-{1} to Unlock the Hard Difficulty	通关{0}-{1}后解锁困难难度	3	EventMOWEText.json
Scrap Box	废料回收箱	3	EventUmidaText.json
Uptie Tier	同步阶段	3	Filter.json
Recent	最近获得	3	Filter.json
H Corp.	H公司	3	FormationNameEtcFilter.json
R Corp.	R公司	3	FormationNameEtcFilter.json
T Corp.	T公司	3	FormationNameEtcFilter.json
W Corp.	W公司	3	FormationNameEtcFilter.json
Wuthering Heights	呼啸山庄	3	FormationNameEtcFilter.json
The House of Spiders	蜘蛛巢	3	FormationNameEtcFilter.json
???'s Fathoms	？？？的心象	3	HellsChickenDungeonNode.json
Playlist	播放列表	3	LobbyBGMUI.json
Jukebox	点唱机	3	LobbyBGMUI.json
Rewards	奖励	3	MainUIText.json
E.G.O List	E.G.O列表	3	MainUIText.json
Identity List	人格列表	3	MainUIText.json
Paid	付费	3	MainUIText.json
Edit Team	编辑编队	3	MainUIText.json
Egoshards	自我碎片	3	MainUIText.json
E.G.O Resources	E.G.O资源	3	MainUIText.json
Select Identity	选择人格	3	MainUIText.json
Timekilling Time	时间杀人时间	3	MirrorDungeonTheme-1.json
The Noon of Violet	紫罗兰的正午	3	MirrorDungeonTheme-1.json
Line 2	2号线	3	MirrorDungeonTheme-1.json
The Dawn of Green	绿色的黎明	3	MirrorDungeonTheme-1.json
Normal	普通	3	MirrorDungeonUI_2.json
Not enough Starlight.	星芒不足。	3	MirrorDungeonUI_2.json
Higher Tier Gifts appear	出现饰品等级上升	3	MirrorDungeonUI_2.json
Selectable E.G.O Gift +1	出现的饰品数量+1	3	MirrorDungeonUI_2.json
Starting Cost +50	初始经费+50	3	MirrorDungeonUI_2.json
[Universal]
Gain +50 Starting Cost	[通用]
初始经费+50	3	MirrorDungeonUI_4.json
[Shops]
E.G.O Gift purchase Cost -5%	[商店]
购买E.G.O饰品所需经费减少 -5%	3	MirrorDungeonUI_4.json
[Encounters]
Defense Level +1	[战斗]
防御等级 +1	3	MirrorDungeonUI_4.json
Tier 1	1级	3	MirrorDungeonUI_4.json
Tier 2	2级	3	MirrorDungeonUI_4.json
Tier 3	3级	3	MirrorDungeonUI_4.json
Tier 4	4级	3	MirrorDungeonUI_4.json
Clear Canto 8
to Unlock	通过主线剧情
第8章后开放	3	MirrorDungeonUI_5.json
Projection Rewards	投影度奖励	3	MirrorDungeonUI_5_InfinityFloor.json
Collection	收集	3	MirrorDungeonUI_5_InfinityFloor.json
Clears	清剿	3	MirrorDungeonUI_5_InfinityFloor.json
Loadout	编队	3	MirrorDungeonUI_5_InfinityFloor.json
Completionist	完成度	3	MirrorDungeonUI_5_InfinityFloor.json
Reset	重置	3	MirrorDungeonUI_6.json
Parallel Superposition EXTREME	平行叠加极限模式	3	MirrorDungeonUI_6.json
Set Adversities	设置制约	3	MirrorDungeonUI_6.json
Theme Pack-Exclusive	主题卡包限定	3	MirrorDungeonUI_7.json
NOTHING TO SEE HERE NOTHING TO SEE HERE	不该出现的文本 不该出现的文本	3	Passives_Abnormality-a1c6p2.json
Staggered Ugh!	自身混乱 呃！	3	PersonalityVoiceDlg/Voice_Faust_LCB_10201.json
Staggered Tch!	自身混乱 嘁！	3	PersonalityVoiceDlg/Voice_Faust_WCorp6_10202.json
Staggered Ngh...	自身混乱 呃……	3	PersonalityVoiceDlg/Voice_Ishmael_Kurokumo_10811.json
Travel Collection	累计记录	3	RailwayDungeonUI.json
- E.G.O : Threadspin Tier 4	- E.G.O：异想解析4阶段	3	RailwayDungeonUI_1001.json
Select Buffs	选择BUFF	3	RailwayDungeonUI_2.json
The Terminus	终点站	3	RailwayDungeonUI_2.json
Dispenser	自动贩卖机	3	ReturnPolicy.json
EXP Luxcavation	经验采光	3	RewardDungeonUI.json
Thread Luxcavation	纺锤采光	3	RewardDungeonUI.json
Thread	纺锤	3	RewardDungeonUI.json
Faust Sinner #2	浮士德 2号罪人	3	ScenarioModelCodes-AutoCreated.json
Meursault Sinner #5	默尔索 5号罪人	3	ScenarioModelCodes-AutoCreated.json
Rodion Sinner #9	罗佳 9号罪人	3	ScenarioModelCodes-AutoCreated.json
Sinclair Sinner #11	辛克莱 11号罪人	3	ScenarioModelCodes-AutoCreated.json
Outis Sinner #12	奥提斯 12号罪人	3	ScenarioModelCodes-AutoCreated.json
Dante Manager	但丁 执行经理	3	ScenarioModelCodes-AutoCreated.json
Ahab Captain of the Pequod Town	亚哈 裴廓德镇 船长	3	ScenarioModelCodes-AutoCreated.json
Catherine Wuthering Heights	凯瑟琳 呼啸山庄	3	ScenarioModelCodes-AutoCreated.json
Erlking Heathcliff A Distant World	<size=90%>魔王希斯克利夫</size>	3	ScenarioModelCodes-AutoCreated.json
The Time Ripper Distortion	时间杀人魔 扭曲	3	ScenarioModelCodes-AutoCreated.json
Jia Xichun ???	贾惜春 ？？？	3	ScenarioModelCodes-AutoCreated.json
Wei ???	卫 ？？？	3	ScenarioModelCodes-AutoCreated.json
Dulcinea La Manchaland	杜尔西内娅 拉·曼却领	3	ScenarioModelCodes-AutoCreated.json
La Manchaland	杜尔西内娅的部下 拉·曼却领	3	ScenarioModelCodes-AutoCreated.json
The Priest La Manchaland	神父 拉·曼却领	3	ScenarioModelCodes-AutoCreated.json
Don Quixote La Manchaland	堂吉诃德 拉·曼却领	3	ScenarioModelCodes-AutoCreated.json
Sancho ???	桑丘 ？？？	3	ScenarioModelCodes-AutoCreated.json
Hohenheim LCE Research Team Chief	霍恩海姆 LCE研究组 首席	3	ScenarioModelCodes-AutoCreated.json
??? L Corp. Branch Control Team?	？？？ L公司支部 控制部？	3	ScenarioModelCodes-AutoCreated.json
Saude LCCB Manager	索德 LCCB 科长	3	ScenarioModelCodes-AutoCreated.json
Zilu Heishou Packs - Mao Branch	子路 黑兽 - 卯	3	ScenarioModelCodes-AutoCreated.json
Jia Baoyu Gem of the Jia Family	贾宝玉 贾家的宝石	3	ScenarioModelCodes-AutoCreated.json
Lei Heng The Thumb's Capo ⅠⅠⅠⅠ	雷横 拇指 指挥官ⅠⅠⅠⅠ	3	ScenarioModelCodes-AutoCreated.json
Lin Daiyu Baochai's Clan	林黛玉 宝钗的势力	3	ScenarioModelCodes-AutoCreated.json
Xue Pan Xue Family	薛蟠 薛家	3	ScenarioModelCodes-AutoCreated.json
??? Daguanyuan	？？？ 大观园	3	ScenarioModelCodes-AutoCreated.json
??? Shi Family	？？？ 史家	3	ScenarioModelCodes-AutoCreated.json
Jia Xichun The Hierarch of Hongyuan	贾惜春 鸿园的家主	3	ScenarioModelCodes-AutoCreated.json
Callisto The Ring Nursefather	卡利斯托 环指 父辈	3	ScenarioModelCodes-AutoCreated.json
Albina The Ring Apprentice	阿尔比娜 环指 子辈	3	ScenarioModelCodes-AutoCreated.json
Aeng-du LCD	樱桃 LCD	3	ScenarioModelCodes-AutoCreated.json
Corpse Manikin The Ring	由尸体所制的人偶 环指	3	ScenarioModelCodes-AutoCreated.json
Araya The House of Spiders	阿赖耶 蜘蛛巢	3	ScenarioModelCodes-AutoCreated.json
Change	更换	3	SelectDUI.json
You don’t have enough Lunacy.	狂气不足。	3	ShopUI.json
[StartBattle] Summon 2 allies next turn Assemble	[StartBattle] 下回合召唤2名友方单位 全员集合	3	Skills_Abnormality-BossRaid.json
Strike Down	下劈	3	Skills_Abnormality.json
Harden	硬化	3	Skills_Abnormality_Refraction1_bokgak.json
[OnSucceedEvade] Heal 3 SP on self Evade	[OnSucceedEvade] 使自身恢复3点理智值 闪避	3	Skills_Enemy-a1c6p1.json
Hit	打击	3	Skills_Enemy.json
Block	格挡	3	Skills_Enemy.json
Swipe	挥砍	3	Skills_Enemy.json
Retreat; Retreat;	撤退 撤退	3	Skills_Enemy.json
[WhenUse] Gain 1 Tremor Sync next turn Rev Up	[WhenUse] 下回合使自身获得1层震颤同步  发动引擎	3	Skills_Enemy.json
Guard Guard	防御 防御	3	Skills_personality-04.json
Continue Battle	继续关卡	3	StageContinueText.json
The 4th Walpurgis Night	第4次 瓦尔普吉斯之夜	3	StageNode91-11.json
The 5th Walpurgis Night	第5次 瓦尔普吉斯之夜	3	StageNode91-13.json
The 6th Walpurgis Night	第6次 瓦尔普吉斯之夜	3	StageNode91-17.json
The 8th Walpurgis Night	第8次 瓦尔普吉斯之夜	3	StageNode91-23.json
The 2nd Walpurgis Night	第2次 瓦尔普吉斯之夜	3	StageNode91-6.json
The 3rd Walpurgis Night	第3次 瓦尔普吉斯之夜	3	StageNode91-8.json
... Hmph.	……哼。	3	StoryData/1D202A.json
Sonya Yurodivy ……	索尼亚 圣愚 ……	3	StoryData/2D306A.json
Sometime later…	不久之后……	3	StoryData/2D306A.json
Nothing.	没什么。	3	StoryData/4D102A.json
Yet...	但是……	3	StoryData/4D305I.json
Haaah...	哈啊……	3	StoryData/5D304A.json
Yeah.	嗯。	3	StoryData/7D102A.json
Fathoms of Ego - La Mancha Eye …….	自我心道 - 拉·曼却之眼 ……	3	StoryData/7D110B.json
<Don Quixote…>	<堂吉诃德……>	3	StoryData/7D111A.json
... No.	……没有。	3	StoryData/8D105B.json
Grandma...	奶奶……	3	StoryData/8D202A.json
<Uh...>	<呃……>	3	StoryData/E001X.json
Dante...	但丁……	3	StoryData/E001X.json
... Oh.	……啊。	3	StoryData/E003I2.json
<Hmm...?>	<嗯……？>	3	StoryData/E003I3.json
Enough.	够了。	3	StoryData/E042X.json
Phew...	呼……	3	StoryData/E070X.json
... I see.	……原来如此。	3	StoryData/E080X.json
What?	啊？	3	StoryData/E502B.json
<Haah...>	<哈啊……>	3	StoryData/E503B.json
Huh?	嗯？	3	StoryData/E509B.json
Bamboo-hatted Kim? Blade Lineage? …….	金笠？ 剑契组？ ……	3	StoryData/E517B.json
Mm...	嗯……	3	StoryData/E604B.json
<Well, that's...>	<那是……>	3	StoryData/E607B.json
Correct.	没错。	3	StoryData/E612B.json
<Hm?>	<嗯？>	3	StoryData/E613B.json
Um...	嗯……	3	StoryData/E620B.json
... Dante.	……但丁。	3	StoryData/E622B.json
And yet…	但是……	3	StoryData/E626B.json
Ahh...	啊……	3	StoryData/E728B.json
Yet...	然而……	3	StoryData/E811I1.json
... Ah.	……啊。	3	StoryData/E903B.json
Huh...?	嗯……？	3	StoryData/E903B.json
*sigh*	哈啊……	3	StoryData/E904B.json
Yes, Manager.	是，经理。	3	StoryData/E917B.json
<Faust?>	<浮士德？>	3	StoryData/E923B.json
Yi Sang The Index Nursefather …….	李箱 食指 父辈 ……	3	StoryData/P10115.json
Interviewer ??? …….	记者 ？？？ ……	3	StoryData/P10213.json
Dawn Office Fixer [.......]	黎明事务所 收尾人 [……]	3	StoryData/P10216.json
Outis Blade Lineage Salsu …….	奥提斯 剑契组 杀手 ……	3	StoryData/P10308.json
Faust Heishou Pack - Mao Branch Adept .......	浮士德 黑兽 - 卯 魁首 ……	3	StoryData/P10313.json
Excision Management Staff K Corp. …….	摘除监管人员 K公司 ……	3	StoryData/P10605.json
Levelheaded Resident District 19 .......	冷静的居民 19区 ……	3	StoryData/P10615.json
Huh?	哈？	3	StoryData/P10704.json
Sailors The Pequod AYE!!!	船员们 裴廓德号 是！！！	3	StoryData/P10808.json
Rodion Welfare Team Agent …….	罗佳 福利部 员工 ……	3	StoryData/P10913.json
The Lord of Flies G Corp. .......	苍蝇之王 G公司 ……	3	StoryData/P10916.json
*sigh*	……唉。	3	StoryData/S101B.json
Saude LCCB ……	索德 LCCB ……	3	StoryData/S203B.json
Yeah.	对。	3	StoryData/S313A.json
Shrenne K Corp. Laboratory ……	施伦妮 K公司研究所 ……	3	StoryData/S417A.json
After an indeterminate amount of time...	过了一段时间……	3	StoryData/S501B.json
So...	因此……	3	StoryData/S606B.json
A Distant World …….	另一个世界 ……	3	StoryData/S643B.json
Catherine.	凯瑟琳。	3	StoryData/S648I.json
Indeed.	嗯。	3	StoryData/S801B.json
*exhale*	呼……	3	StoryData/S927B.json
Araya.	阿赖耶。	3	StoryData/S931B.json
Grant Us Love	请给我们爱	3	StoryTheaterOther.json
이상
남
9월 23일
A
176CM
70KG	李箱
男
9月23日
A
176CM
70KG	3	StoryTheaterPersonality.json
파우스트
여
9월 23일
A
174CM
59KG	浮士德
女
9月23日
A
174CM
59KG	3	StoryTheaterPersonality.json
돈키호테
여
9월 23일
A
163CM
52KG	堂吉诃德
女
9月23日
A
163CM
52KG	3	StoryTheaterPersonality.json
료슈
여
9월 23일
A
171CM
58KG	良秀
女
9月23日
A
171CM
58KG	3	StoryTheaterPersonality.json
오티스
여
9월 23일
A
177CM
64KG	奥提斯
女
9月23日
A
177CM
64KG	3	StoryTheaterPersonality.json
Rodion
F
September 23rd
A
182CM (5'11")
65KG (143.3lbs)	罗佳
女
9月23日
A
182CM
65KG	3	StoryTheaterPersonality.json
Sinclair
M
September 23rd
A
163CM (5'4")
54KG (119.05lbs)	辛克莱
男
9月23日
A
163CM
54KG	3	StoryTheaterPersonality.json
Heathcliff
M
September 23rd
A
180CM (5'11")
54KG (171.96lbs)	希斯克利夫
男
9月23日
A
180CM
78KG	3	StoryTheaterPersonality.json
Selecting Identities	选择人格	3	TutorialMainUIText.json
Sinner Health	罪人体力情况	3	TutorialMainUIText.json
Total Record	累计记录	3	TutorialMainUIText.json
Effective Attacks	关卡有利属性	3	TutorialMainUIText.json
Rest Stops	休息点	3	TutorialMainUIText.json
Minus Coin Identities receive negative Starting SP buffs.	对于使用减算硬币的人格，初始理智值增益将会以负数激活。	3	TutorialMainUIText.json
Combat - Lingering Determination	战斗-遗留的意志	3	TutorialMainUIText.json
Choosing the Theme Pack Difficulty	更改主题卡包难易度	3	TutorialMirrorDungeon.json
Effective Attacks & Cost Rewards	关卡有利属性与获得经费	3	TutorialMirrorDungeon.json
Nodes before Theme Pack Boss Encounters are shops.	在主题卡包头目遭遇战之前的节点，配置了商店。	3	TutorialMirrorDungeon.json
E.G.O Gifts & Mounting Trials	E.G.O饰品 & 追加的苦难	3	TutorialMirrorDungeon.json
The Raid Obtained at Season 7 Free Pass Level 70	袭击 第7赛季 蛛丝赤 达到等级70的免费通行证奖励	3	UserTicket-EGOBg-a1c9p1.json
Limbus Company Base	边狱公司 基础	3	UserTicket-EGOBg.json
Sin: Wrath Base	罪孽：暴怒 基础	3	UserTicket-EGOBg.json
Sin: Lust Base	罪孽：色欲 基础	3	UserTicket-EGOBg.json
Sin: Sloth Base	罪孽：怠惰 基础	3	UserTicket-EGOBg.json
Sin: Gluttony Base	罪孽：暴食 基础	3	UserTicket-EGOBg.json
Sin: Gloom Base	罪孽：忧郁 基础	3	UserTicket-EGOBg.json
Sin: Pride Base	罪孽：傲慢 基础	3	UserTicket-EGOBg.json
Sin: Envy Base	罪孽：嫉妒 基础	3	UserTicket-EGOBg.json
Rainy Day Obtained at Season 2 Limbus Pass Level 45	雨日 第2赛季 追忆 边狱通行证达到等级45的奖励	3	UserTicket-EGOBg.json
Dongbaek Obtained at Season 2 Free Pass Level 55	山茶花 第2赛季 追忆 达到等级55的免费奖励	3	UserTicket-EGOBg.json
S.E.A Obtained from the S.E.A event	去·海·边 通过去·海·边活动获取	3	UserTicket-EGOBg.json
Shipping Container Obtained at Season 3 Free Pass Level 70	港口集装箱 第3赛季 一路顺风 达到等级70的免费奖励	3	UserTicket-EGOBg.json
Pequod Town Obtained at Season 3 Free Pass Level 110	裴廓德镇 第3赛季 一路顺风 达到等级110的免费奖励	3	UserTicket-EGOBg.json
1st Birthday Obtained from the 1st Anniversary event	1st Birthday 通过1周年纪念活动获取	3	UserTicket-EGOBg.json
Wuthering Heights Obtained at Season 4 Free Pass Level 70	呼啸山庄 第4赛季 清除凯茜 达到等级70的免费通行证奖励	3	UserTicket-EGOBg.json
Line 5 Obtained by clearing Refraction Railway Line 5	5号线 通关折射轨道5号线时获得	3	UserTicket-EGOBg.json
2nd Anniversary Obtained from the 2nd Anniversary event	2nd Anniversary 通过2周年纪念活动获取	3	UserTicket-EGOBg.json
Daguanyuan Obtained at Season 6 Free Pass Level 70	大观园 第6赛季 葬花吟 达到等级70的免费通行证奖励	3	UserTicket-EGOBg.json
3rd Anniversary Obtained from the 3rd Anniversary event	3rd Anniversary 通过3周年纪念活动获取	3	UserTicket-EGOBg.json
Line 6 Obtained by clearing Refraction Railway Line 6	6号线 通关折射轨道6号线时获得	3	UserTicket-EGOBg.json
Easy	简单难度	3	Walpu3EventText.json
The Dawn of Violet	紫罗兰的黎明	3	Walpu4EventText.json
{0} gains %{2} [{1}]/% and %{4} [{3}]/%	{0}获得%{2} [{1}]/%，%{4} [{3}]/%	2	AbEventsResultLog-a1c5p3.json
{0} gains %{2} [{1}]/%	{0} 获得%{2} [{1}]/%	2	AbEventsResultLog-a1c5p3.json
[{0}] gains %{3} {2}/% for {1} turn(s)	[{0}]在{1}回合内获得%{3} {2}/%	2	AbEventsResultLog-a1c6p3.json
Dongrang has been confronted	东朗被阻拦了	2	AbEventsResultLog.json
- Remove the first Stagger Threshold	- 移除自身的第一混乱阈值	2	AbEventsResultLog_Refraction6.json
Physical Intervention Shield Activated	物理屏蔽力场已激活	2	AbEventsResultLog_walpu4.json
Araya	阿赖耶	2	Announcer-a1c9p3.json
Charon	卡戎	2	Announcer-m4d1.json
Yuri	尤莉	2	Announcer.json
Molar Office	臼齿事务所	2	Announcer.json
Dawn Office	黎明事务所	2	Announcer.json
Vergilius	维吉里乌斯	2	Announcer.json
Lei Heng	雷横	2	Announcer.json
Kira	绮罗	2	Announcer.json
Select Announcer	选择播报员	2	AnnouncerTicketUIPopup.json
Victory Cry	战斗胜利	2	AnnouncerVoiceType.json
Defeat Wail	战斗失败	2	AnnouncerVoiceType.json
Vespa Assist Unit Name	韦斯帕 援助单位名称	2	Assist-a1c9p2.json
Wrath	暴怒	2	AttributeText.json
Blind Obsession At 3+ value, this unit becomes staggered. -	盲目 层数不低于3层时陷入混乱。 -	2	BattleKeywords-a1c5p3.json
Deep Bereavement Inflict 5 SP damage at Attack End. -	深切的丧失感 攻击结束后，对目标造成5点理智伤害。 -	2	BattleKeywords-a1c6p3.json
An Actual Bear - It eats people. How fearsome! -	真正的熊 - 这头可怕的熊连人都吃 -	2	BattleKeywords-a1c7p1.json
Honorable Duel Reminisced Tales of Adventure -	光荣的决斗 回忆中的冒险故事 -	2	BattleKeywords-a1c7p2.json
Irresponsible Dream Killed when hit by Don Quixote. -	不负责任的梦 被堂吉诃德命中时阵亡。 -	2	BattleKeywords-a1c7p3.json
Torn Memory Max Stack: 7	撕裂的回忆 最大值：7	2	BattleKeywords-a1c8p3.json
Malattunement - Base Offense Level +2, Base Defense Level +2	未感应 - 基础攻击等级+2，基础防御等级+2	2	BattleKeywords-a1c8p3.json
Responsibility In Clashes against Gubo, Clash Power +2	责任感 与仇甫进行拼点时，使自身的拼点威力+2	2	BattleKeywords-a1c8p3.json
Stigmatized - Tageted by Gubo
- Expires at Turn End	标记 - 成为仇甫的目标
- 回合结束时解除本效果	2	BattleKeywords-a1c8p3.json
Untroubled Analysis - Deal +25% damage to Faelantern -	冷静分析 - 对精灵提灯造成的伤害+25% -	2	BattleKeywords-a1c9p1.json
The Thumb Nursefather's Command - Lose 5 Offense Levels -	拇指父辈的命令 - 攻击等级-5 -	2	BattleKeywords-a1c9p1.json
Ragged Breath Turn Start: Lose 3 Poise Potency -	紊乱的呼吸 回合开始时，使自身减少3级呼吸法 强度 -	2	BattleKeywords-a1c9p1.json
Ragged Breath Turn Start: Lose 5 Poise Potency -	紊乱的呼吸 回合开始时，使自身减少5级呼吸法 强度 -	2	BattleKeywords-a1c9p1.json
Silent Regard UNUSED BUFF -	观望 未使用buff -	2	BattleKeywords-a1c9p2.json
K Corp. Ampule Used Used K Corp. Ampule -	使用K公司安瓿 已使用的K公司的安瓿 -	2	BattleKeywords-a1c9p3.json
Faint Guilt - Offense Level -15
- Defense Level -15	微弱的负罪感 - 攻击等级-15
- 防御等级-15	2	BattleKeywords-cultivation.json
Snake Venom - Offense Level -1
- Defense Level -1	蛇毒 - 攻击等级-1
- 防御等级-1	2	BattleKeywords-cultivation.json
Candy? - Max Value: 1
- Where's the candy? -	糖果？ - 最大值：1
- 糖果在哪里？ -	2	BattleKeywords-fools.json
Tick-Tock?! - Heal 10 SP at Turn End -	滴答滴答？！ - 回合结束时，恢复10点理智值 -	2	BattleKeywords-fools.json
The Knight's Corpus Take +80% damage	骑士骨血 受到的伤害+80%	2	BattleKeywords-pilgrimage.json
Misery and Calamity - Offense Level -??
- Defense Level -??	苦厄灾难 - 攻击等级-？？
- 防御等级-？？	2	BattleKeywords-pilgrimage.json
!!!OUDATED EFFECT!!!	过期状态	2	BattleKeywords-walpu4.json
Golden Recipe Sauce - Clash Power +2	黄金秘传酱汁 - 使自身的拼点威力+2	2	BattleKeywords-x1p1c1.json
Struggle Speed +1 for this battle. SPD +1	挣扎 本场战斗速度值+1。 速度值+1	2	BattleKeywords.json
Relief Speed +2 for this battle. SPD +2	安心 本场战斗速度值+2。 速度值+2	2	BattleKeywords.json
Contamination Combat Start: Speed -2. SPD -2	秽物 战斗开始时，速度值-2。 速度值-2	2	BattleKeywords.json
Faster! Gain 2 Haste 표시용	再快点！ 获得2层迅捷  표시용	2	BattleKeywords.json
Aim True! Gain 3 Poise 표시용	再准点！ 增加3级呼吸法 强度 표시용	2	BattleKeywords.json
Momentary Cool Core and body lose 50% Max HP	片刻冷静 本体与躯干的体力上限-50%	2	BattleKeywords.json
Expanding Sorrow Changes behavior. Changes behavior.	愈加膨胀的哀伤 改变自身的行为。 改变自身的行为。	2	BattleKeywords.json
Scattering Petals Turn End: At 6+ Count, become staggered	落英缤纷 回合结束时，若本效果的层数不低于6层，则陷入混乱	2	BattleKeywords.json
Emptiness At 4+ Count, Dongrang becomes staggered.	空虚 层数高于4时，东朗陷入混乱	2	BattleKeywords.json
Nutrient Drain Turn End: Dongrang heals 10 HP	吸收养分 每回合结束时，使东朗恢复10点体力	2	BattleKeywords.json
사용하지 않음 사용하지 않음	未使用 未使用	2	BattleKeywords.json
Reverse Compulsion Heal 15 SP at every Turn Start	反转强迫 每回合开始时，使自身恢复15点理智值	2	BattleKeywords.json
Torn Memory - Max Value : 7
- Used for certain Skills	撕裂的回忆 - 最大值：7
- 用于特定技能	2	BattleKeywords.json
E.G.O Passives Active E.G.O Passives -	E.G.O被动技能 激活的E.G.O被动技能 -	2	BattleKeywords.json
Assist Defense -	援护防御 -	2	BattleKeywords.json
Razor Thorn -	刃棘 -	2	BattleKeywords.json
Hornet [Rifle] Current Mode: Hornet [Rifle] -	黄蜂[步枪] 现在的模式：黄蜂[步枪] -	2	BattleKeywords.json
Solitude - Low Morale
- Turn End: Gain +2 Sinking Count -	孤独 - 士气低落
- 回合结束时，对自身施加2层沉沦  -	2	BattleKeywords.json
Solitude - Panic
- Turn End: Gain +3 Sinking Count -	孤独 - 陷入恐慌
- 回合结束时，对自身施加3层沉沦  -	2	BattleKeywords.json
Inflict additional Burn Inflict +1 more Burn with Skills	烧伤追加 技能使目标增加的烧伤 强度额外+1	2	BattleKeywords_Mirror3.json
Inflict additional Bleed Inflict +1 more Bleed with Skills	流血追加 技能使目标增加的流血 强度额外+1	2	BattleKeywords_Mirror3.json
Inflict additional Tremor Inflict +1 more Tremor with Skills	震颤追加 技能使目标增加的震颤 强度额外+1	2	BattleKeywords_Mirror3.json
Slash Boost Slash damage +15%	斩击强化 斩击伤害+15%	2	BattleKeywords_Mirror3.json
Pierce Boost Pierce damage +15%	突刺强化 突刺伤害+15%	2	BattleKeywords_Mirror3.json
Blunt Boost Blunt damage +15%	打击强化 打击伤害+15%	2	BattleKeywords_Mirror3.json
Max HP + Max HP +15%	体力上限提升 体力上限+15%	2	BattleKeywords_Mirror3.json
Slot Weight + Slot Weight +1	容量增加 行动槽容量+1	2	BattleKeywords_Mirror3.json
Boost Speed Max Speed +1	速度增加 最大速度值+1	2	BattleKeywords_Mirror3.json
Sanity Attack On Hit, deal 2 fixed SP damage	精神攻击 命中时，对目标造成2点理智伤害	2	BattleKeywords_Mirror3.json
Unopposed Attack Boost Final Power +1 to Unopposed Attacks	单方面攻击强化 单方面攻击时，技能的最终威力+1	2	BattleKeywords_Mirror3.json
Clash Attack Boost Final Power +1 in a Clash	拼点攻击强化 进行拼点时，技能的最终威力+1	2	BattleKeywords_Mirror3.json
Defense Level Up Defense Level +4	防御等级强化 防御等级+4	2	BattleKeywords_Mirror3.json
Defense Power Up Defense Skill Base Power +2	守备威力强化 守备技能基础威力+2	2	BattleKeywords_Mirror3.json
Max HP Up Max HP +10%	体力上限强化 体力上限+10%	2	BattleKeywords_Mirror3.json
Damage Taken Down Damage Taken -10%	受到伤害降低 受到的伤害-10%	2	BattleKeywords_Mirror3.json
Offense Level Up Offense Level +3, Max HP +5%	攻击等级强化 攻击等级+3，体力上限+5%	2	BattleKeywords_Mirror3.json
Final Power Up Final Power +1, Max HP +5%	最终威力强化 技能最终威力+1，体力上限+5%	2	BattleKeywords_Mirror3.json
Base Power Up Base Power +1, Max HP +5%	基础威力强化 技能基础威力+1，体力上限+5%	2	BattleKeywords_Mirror3.json
Damage Dealt Up Deal +15% damage, Max HP +5%	造成伤害强化 造成的伤害+15%，体力上限+5%	2	BattleKeywords_Mirror3.json
Final Power Up I Final Power +1, Max HP +15%	最终威力增幅 I 技能最终威力+1，体力上限+15%	2	BattleKeywords_Mirror3.json
Base Power Up I Base Power +1, Max HP +10%	基础威力增幅 I 技能基础威力+1，体力上限+10%	2	BattleKeywords_Mirror3.json
Overload I Offense Level +7, Defense Level -7	过载 I 攻击等级+7，防御等级-7	2	BattleKeywords_Mirror3.json
Final Power Up IV Final Power +3, Max HP +10%	最终威力增幅 IV 技能最终威力+3，体力上限+10%	2	BattleKeywords_Mirror3.json
Overload II Offense Level +10, Defense Level -7	过载 II 攻击等级+10，防御等级-7	2	BattleKeywords_Mirror3.json
