# en	cn	en_hits	cn_hits	source	id
Standby State	待命状态	6	7	BattleKeywords-pilgrimage.json	WaitingforCommandMod
Trauma Shield	精神屏蔽力场	7	6	BattleKeywords-walpu6.json	TraumaShield
Preparing Herd Migration	群体移动准备	2	11	BattleKeywords-walpu8.json	RunHallway
Contamination	秽物	8	5	BattleKeywords.json	Choice_901019
Before the King	御前	5	8	BattleKeywords.json	ForwardToTheKing
Blubberbubble	泪珠	8	5	BattleKeywords.json	ShieldManagerCryingToad
버프 이름	增益名称	0	13	BattleKeywords_Refraction5.json	MRR531
Battle Pass XP	通行证经验	4	9	BattlePass.json	battlepass_progress
Ragged Umbrella	破损的雨伞	8	5	EGOgift_MirrorDungeon.json	9119
Bloodflame Sword	血炎刀	1	12	EGOgift_cultivation.json	9819
Giant Leaf	巨大的叶子	3	10	Enemies-a1c5p1.json	8747
Vulgar Veteran	粗俗的残兵	11	2	Enemies.json	90012
Right Leg	右腿	7	6	Enemies.json	803102
Chest-puffing Tingtanger	表现欲强的豆豆帮成员	12	1	Enemies.json	90018
Flexing Tieqiu Crewman	正在热身的铁工会成员	3	10	Enemies.json	90027
Interrogative N Corp. Inquisitor	擅长审讯的N公司异端审判官	3	10	Enemies.json	90036
Hatred and Despair	憎恶与绝望	6	7	MirrorDungeonTheme-1.json	1119
Not Enough Starlight	星芒不足	6	7	MirrorDungeonUI_6.json	mirror_start_buff_unavailable_purchase_modal_title
Floor In Progress	当前阶层	1	12	MirrorDungeonUI_6.json	mirror_dungeon_ask_after_defeat_current_floor
Too Slow	太慢了	8	5	Passives.json	1100821
The Middle Never Forgets	中指永不遗忘	7	6	Passives.json	1101201
Explosive Emotions	爆发的情感	6	7	Passives_Abnormality-a1c6p2.json	816402
Time to Hunt	狩猎时刻	7	6	Passives_Abnormality-a1c9p3.json	131410
Blade Dance	剑舞	6	7	Passives_Abnormality-ycgd.json	815402
Jin Gang Bolus	金刚丹丸	7	6	Passives_Assist-Cultivation.json	940000516
Gungnir	冈格尼尔	2	11	Passives_Assist-a1c9p2.json	40000602
CLEAR ALL CATHY	CLEAR ALL CATHY	11	2	SeasonTitle.json	season_title_4
Into the Dark	步入黑暗	11	2	StageNode-a1c5p3.json	10539
Isabella	伊莎贝拉	5	8	StageNode-a1c6p3.json	10636
To The Rooftop	去屋顶	11	2	StageNode-a1c6p3.json	10642
Next Car	下一节车厢	4	9	StageNode91-10.json	911010
Try Talking	与其搭话。	11	1	AbEvents.json	1040801
Bamboo-hatted Kim's Past 3	金笠的过去 3	6	6	AbEvents_Mirror7.json	97111202
Doomsday Calendar-A	终末日历-A	6	6	AbnormalityGuides.json	8003
Pink Shoes-A	粉红鞋-A	6	6	AbnormalityGuides.json	8013
Papa Bongy	凤老爹	6	6	AbnormalityGuides.json	8038
Try Talking	尝试着交流。	11	1	ActionEvents.json	10408
Deep Bereavement	深切的丧失感	6	6	BattleKeywords-a1c6p2.json	AaCfPbBd
Torn Memory	撕裂的回忆	6	6	BattleKeywords-a1c8p3.json	BoseProjektilReplica
Hollow Obedience	空虚的顺从	6	6	BattleKeywords-a1c8p3.json	Obedient
Repressed Bloodthirst	压抑的杀气	4	8	BattleKeywords-a1c9116.json	RepressedMurderousIntend
Moonlit Azure Blade	月下青刀	6	6	BattleKeywords-a1c9p1.json	DicipleLittleFinger
Ragged Breath	紊乱的呼吸	6	6	BattleKeywords-a1c9p1.json	BreathLoss_LowMorale
Gungnir's Droning	冈格尼尔的共鸣	6	6	BattleKeywords-a1c9p2.json	HornetPoison
Ridiculous Grit	过人的毅力	6	6	BattleKeywords-a1c9p3.json	MiddleFatherGuts
K Corp. Emergency Ampule	紧急用K公司安瓿	6	6	BattleKeywords-a1c9p3.json	KAmpouleA1C94TH
Accelerating Future	加速的未来	6	6	BattleKeywords-a1c9p3.json	LookingFuture
Game Target	狩猎目标	6	6	BattleKeywords-a1c9p3.json	TeachersPrey
Sizzling Wound	灼烧着的伤口	6	6	BattleKeywords-a1c9p3.json	BurningWoundRien
Shared Time	共享的时间	6	6	BattleKeywords-tkt.json	OwnTime
Ready to Fire	射击准备完毕	3	9	BattleKeywords-walpu5.json	AllSetForShooting
Pheromone	信息素	6	6	BattleKeywords-walpu8.json	QueenBeepheromone
Yummers	变好吃了	7	5	BattleKeywords-x1p1c1.json	Yummy_Lowmorale
Outlash	迁怒	6	6	BattleKeywords.json	Blame_LowMorale
Gluttony Fragility	暴食易损	6	6	BattleKeywords.json	ShamrockTakeDamageUp
Ecstatic	狂喜	5	7	BattleKeywords.json	Cromer_Ecstasy
Tremor Sync	震颤同步	6	6	BattleKeywords.json	VibrationAssimilation
Unresolved Sorrow	尚未释怀的哀伤	6	6	BattleKeywords.json	Bull_Sadness
Suicidal	自尽	5	7	BattleKeywords.json	Suicide_LowMorale
Empty Mark	空虚的标记	6	6	BattleKeywords.json	DistortedDongrangEmptyMark
Sloth Power Up	怠惰威力提升	6	6	BattleKeywords.json	AmberResultUp
Defensive Stance	防御姿态	3	9	BattleKeywords.json	DefensiveStance
District 12 Fuel	12区燃料	8	4	BattleKeywords.json	FirePunchFuel
Commanding Cry	号令	2	10	BattleKeywords.json	BattlefieldHorse
Escape Battlefield	脱离战场	5	7	BattleKeywords.json	CommonExit
Liferender	绝命	2	10	BattleKeywords.json	AStrokeOfDeath
Hardblood Armor	硬血甲胄	6	6	BattleKeywords.json	BloodArmorMeursault
Emergency Barrier Battery	应急力场电池	6	6	BattleKeywords.json	EmergencyChargeForceField
Light of Daybreak	黎明之火	6	6	BattleKeywords.json	StigmaWorkshopHandStep1
Max HP Up	体力上限强化	8	4	BattleKeywords_Mirror3.json	MDHcFaBc
Growth I	生长I	2	10	BattleKeywords_Mirror5.json	MD514
Body Up I	肉体强化I	2	10	BattleKeywords_Mirror5.json	MD522
Keen I	锐利I	2	10	BattleKeywords_Mirror5.json	MD523
Final Power Up II	最终威力增强II	4	8	BattleKeywords_Mirror5.json	MD556
Base Power Up II	基础威力增强II	4	8	BattleKeywords_Mirror5.json	MD557
Protection Umbrella	保护伞	8	4	BattleKeywords_Refraction2.json	WaveFoxUmbrella
Shimmering Ember	闪烁的火种	6	6	BattleKeywords_Refraction3.json	MRcAiBb
Refracted Sinking	折射的沉沦	6	6	BattleKeywords_Refraction5.json	MRR508
Life or Death	生死决断	6	6	BattleKeywords_Refraction5.json	MRR516
Sunset Wayfarer's Sap	晚霞旅人的树液	6	6	BattleKeywords_Refraction6.json	NoeulNageuneBuffA3
Sunset Wayfarer's Moth	晚霞旅人的蛾	6	6	BattleKeywords_Refraction6.json	NoeulNageuneBuffB3
Level Boost Ticket VI	人格等级直升券VI	7	5	BattlePass.json	battlepass_purchase_desc_level_ticket
Librarian of History	历史层司书	6	6	Bufs.json	LibrarianOfHistoryHard
Right Heart Ventricle	右心室	4	8	DungeonArea-a1c5p3.json	dungeon_1_5_0203
Red Tassel	红色流苏	6	6	EGOgift_MirrorDungeon-EventTheme.json	9716
Worn Hilt	陈旧的刀柄	6	6	EGOgift_MirrorDungeon-EventTheme_2.json	9782
Green Spirit	绿光果实	6	6	EGOgift_MirrorDungeon.json	9016
Crown of Roses	玫瑰王冠	6	6	EGOgift_MirrorDungeon.json	9018
Glimpse of Flames	炎鳞	6	6	EGOgift_MirrorDungeon.json	9045
Material Interference Force Field	物理屏蔽力场	3	9	EGOgift_MirrorDungeon.json	9099
Uncapped Defibrilator	解除限制的除颤仪	6	6	EGOgift_MirrorDungeon.json	9133
Right Eye	右眼	6	6	Enemies-a1c5p1.json	875103
Blinded Pequod Town Villager	被蒙住双眼的裴廓德镇居民	6	6	Enemies-a1c5p3.json	8110
Shi Sijing	史思静	6	6	Enemies-a1c8p2.json	1160
Grant Us Love	请给我们爱	6	6	Enemies-walpu4.json	8366
BunBun [Juicy Squeezer - Orange]	吱扭扭[橙子味榨汁机]	0	12	Enemies-walpu8.json	1369
Scourging N Corp. Inquisitor	进行拷问的N公司异端审判官	3	9	Enemies.json	90035
Buddha Mūrti	佛像	0	12	Enemies.json	807801
Level Boost Ticket III	人格等级直升券III	6	6	Items.json	223
Level Boost Ticket IV	人格等级直升券IV	6	6	Items.json	224
Intro to Zhi, Yong, Ren	智·勇·仁基础入门手册	0	12	Items.json	20034
Falling Flowers	落花	2	10	MirrorDungeonTheme-1.json	1010
Starting E.G.O Gift Choice	选择初始E.G.O饰品	6	6	MirrorDungeonUI_3.json	choose_starting_ego_gift
Tier 1 + Tier 1	1级 + 1级	0	12	MirrorDungeonUI_4.json	new_ego_gift_combine_guide_table_2_desc_1_0
Tier 1 + Tier 2	1级 + 2级	0	12	MirrorDungeonUI_4.json	new_ego_gift_combine_guide_table_2_desc_2_0
Tier 2 + Tier 2	2级 + 2级	0	12	MirrorDungeonUI_4.json	new_ego_gift_combine_guide_table_2_desc_4_0
Tier 2 + Tier 3	2级 + 3级	0	12	MirrorDungeonUI_4.json	new_ego_gift_combine_guide_table_2_desc_5_0
Tier 3 + Tier 3	3级 + 3级	0	12	MirrorDungeonUI_4.json	new_ego_gift_combine_guide_table_2_desc_6_0
Abnormality Encounter	异想体遭遇战	1	11	MirrorDungeonUI_5.json	dungeon_encounter_guide_mirror_hard_ab_battle
infinity	infinity	11	1	MirrorDungeonUI_5_InfinityFloor.json	mirror_dungeon_infinity_difficulty
Received Mission	下达的命令	2	10	Passives-a1c9116.json	9018501
Kokuuntō	黑云刀	0	12	Passives-ycgd.json	9101301
Hēiyúndào	黑云刀	0	12	Passives.json	1060201
Breaching	正在突破	9	3	Passives.json	1090321
Enlightenment	醒悟	8	4	Passives.json	1060821
Unstable Shell of Ego	不稳定的自我外壳	6	6	Passives.json	1100902
Variant Sancho Hardblood Arts	桑丘变体硬血式	11	1	Passives.json	1031002
Bloodflame Blade [血炎刀]	血炎刀	0	12	Passives.json	1101421
Demonfire Spinecleaver	鬼火腰击	6	6	Passives.json	1081503
Heed me, Zilu	子路啊	0	12	Passives_Abnormality-a1c8p2.json	113706
Undertake Prescript	指令执行	9	3	Passives_Abnormality-a1c9p3.json	133702
A Crab-eat-crab World	自相蟹肉	6	6	Passives_Abnormality91-4.json	806304
Refracted Rupture and Sinking	折射的破裂与沉沦	6	6	Passives_Abnormality_Refraction2.json	853905
Superiority	优越感	11	1	Passives_Abnormality_Refraction2.json	856902
Refracted Mind	折射的意志	6	6	Passives_Abnormality_Refraction4.json	828005
Ally Buffs	友方BUFF	1	11	RailwayDungeonUI_2.json	railway_dungeon_2_ally_buff
BON VOYAGE	BON VOYAGE	10	2	SeasonTitle.json	season_title_3
Resonance Tuning Fork	共鸣音叉	3	9	StageNode-a1c5p1.json	10503
Imitations	赝品	4	8	StageNode-a1c6p2.json	10625
Training Yard	演武场	1	11	StageNode-a1c8p1.json	10809
Slot Machines	老虎机	5	7	StageNode1-2.json	10208
Rough Tides	巨浪	2	10	StageNode91-20.json	912010
An Odd Impression	奇怪的感觉	1	11	StageNode91-9.json	910911
Luxcavation Dungeons	采光迷宫	4	8	StoryTheaterDanteNote_4.json	ResourceDungeon
Districts	地区特征	11	1	StoryTheaterDanteNote_7.json	CityDirection
Limbus Kindergarten	边狱幼儿园	6	6	UnitKeyword-x1p1c1.json	UnitKeyword_X1P1C1_ASSO_1
Effloresced E.G.O::Farmwatch	绽放E.G.O::司田	0	11	AbnormalityGuides.json	8050
Faint Memories	模糊的记忆	3	8	BattleKeywords-a1c7p3.json	FaintMemory
Angst	郁愤	6	5	BattleKeywords-a1c8p2.json	DeepAngry_LowMorale
Keen Observation	观察力	3	8	BattleKeywords-a1c9p1.json	ObservationMoses
Mad Rampage	狂怒	5	6	BattleKeywords-a1c9p3.json	MiddleFingerDaddy_LowMorale
Snake Venom	蛇毒	5	6	BattleKeywords-cultivation.json	SnakePoisonJinWeak
Combat-Ready State	临战状态	6	5	BattleKeywords-pilgrimage.json	ParticipationMod
Call of the Bloodkin	同族的呼唤	6	5	BattleKeywords-pilgrimage.json	CallOfSea_LowMorale
Hysteria	歇斯底里	5	6	BattleKeywords-walpu6.json	HystericGauge
Requested Target	委托目标	2	9	BattleKeywords.json	RequestedTarget
Thunderer	弦惊	6	5	BattleKeywords.json	Cianjing
Bearing of a Salsu	杀手本位	4	7	BattleKeywords.json	BladelineagePride
Max HP +	体力上限提升	0	11	BattleKeywords_Mirror3.json	MDcFbBh
Sapling of Light Ability	光之树苗能力	5	6	DanteAbilityUIText.json	tutorial_battle_danteAbility_title
Basement Entrance	地下室入口	6	5	DungeonArea1-3.json	dungeon_1_3_0102
Torture Chamber	拷问室	5	6	DungeonArea1-3.json	dungeon_1_3_0114
Kaleidoscope	万花筒	9	2	EGOgift_MirrorDungeon-StoryTheme.json	9420
Crown of Thorns	荆棘头冠	10	1	EGOgift_walpu4.json	9749
Memories of the Adventure	冒险记忆	2	9	Enemies-a1c7p3.json	841301
Shadowy Gnome	黑色小矮人	5	6	Enemies-a1c951.json	90103
Threatening Tieqiu Crewman	咄咄逼人的铁工会成员	3	8	Enemies.json	90026
Huge Trinkets Sack	巨大装饰品包裹	6	5	Items.json	20010
Mirror of the Wuthering	呼啸之镜	5	6	MirrorDungeonName.json	mirrordungeon_name_4
Code Purple	紫色编码	5	6	MirrorDungeonTheme-1.json	1511
Select Grace of Stars	选择星之恩惠	1	10	MirrorDungeonUI_5.json	mirror_start_buff_purchase_modal_title
Affected Units	适用对象	10	1	MirrorDungeonUI_5.json	mirrordungeon_start_bonus_personality_label
Selected Grace of Stars	选择星之恩惠	1	10	MirrorDungeonUI_6.json	mirror_dungeon_finished_panel_selected_startBuff
Adversity Score	制约点数	4	7	MirrorDungeonUI_6.json	mirror_finished_panel_constraint_bonus_starlight_tooltip_desc
Enough Games	游戏到此为止	4	7	Passives-BossRaid.json	500101
Ten Blades of the East	东部十剑	0	11	Passives-BossRaid.json	501902
Intense Blaze	烈火	2	9	Passives.json	1080601
Tianjiu Star	天究星	4	7	Passives.json	1021203
Diminish (貶)	贬	0	11	Passives_Abnormality-a1c8p2.json	114102
Self-doubt	自我怀疑	5	6	Passives_Abnormality-a1c9p3.json	137808
Blood Coagulation	血液硬化	6	5	Passives_Abnormality-mowe.json	9014501
Ragged Umbrella	磨损殆尽的伞	8	3	Passives_Abnormality.json	804602
Bitter Smile	苦笑	1	10	Passives_Abnormality.json	805005
Fugitive	逃亡者	9	2	Passives_Assist-exme.json	40004001
Bloody Point	血点	1	10	Passives_Enemy-a1c6p2.json	9012802
ool...	礼…	1	10	Passives_Enemy-a1c6p3.json	9013603
Augmented Body	强化肉体	3	8	Passives_Enemy.json	9000102
I've Got No Choice	那就没办法了	2	9	Passives_Enemy.json	9100804
Hangover Cure	醒酒	3	8	Passives_Enemy.json	9006102
Underpass	地下通道	2	9	StageNode1-3.json	10320
A Corp.	A公司	4	7	StoryTheaterDanteNote_11.json	NestA
Mechanical Amalgam	机械融合生命体	5	6	UnitKeyword.json	UnitKeyword_MACHINE_BOUND_ORGANISM
Singing Machine Gift Options	歌唱机 饰品 选项	3	7	AbEvents-walpu8.json	97109701
Lingering Determination	遗留的意志	5	5	BattleKeywords-Refraction1BokGak.json	DeadEGOResource
Pip's Ego	比普的自我	5	5	BattleKeywords-a1c5p3.json	AaCePcBo
Pallid Panic	苍白恐慌	5	5	BattleKeywords-a1c5p3.json	AaCePcBe
Explosive Wrath	爆发的暴怒	6	4	BattleKeywords-a1c6p2.json	AaCfPbBc
Binding Technique	束缚法	2	8	BattleKeywords-a1c6p3.json	AaCfPcBc
Broken Heart	被撕碎的心	6	4	BattleKeywords-a1c6p3.json	AaCfPcBq
Sewing Target	缝纫对象	5	5	BattleKeywords-a1c7p1.json	LineCutting
Duel Specialist	决斗担当	5	5	BattleKeywords-a1c7p1.json	Duello_LowMorale
Bridle of Nihility	虚无的枷锁	5	5	BattleKeywords-a1c7p2.json	FamineBloodDolci_LowMorale
Honorable Duel	光荣的决斗	5	5	BattleKeywords-a1c7p2.json	HonorableDuel_Don
Ailing Heart	磨灭的心	5	5	BattleKeywords-a1c7p3.json	WornHeart
Reawakening Joy Of Carnage	觉醒杀戮的昂扬感	5	5	BattleKeywords-a1c7p3.json	SanchoMind_LowMorale
Eldtree Mutation	古木化	5	5	BattleKeywords-a1c8p2.json	WitheredWood_LowMorale
Heart of Oppressive Evil	邪心深重	5	5	BattleKeywords-a1c8p2.json	DeepEvilHeart_LowMorale
Charge Circuitry Countercurrent	充能回路逆流	5	5	BattleKeywords-a1c8p2.json	UncontrolledChargeAxe_LowMorale
Double-edged Feather	双刃羽	5	5	BattleKeywords-a1c8p2.json	MadFeather_LowMorale
Charge Order	突击指示	5	5	BattleKeywords-a1c8p2.json	JarMaster_LowMorale
Catching Breath	调息	5	5	BattleKeywords-a1c8p2.json	TakeBreath_LowMorale
Extreme Strength [極力]	极力	0	10	BattleKeywords-a1c8p3.json	RestoredBattleSense
Flesh Scoop	肉勺	5	5	BattleKeywords-a1c8p3.json	NEgoFleshSpatula_LowMorale
Soft Goldcasted Heart	脆金所铸之心	5	5	BattleKeywords-a1c8p3.json	EgoErodeContempt_LowMorale
Happiness, Joy, Sorrow	喜、乐、哀	0	10	BattleKeywords-a1c8p3.json	Honglu_Ai
The Second Wave	第二波	4	6	BattleKeywords-a1c9116.json	SweeperB
Prescript Incompliance Risk	指令崩坏的危机	5	5	BattleKeywords-a1c9p2.json	BlindFaith_LowMorale
Disjunction	背离	4	6	BattleKeywords-a1c9p2.json	TimeGapAb
Body Broken Beyond Repair	破损至无可挽回的身体	5	5	BattleKeywords-a1c9p3.json	MosesMiddle_LowMorale
E.G.O Attunement Boost	E.G.O感应度 增加	5	5	BattleKeywords-a1c9p3.json	LvUpHohenheimBigBird
Wave of Somnolence	袭来的睡意	5	5	BattleKeywords-a1c9p3.json	HohenheimBigBird_LowMorale
Unbridled Steed	脱缰之马	5	5	BattleKeywords-cultivation.json	RunawayHorseWei_LowMorale
Shadow Arm	暗臂	5	5	BattleKeywords-cultivation.json	DarkBeastSnake_LowMorale
Headsplitting Memory	刺痛的记忆	5	5	BattleKeywords-exme.json	RegretSCorp
Jumbled Memories	混杂的记忆	5	5	BattleKeywords-exme.json	Collage_LowMorale
Intelligence Obsession	对情报的执念	5	5	BattleKeywords-exme.json	Lensman_LowMorale
Deep-rooted Regret	沉溺的悔恨	5	5	BattleKeywords-exme.json	RestingKimSatgat_LowMorale
Battleform of the Homeland - Bearhunt	本国姿态-狩熊	0	10	BattleKeywords-exme.json	ChoiSwordsmanshipOne
Battleform of the Homeland - Tigerhunt	本国姿态-狩虎	0	10	BattleKeywords-exme.json	ChoiSwordsmanshipMany
Hive Mind	蜂巢意识	5	5	BattleKeywords-pilgrimage.json	DOQ_LowMorale
Heart of Compassion	善意之心	5	5	BattleKeywords-pilgrimage.json	DesireToSave_LowMorale
Broken Unity	瓦解的同盟	5	5	BattleKeywords-tkt.json	Yurodivy_LowMorale
Faltering Inspiration	衰退的灵感	5	5	BattleKeywords-twth.json	Fauvism_Lowmorale
Coloriage Impulsif	冲动的着色	5	5	BattleKeywords-twth.json	FauvismDocent_Lowmorale
Deep Tears	深泪	6	4	BattleKeywords-walpu6.json	BlackTearsAlly
Pink Petals	粉红花瓣	5	5	BattleKeywords-walpu8.json	PinkPetals
Slash Protection	斩击守护	5	5	BattleKeywords.json	SlashTakeDamageDown
Gloom Fragility	忧郁易损	5	5	BattleKeywords.json	AzureTakeDamageUp
Pride Fragility	傲慢易损	5	5	BattleKeywords.json	IndigoTakeDamageUp
Dazzled Mind	恍惚的意识	3	7	BattleKeywords.json	DongbaekFascination
Spark Discharge	电流释放	2	8	BattleKeywords.json	EmittedCurrent
Single Combat	单挑决斗	3	7	BattleKeywords.json	OneOnOneDuel
Clashable Guard	可拼点防御	7	3	BattleKeywords.json	CanDuelGuard
Melee Support	近战支援	4	6	BattleKeywords.json	MeleeCover
Vendetta Mark	复仇对象	4	6	BattleKeywords.json	VendettaMark
Serpent Arm	巳臂	6	4	BattleKeywords.json	SnakeStance
Somatic Frisson-inspiring Melody	以人体奏响的旋律	5	5	BattleKeywords.json	MelodyBodyArt
Clash Attack Boost	拼点攻击强化	8	2	BattleKeywords_Mirror3.json	MDcFcBh
Final Power Up I	最终威力增幅 I	2	8	BattleKeywords_Mirror3.json	MDHcFcBa
Defense Skill Up	守备技能强化	4	6	BattleKeywords_Mirror4.json	MDEMab
Amplify Body I	肉体增强I	2	8	BattleKeywords_Mirror4.json	MDHMaa
Expand Body I	肉体扩展I	2	8	BattleKeywords_Mirror4.json	MDHMac
Final Power Boost II	最终威力增强II	2	8	BattleKeywords_Mirror4.json	MDHMcc
Base Power Boost II	基础威力增强II	2	8	BattleKeywords_Mirror4.json	MDHMcd
Resilient II	强韧II	4	6	BattleKeywords_Mirror4.json	MDHMde
Resilient V	强韧V	2	8	BattleKeywords_Mirror5.json	MD534
Keen V	锐利V	2	8	BattleKeywords_Mirror5.json	MD551
Body Up V	肉体强化V	2	8	BattleKeywords_Mirror5.json	MD553
Growth V	生长V	2	8	BattleKeywords_Mirror5.json	MD554
Clash Power Up V	拼点威力增强V	2	8	BattleKeywords_Mirror5.json	MD585
Final Power Up V	最终威力增强V	2	8	BattleKeywords_Mirror5.json	MD586
Base Power Up V	基础威力增强V	2	8	BattleKeywords_Mirror5.json	MD587
Backup Candy	备用糖果	5	5	BattleKeywords_Mirror6.json	VerEmergencyCandy
Art Medium	绘画材料	4	6	BattleKeywords_Mirror7.json	PaintingMaterial
Anti-Ovine Grounding Plug	对羊接地插头	5	5	BattleKeywords_Refraction4.json	AntiSheepGround
Pendant of Nostalgia	追忆吊坠	5	5	BattleKeywords_Refraction5.json	MRR518
A Single Breath	一次呼吸	3	7	BattleKeywords_Refraction5.json	MRR553
Comfy	安乐	7	3	BattleKeywords_Refraction5.json	MRR565
Max Pass Level Reward	通行证超额奖励	2	8	BattlePass.json	battlepass_level_ex_reward
Preparation Room	准备室	5	5	DungeonArea-a1c8p2.json	dungeon_1_8_0102
Snowstorm Fields	暴风雪境	5	5	DungeonArea1-2.json	dungeon_1_2_0304
Central Area	中央区域	4	6	DungeonArea1-3.json	dungeon_1_3_0212
Ragged Bamboo Hat	破损的斗笠	4	6	EGOgift_MirrorDungeon-EventTheme.json	9719
Fiery Down	炽热的羽毛	5	5	EGOgift_MirrorDungeon.json	9009
Bloody Gadget	鲜血装饰	5	5	EGOgift_MirrorDungeon.json	9010
Talisman Bundle	成捆的符咒	5	5	EGOgift_MirrorDungeon.json	9013
White Gossypium	白棉花	5	5	EGOgift_MirrorDungeon.json	9020
Nixie Divergence	辉光变动仪	5	5	EGOgift_MirrorDungeon.json	9031
Voodoo Doll	巫毒娃娃	5	5	EGOgift_MirrorDungeon.json	9035
Old Wooden Doll	陈旧的木雕人偶	5	5	EGOgift_MirrorDungeon.json	9129
Ruptured Blood Sac	撕裂的血囊	5	5	EGOgift_MirrorDungeon_2.json	9160
Wine Barrel	酒桶	3	7	Enemies-a1c5p1.json	874501
Gagged Pequod Town Villager	被堵上嘴的裴廓德镇居民	5	5	Enemies-a1c5p3.json	8111
The Thumb Apprentice - Lucio	拇指 子辈 - 卢西奥	0	10	Enemies-a1c9p1.json	1306
Aggressive Gear Fanatic	好斗的齿轮狂信徒	5	5	Enemies-walpu5.json	90180
Head Hooligan	流氓头头	5	5	Enemies.json	90007
Casino Security Chief	赌场警卫队 队长	2	8	Enemies.json	90023
Level Boost Ticket II	人格等级直升券II	2	8	Items.json	222
Luminous Sea Terror Sample	发光的恐鱼标本	6	4	Items.json	20037
Severed and Scorched Skein	被斩断烧却的线团	6	4	Items.json	20044
Photo Bundles	许多照片	6	4	Items.json	20047
Unrolled Film	展开的胶片	6	4	Items.json	20048
Deep Sigh	深沉叹息	9	1	MirrorDungeonTheme-1.json	1411
Full-Stopped by a Bullet	由子弹画下的句点	4	6	MirrorDungeonTheme-1.json	1114
The Dream Ending	梦之终焉	5	5	MirrorDungeonTheme-1.json	1021
The Unsevering	无割舍者	4	6	MirrorDungeonTheme-1.json	1027
Purchase.	进行购买。	8	2	MirrorDungeonUI_2.json	dungeon_shop_purchase_title
Floor 5+	5层及以上	0	10	MirrorDungeonUI_4.json	mirror_battle_reward_card_guide_table_1_desc_5_0
Cleared Floors	通过阶层	2	8	MirrorDungeonUI_6.json	mirror_starlight_result_dungeon_play_point_tooltip_item_cleared_floor
Retry Stage	重试关卡	6	4	MirrorDungeonUI_6.json	mirror_dungeon_ask_after_defeat_retry_title
E.G.O Gift Choice	E.G.O饰品选择	7	3	MirrorDungeonUI_7.json	mainui_settings_select_lack_of_ego_gift_warning
Rustle Up	即兴烹饪	5	5	Passives.json	1040401
Destroyed Flotsam	被破坏的漂流物	4	6	Passives_Abnormality-a1c5p3.json	810803
To Love	给予爱	9	1	Passives_Abnormality-a1c7p3.json	837904
Trapped Dimensional Escape	脱离受困次元	5	5	Passives_Abnormality-a1c9p1.json	130902
Stoke the Flames	点燃火种	4	6	Passives_Abnormality-a1c9p2.json	132002
Nethersea Brand Utopia	溟痕乐园	5	5	Passives_Abnormality-pilgrimage.json	129704
Pained Writhing	痛苦蠕动	5	5	Passives_Abnormality.json	802803
Refracted Bleed and Tremor	折射的流血与震颤	5	5	Passives_Abnormality_Refraction2.json	854103
Anguished Screaming	尖啸	1	9	Passives_Abnormality_Refraction5.json	863207
The Tianya Sword	天涯剑	5	5	Passives_Assist-Cultivation.json	940000504
Crimson Point	红点	2	8	Passives_Assist-a1c9p3.json	40001002
Sanguine Pointillism	血点描画	5	5	Passives_Enemy-a1c6p2.json	9013102
Rosespanner Workshop Rep	玫瑰扳手工坊代表	7	3	Passives_Enemy.json	9100802
Travel Collection	累计记录	4	6	RailwayDungeonUI.json	accumulated_records
Refraction Railway Opening	折射轨道 开放	5	5	RailwayDungeonUI_1001.json	railwayBannerTitle
Unlock Requirements	解锁条件	2	8	RailwayDungeonUI_1001.json	railway_dungeon_advice_openCondition_title
Selected Buffs	BUFF选择列表	8	2	RailwayDungeonUI_1002.json	railway_node_clear_info_ui_buff_list
Obtained by clearing Refraction Railway Line 5	通关折射轨道5号线时获得	0	10	RailwayDungeonUI_5.json	railway_dungeon_5_banner_reward_condition_1
Obtained by clearing Refraction Railway Line 6	通关折射轨道6号线时获得	0	10	RailwayDungeonUI_6.json	railway_dungeon_6_banner_reward_condition_1
ORIENTATION	ORIENTATION	8	2	SeasonTitle.json	season_title_1
The Artery	切断白鲸动脉	8	1	AbEvents-a1c5p3.json	1050401
- Gain +50% max HP (max 200; excluding Peccatula Invidiae)	- 自身的体力上限+50%(最多200点，不包括嫉妒罪种)	0	9	AbEventsResultLog_Refraction6.json	955601_1_2
Distorted Bamboo-hatted Kim	扭曲的金笠	4	5	AbnormalityGuides-ycgd.json	8154
Become Strong? Genuinely?	我变强了？真的？	0	9	AbnormalityGuides.json	8010
Streets of T Corp.	T公司的街道	4	5	ActionEvents_Mirror4.json	971023
Yurodiviye Hideout	圣愚的据点	7	2	ActionEvents_Mirror4.json	971024
Assist Barrier	援护护盾	4	5	BattleKeywords-a1c5p3.json	AaCePcBr
Thermal Blades ON	热丝 ON	4	5	BattleKeywords-a1c9p3.json	HeatingWireOnSpider
Concussion	脑震荡	4	5	BattleKeywords-cultivation.json	ConcussionWei
Touche Hardie	果敢的笔触	4	5	BattleKeywords-twth.json	BoldBrushstrokes
Cyclical Karma	业报轮回	4	5	BattleKeywords.json	CyclingKarma
Expanding Sorrow	愈加膨胀的哀伤	4	5	BattleKeywords.json	Bull_ReinforcedSadness
Scattering Petals	落英缤纷	4	5	BattleKeywords.json	DongbaekScatterPetal
Empty Honor	空虚的荣誉	4	5	BattleKeywords.json	DistortedDongrangEmptyHonor
Prepared Meat	储备粮	4	5	BattleKeywords.json	PreparedMeat
